"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","ontology","neg_log10_padj","term_label","set_label"
"GO:0005576","extracellular region","101/783","307/6095",0.328990228013029,2.56091371614229,10.7742462223561,4.91281451023942e-21,1.63989748351792e-17,1.63989748351792e-17,"LOC126267391/LOC126267773/LOC126273010/LOC126334947/LOC126267253/LOC126335547/LOC126272362/LOC126271928/LOC126271975/LOC126275497/LOC126267477/LOC126268712/LOC126335546/LOC126293178/LOC126334780/LOC126266830/LOC126299332/LOC126284630/LOC126272361/LOC126274364/LOC126272905/LOC126295285/LOC126355922/LOC126336325/LOC126353822/LOC126284250/LOC126284845/LOC126337018/LOC126355938/LOC126271872/LOC126331446/LOC126298490/LOC126335382/LOC126337058/LOC126336893/LOC126356100/LOC126346580/LOC126281165/LOC126295284/LOC126284333/LOC126298412/LOC126298648/LOC126354358/LOC126336838/LOC126299206/LOC126298901/LOC126283987/LOC126298594/LOC126335335/LOC126285462/LOC126323429/LOC126346606/LOC126278743/LOC126293557/LOC126355485/LOC126267439/LOC126267876/LOC126284629/LOC126343426/LOC126277899/LOC126278524/LOC126272046/LOC126280991/LOC126278287/LOC126272787/LOC126267997/LOC126298861/LOC126336602/LOC126331832/LOC126284577/LOC126284756/LOC126298316/LOC126278442/LOC126284086/LOC126335544/LOC126272263/LOC126278307/LOC126282193/LOC126335545/LOC126284425/LOC126304998/LOC126336809/LOC126293181/LOC126272041/LOC126354439/LOC126344496/LOC126344479/LOC126365865/LOC126266752/LOC126284491/LOC126272477/LOC126336597/LOC126346021/LOC126334779/LOC126333165/LOC126346622/LOC126298389/LOC126357498/LOC126337059/LOC126356176/LOC126297427",101,"All infection DEGs","GO","Cellular component",16.7851833005706,"extracellular region [GO:0005576]","All infection DEGs"
"GO:0005887","GO:0005887","99/783","334/6095",0.296407185628743,2.30728198774864,9.43401681360024,4.85479803900141e-17,8.10265792709336e-14,8.10265792709336e-14,"LOC126271869/LOC126310439/LOC126334943/LOC126267877/LOC126278940/LOC126284897/LOC126361668/LOC126354348/LOC126272930/LOC126357744/LOC126298991/LOC126284182/LOC126336931/LOC126356065/LOC126334997/LOC126297964/LOC126267652/LOC126281509/LOC126355545/LOC126297555/LOC126267215/LOC126353850/LOC126354819/LOC126281676/LOC126356271/LOC126356354/LOC126267343/LOC126281351/LOC126271434/LOC126271496/LOC126354525/LOC126267217/LOC126285413/LOC126273193/LOC126266590/LOC126336041/LOC126338336/LOC126299506/LOC126267061/LOC126302399/LOC126267163/LOC126278393/LOC126281695/LOC126355544/LOC126354816/LOC126267806/LOC126365747/LOC126272934/LOC126281447/LOC126278037/LOC126356808/LOC126267939/LOC126353931/LOC126355684/LOC126299447/LOC126278105/LOC126356154/LOC126268068/LOC126266656/LOC126353927/LOC126365918/LOC126355582/LOC126295251/LOC126334996/LOC126361237/LOC126356631/LOC126355933/LOC126298972/LOC126278048/LOC126336038/LOC126267216/LOC126267133/LOC126298404/LOC126335918/LOC126298679/LOC126299155/LOC126336864/LOC126266677/LOC126267060/LOC126298992/LOC126336638/LOC126267315/LOC126299097/LOC126353956/LOC126293524/LOC126336688/LOC126354034/LOC126292020/LOC126266988/LOC126336238/LOC126298067/LOC126297629/LOC126281483/LOC126336082/LOC126354279/LOC126298602/LOC126279309/LOC126341744/LOC126335775",99,"All infection DEGs","GO",NA,13.0913724954766,"GO:0005887 [GO:0005887]","All infection DEGs"
"GO:0031226","GO:0031226","100/783","343/6095",0.291545189504373,2.26943541510748,9.29076134520931,1.1589938517109e-16,1.28957382567033e-13,1.28957382567033e-13,"LOC126271869/LOC126310439/LOC126334943/LOC126267877/LOC126278940/LOC126284897/LOC126361668/LOC126354348/LOC126272930/LOC126357744/LOC126298991/LOC126284182/LOC126336931/LOC126356065/LOC126334997/LOC126297964/LOC126267652/LOC126281509/LOC126355545/LOC126297555/LOC126267215/LOC126353850/LOC126354819/LOC126281676/LOC126356271/LOC126356354/LOC126267343/LOC126281351/LOC126271434/LOC126298556/LOC126271496/LOC126354525/LOC126267217/LOC126285413/LOC126273193/LOC126266590/LOC126336041/LOC126338336/LOC126299506/LOC126267061/LOC126302399/LOC126267163/LOC126278393/LOC126281695/LOC126355544/LOC126354816/LOC126267806/LOC126365747/LOC126272934/LOC126281447/LOC126278037/LOC126356808/LOC126267939/LOC126353931/LOC126355684/LOC126299447/LOC126278105/LOC126356154/LOC126268068/LOC126266656/LOC126353927/LOC126365918/LOC126355582/LOC126295251/LOC126334996/LOC126361237/LOC126356631/LOC126355933/LOC126298972/LOC126278048/LOC126336038/LOC126267216/LOC126267133/LOC126298404/LOC126335918/LOC126298679/LOC126299155/LOC126336864/LOC126266677/LOC126267060/LOC126298992/LOC126336638/LOC126267315/LOC126299097/LOC126353956/LOC126293524/LOC126336688/LOC126354034/LOC126292020/LOC126266988/LOC126336238/LOC126298067/LOC126297629/LOC126281483/LOC126336082/LOC126354279/LOC126298602/LOC126279309/LOC126341744/LOC126335775",100,"All infection DEGs","GO",NA,12.889553790274,"GO:0031226 [GO:0031226]","All infection DEGs"
"GO:0044421","GO:0044421","74/783","229/6095",0.323144104803493,2.51540653739118,8.97385279279941,4.14503082960794e-15,3.45902822730783e-12,3.45902822730783e-12,"LOC126267391/LOC126267773/LOC126273010/LOC126334947/LOC126267253/LOC126335547/LOC126272362/LOC126271928/LOC126271975/LOC126275497/LOC126267477/LOC126335546/LOC126299332/LOC126284630/LOC126272361/LOC126295285/LOC126353822/LOC126284250/LOC126284845/LOC126337018/LOC126331446/LOC126298490/LOC126335382/LOC126337058/LOC126356100/LOC126281165/LOC126295284/LOC126298412/LOC126354358/LOC126299206/LOC126298901/LOC126283987/LOC126298594/LOC126335335/LOC126323429/LOC126293557/LOC126355485/LOC126267876/LOC126284629/LOC126343426/LOC126277899/LOC126278524/LOC126272046/LOC126280991/LOC126278287/LOC126267997/LOC126298861/LOC126336602/LOC126331832/LOC126284577/LOC126298316/LOC126278442/LOC126284086/LOC126335544/LOC126278307/LOC126282193/LOC126335545/LOC126284425/LOC126304998/LOC126336809/LOC126272041/LOC126354439/LOC126344496/LOC126344479/LOC126266752/LOC126284491/LOC126272477/LOC126336597/LOC126346021/LOC126334779/LOC126333165/LOC126357498/LOC126337059/LOC126356176",74,"All infection DEGs","GO",NA,11.4610458939226,"GO:0044421 [GO:0044421]","All infection DEGs"
"GO:0022857","transmembrane transporter activity","107/783","426/6095",0.251173708920188,1.95517721056008,7.84763139578588,6.44177548552213e-13,4.30052931413457e-10,4.30052931413457e-10,"LOC126271869/LOC126334943/LOC126269352/LOC126284897/LOC126361668/LOC126354478/LOC126354827/LOC126324336/LOC126357744/LOC126354241/LOC126272718/LOC126278232/LOC126278971/LOC126355392/LOC126356065/LOC126334997/LOC126297964/LOC126283953/LOC126336375/LOC126336484/LOC126272767/LOC126297555/LOC126354582/LOC126354562/LOC126354039/LOC126281676/LOC126354017/LOC126272275/LOC126354788/LOC126272360/LOC126291821/LOC126355391/LOC126281351/LOC126354186/LOC126354570/LOC126285413/LOC126266590/LOC126354163/LOC126338336/LOC126272251/LOC126354780/LOC126267118/LOC126281695/LOC126354816/LOC126267806/LOC126278946/LOC126356039/LOC126272934/LOC126281447/LOC126267939/LOC126356137/LOC126353931/LOC126278974/LOC126335259/LOC126355684/LOC126282638/LOC126354789/LOC126334955/LOC126299447/LOC126353927/LOC126354785/LOC126354751/LOC126298058/LOC126355582/LOC126295251/LOC126334996/LOC126341660/LOC126272465/LOC126355939/LOC126334835/LOC126356631/LOC126278568/LOC126355940/LOC126297822/LOC126298972/LOC126336038/LOC126354753/LOC126366011/LOC126298679/LOC126336864/LOC126273220/LOC126272139/LOC126358740/LOC126336638/LOC126355303/LOC126293524/LOC126365875/LOC126356287/LOC126336688/LOC126356316/LOC126335294/LOC126354034/LOC126292020/LOC126354344/LOC126298067/LOC126282259/LOC126278467/LOC126336682/LOC126335355/LOC126336082/LOC126279309/LOC126295311/LOC126278191/LOC126278890/LOC126341744/LOC126354750/LOC126354018",107,"All infection DEGs","GO","Molecular function",9.36647808766218,"transmembrane transporter activity [GO:0022857]","All infection DEGs"
"GO:0006811","monoatomic ion transport","102/783","408/6095",0.25,1.94604086845466,7.5945393783874,3.29880504965667e-12,1.83523520929233e-09,1.83523520929233e-09,"LOC126271869/LOC126334943/LOC126269352/LOC126284897/LOC126361668/LOC126354478/LOC126354827/LOC126324336/LOC126354241/LOC126272718/LOC126278232/LOC126355392/LOC126336931/LOC126356065/LOC126334997/LOC126297964/LOC126283953/LOC126336375/LOC126336484/LOC126272767/LOC126297555/LOC126354582/LOC126354562/LOC126354039/LOC126281676/LOC126272275/LOC126354788/LOC126272360/LOC126355391/LOC126281351/LOC126354186/LOC126285413/LOC126266590/LOC126291650/LOC126354163/LOC126338336/LOC126272251/LOC126354780/LOC126267118/LOC126281695/LOC126354816/LOC126267806/LOC126356039/LOC126272934/LOC126273067/LOC126281447/LOC126267939/LOC126356137/LOC126353931/LOC126278974/LOC126335259/LOC126355684/LOC126282638/LOC126334955/LOC126299447/LOC126353927/LOC126354785/LOC126354751/LOC126298058/LOC126355582/LOC126295251/LOC126334996/LOC126341660/LOC126272465/LOC126355939/LOC126334835/LOC126356631/LOC126278568/LOC126355940/LOC126297822/LOC126298972/LOC126336038/LOC126354753/LOC126337983/LOC126366011/LOC126298679/LOC126336864/LOC126273220/LOC126272139/LOC126358740/LOC126354110/LOC126336638/LOC126355303/LOC126293524/LOC126365875/LOC126356287/LOC126336688/LOC126356316/LOC126354034/LOC126292020/LOC126354344/LOC126298067/LOC126282259/LOC126278467/LOC126336682/LOC126335355/LOC126336082/LOC126279309/LOC126295311/LOC126278890/LOC126341744/LOC126354750",102,"All infection DEGs","GO","Biological process",8.73630826735111,"monoatomic ion transport [GO:0006811]","All infection DEGs"
"GO:0005615","extracellular space","51/783","147/6095",0.346938775510204,2.7006281439779,8.01282434307288,4.64874494340541e-12,2.21678723158389e-09,2.21678723158389e-09,"LOC126273010/LOC126334947/LOC126267253/LOC126335547/LOC126272362/LOC126271975/LOC126275497/LOC126267477/LOC126335546/LOC126299332/LOC126284630/LOC126272361/LOC126295285/LOC126353822/LOC126331446/LOC126298490/LOC126335382/LOC126337058/LOC126281165/LOC126295284/LOC126298412/LOC126354358/LOC126298901/LOC126283987/LOC126298594/LOC126335335/LOC126293557/LOC126267876/LOC126284629/LOC126343426/LOC126277899/LOC126280991/LOC126278287/LOC126331832/LOC126298316/LOC126278442/LOC126335544/LOC126278307/LOC126282193/LOC126335545/LOC126304998/LOC126272041/LOC126354439/LOC126344496/LOC126344479/LOC126272477/LOC126346021/LOC126334779/LOC126333165/LOC126337059/LOC126356176",51,"All infection DEGs","GO","Cellular component",8.65427598870031,"extracellular space [GO:0005615]","All infection DEGs"
"GO:0055085","transmembrane transport","111/783","464/6095",0.239224137931034,1.86215979653851,7.41749166131853,6.96833588159642e-12,2.90753814659611e-09,2.90753814659611e-09,"LOC126271869/LOC126334943/LOC126269352/LOC126284897/LOC126361668/LOC126354478/LOC126354827/LOC126324336/LOC126357744/LOC126354241/LOC126272718/LOC126278232/LOC126278971/LOC126355392/LOC126356065/LOC126334997/LOC126297964/LOC126283953/LOC126336375/LOC126336484/LOC126272767/LOC126297555/LOC126354582/LOC126354562/LOC126354039/LOC126281676/LOC126354017/LOC126272275/LOC126354788/LOC126272360/LOC126291821/LOC126355391/LOC126281351/LOC126354186/LOC126354570/LOC126285413/LOC126266590/LOC126291650/LOC126354163/LOC126338336/LOC126272251/LOC126354780/LOC126267118/LOC126281695/LOC126354816/LOC126267806/LOC126278946/LOC126356039/LOC126272934/LOC126281447/LOC126267939/LOC126356137/LOC126353931/LOC126278974/LOC126335259/LOC126355684/LOC126282638/LOC126354789/LOC126334955/LOC126299447/LOC126353927/LOC126354785/LOC126354751/LOC126298058/LOC126355582/LOC126295251/LOC126334996/LOC126341660/LOC126272465/LOC126355939/LOC126334835/LOC126356631/LOC126278568/LOC126355940/LOC126297822/LOC126298972/LOC126336038/LOC126354753/LOC126337983/LOC126366011/LOC126298679/LOC126336864/LOC126273220/LOC126272139/LOC126358740/LOC126354110/LOC126336638/LOC126355303/LOC126293524/LOC126365875/LOC126356287/LOC126298824/LOC126336688/LOC126356316/LOC126335294/LOC126354034/LOC126292020/LOC126354344/LOC126298067/LOC126282259/LOC126278467/LOC126336682/LOC126335355/LOC126336082/LOC126279309/LOC126295311/LOC126278191/LOC126278890/LOC126341744/LOC126354750/LOC126354018",111,"All infection DEGs","GO","Biological process",8.536474578664,"transmembrane transport [GO:0055085]","All infection DEGs"
"GO:0006022","aminoglycan metabolic process","25/783","48/6095",0.520833333333333,4.05425180928054,8.155649384998,6.12176267079928e-11,2.27049375501422e-08,2.27049375501422e-08,"LOC126354720/LOC126299078/LOC126274364/LOC126267652/LOC126278279/LOC126267215/LOC126267343/LOC126281994/LOC126267217/LOC126346580/LOC126271949/LOC126267061/LOC126284041/LOC126285462/LOC126346606/LOC126268068/LOC126365918/LOC126335001/LOC126267216/LOC126266657/LOC126336345/LOC126317480/LOC126335966/LOC126346622/LOC126297427",25,"All infection DEGs","GO","Biological process",7.64387968828695,"aminoglycan metabolic process [GO:0006022]","All infection DEGs"
"GO:0034220","monoatomic ion transmembrane transport","86/783","340/6095",0.252941176470588,1.96893546690707,7.05853740412732,1.05379090910323e-10,3.5175540545866e-08,3.5175540545866e-08,"LOC126271869/LOC126334943/LOC126269352/LOC126284897/LOC126361668/LOC126354478/LOC126354827/LOC126324336/LOC126272718/LOC126278232/LOC126356065/LOC126334997/LOC126297964/LOC126283953/LOC126272767/LOC126297555/LOC126354582/LOC126354562/LOC126281676/LOC126272275/LOC126354788/LOC126272360/LOC126281351/LOC126354186/LOC126285413/LOC126266590/LOC126291650/LOC126338336/LOC126272251/LOC126267118/LOC126281695/LOC126354816/LOC126267806/LOC126356039/LOC126272934/LOC126281447/LOC126267939/LOC126356137/LOC126353931/LOC126278974/LOC126355684/LOC126282638/LOC126299447/LOC126353927/LOC126354785/LOC126354751/LOC126298058/LOC126355582/LOC126295251/LOC126334996/LOC126341660/LOC126355939/LOC126356631/LOC126278568/LOC126355940/LOC126297822/LOC126298972/LOC126336038/LOC126354753/LOC126337983/LOC126366011/LOC126298679/LOC126336864/LOC126273220/LOC126272139/LOC126358740/LOC126354110/LOC126336638/LOC126355303/LOC126293524/LOC126365875/LOC126356287/LOC126336688/LOC126356316/LOC126354034/LOC126292020/LOC126354344/LOC126298067/LOC126282259/LOC126336682/LOC126336082/LOC126279309/LOC126295311/LOC126278890/LOC126341744/LOC126354750",86,"All infection DEGs","GO","Biological process",7.45375921999747,"monoatomic ion transmembrane transport [GO:0034220]","All infection DEGs"
"GO:0015075","monoatomic ion transmembrane transporter activity","81/783","315/6095",0.257142857142857,2.00164203612479,7.00820783648607,1.62076581009872e-10,4.91828752191775e-08,4.91828752191775e-08,"LOC126271869/LOC126334943/LOC126269352/LOC126284897/LOC126361668/LOC126354827/LOC126324336/LOC126272718/LOC126356065/LOC126334997/LOC126297964/LOC126283953/LOC126272767/LOC126297555/LOC126354582/LOC126354562/LOC126281676/LOC126272275/LOC126354788/LOC126272360/LOC126281351/LOC126354186/LOC126285413/LOC126266590/LOC126338336/LOC126272251/LOC126267118/LOC126281695/LOC126354816/LOC126267806/LOC126356039/LOC126272934/LOC126281447/LOC126267939/LOC126356137/LOC126353931/LOC126278974/LOC126355684/LOC126282638/LOC126299447/LOC126353927/LOC126354785/LOC126354751/LOC126298058/LOC126355582/LOC126295251/LOC126334996/LOC126341660/LOC126355939/LOC126356631/LOC126278568/LOC126355940/LOC126297822/LOC126298972/LOC126336038/LOC126354753/LOC126366011/LOC126298679/LOC126336864/LOC126273220/LOC126272139/LOC126358740/LOC126336638/LOC126355303/LOC126293524/LOC126365875/LOC126356287/LOC126336688/LOC126356316/LOC126354034/LOC126292020/LOC126354344/LOC126298067/LOC126282259/LOC126336682/LOC126336082/LOC126279309/LOC126295311/LOC126278890/LOC126341744/LOC126354750",81,"All infection DEGs","GO","Molecular function",7.30818608610313,"monoatomic ion transmembrane transporter activity [GO:0015075]","All infection DEGs"
"GO:0005215","transporter activity","111/783","495/6095",0.224242424242424,1.74553968806842,6.64327799597556,5.01532465920143e-10,1.3950961427012e-07,1.3950961427012e-07,"LOC126271869/LOC126334943/LOC126269352/LOC126284897/LOC126361668/LOC126354478/LOC126354827/LOC126324336/LOC126357744/LOC126354241/LOC126272718/LOC126278232/LOC126299332/LOC126278971/LOC126355392/LOC126356065/LOC126334997/LOC126297964/LOC126283953/LOC126336375/LOC126336484/LOC126272767/LOC126297555/LOC126354582/LOC126354562/LOC126354039/LOC126281676/LOC126354017/LOC126272275/LOC126354788/LOC126272360/LOC126291821/LOC126355391/LOC126281351/LOC126354186/LOC126354570/LOC126285413/LOC126266590/LOC126354163/LOC126338336/LOC126272251/LOC126354780/LOC126267118/LOC126281695/LOC126354816/LOC126267806/LOC126278946/LOC126356039/LOC126272934/LOC126273067/LOC126281447/LOC126267939/LOC126356137/LOC126356321/LOC126353931/LOC126278974/LOC126335259/LOC126355684/LOC126282638/LOC126354789/LOC126334955/LOC126299447/LOC126353927/LOC126343426/LOC126354785/LOC126354751/LOC126298058/LOC126355582/LOC126295251/LOC126334996/LOC126341660/LOC126272465/LOC126355939/LOC126334835/LOC126356631/LOC126278568/LOC126355940/LOC126297822/LOC126298972/LOC126336038/LOC126354753/LOC126366011/LOC126298679/LOC126336864/LOC126273220/LOC126272139/LOC126358740/LOC126336638/LOC126355303/LOC126293524/LOC126365875/LOC126356287/LOC126336688/LOC126356316/LOC126335294/LOC126354034/LOC126292020/LOC126354344/LOC126298067/LOC126282259/LOC126278467/LOC126336682/LOC126335355/LOC126336082/LOC126279309/LOC126295311/LOC126278191/LOC126278890/LOC126341744/LOC126354750/LOC126354018",111,"All infection DEGs","GO","Molecular function",6.85539586206362,"transporter activity [GO:0005215]","All infection DEGs"
"GO:0015318","GO:0015318","74/783","289/6095",0.256055363321799,1.99317680644491,6.64110042213322,1.31876883896776e-09,3.38619260344182e-07,3.38619260344182e-07,"LOC126271869/LOC126334943/LOC126269352/LOC126361668/LOC126354827/LOC126324336/LOC126272718/LOC126278971/LOC126356065/LOC126334997/LOC126283953/LOC126272767/LOC126297555/LOC126354582/LOC126354562/LOC126281676/LOC126272275/LOC126354788/LOC126272360/LOC126354186/LOC126285413/LOC126266590/LOC126338336/LOC126272251/LOC126281695/LOC126354816/LOC126267806/LOC126278946/LOC126272934/LOC126281447/LOC126267939/LOC126356137/LOC126353931/LOC126278974/LOC126282638/LOC126353927/LOC126354785/LOC126354751/LOC126298058/LOC126355582/LOC126295251/LOC126334996/LOC126341660/LOC126355939/LOC126356631/LOC126278568/LOC126355940/LOC126297822/LOC126298972/LOC126336038/LOC126354753/LOC126366011/LOC126298679/LOC126336864/LOC126273220/LOC126272139/LOC126358740/LOC126355303/LOC126293524/LOC126365875/LOC126356287/LOC126356316/LOC126354034/LOC126292020/LOC126354344/LOC126298067/LOC126282259/LOC126336682/LOC126336082/LOC126279309/LOC126295311/LOC126278191/LOC126278890/LOC126354750",74,"All infection DEGs","GO",NA,6.47028834326398,"GO:0015318 [GO:0015318]","All infection DEGs"
"GO:0006026","aminoglycan catabolic process","15/783","23/6095",0.652173913043478,5.07662835249042,7.51972970021827,6.82191599479767e-09,1.62653968504533e-06,1.62653968504533e-06,"LOC126274364/LOC126267652/LOC126278279/LOC126267215/LOC126267343/LOC126267217/LOC126346580/LOC126267061/LOC126285462/LOC126346606/LOC126268068/LOC126365918/LOC126267216/LOC126346622/LOC126297427",15,"All infection DEGs","GO","Biological process",5.78873533614115,"aminoglycan catabolic process [GO:0006026]","All infection DEGs"
