"gene_id","diet","DEG_set","log2FoldChange","padj","significant"
"LOC126266596","33","Diet 33",-1.08442152520243,0.0143031873370144,TRUE
"LOC126266610","33","Diet 33",1.21125154303008,0.0408064699640407,TRUE
"LOC126266629","33","Diet 33",-1.60722800276407,0.0282084904028574,TRUE
"LOC126266641","33","Diet 33",1.90435571342023,0.00229114854554328,TRUE
"LOC126266656","33","Diet 33",1.03895302030247,0.0137236751823559,TRUE
"LOC126266657","33","Diet 33",-1.60503953883286,0.00511252356459169,TRUE
"LOC126266672","33","Diet 33",1.17508805025874,0.0209719631933995,TRUE
"LOC126266675","33","Diet 33",1.13297323133694,0.0124697248022142,TRUE
"LOC126266685","33","Diet 33",1.50377228921365,0.0173491589786411,TRUE
"LOC126266696","33","Diet 33",-2.07347454211165,5.82756794529873e-05,TRUE
"LOC126266725","33","Diet 33",1.12022700165417,0.025786137331986,TRUE
"LOC126266728","33","Diet 33",1.60161932804984,2.24213662566041e-05,TRUE
"LOC126266748","33","Diet 33",1.57660664555099,0.000252067192126039,TRUE
"LOC126266750","33","Diet 33",-2.1586666892641,0.0463964541977003,TRUE
"LOC126266751","33","Diet 33",-2.45706111783739,0.0409202709023647,TRUE
"LOC126266759","33","Diet 33",2.77081988638066,2.65787691434944e-10,TRUE
"LOC126266760","33","Diet 33",1.88679996304367,9.76229216583409e-06,TRUE
"LOC126266789","33","Diet 33",4.12823917210309,5.66943256206343e-06,TRUE
"LOC126266822","33","Diet 33",-1.34630418880214,0.0488315006291783,TRUE
"LOC126266832","33","Diet 33",-1.25608157635942,0.0290996845745032,TRUE
"LOC126266835","33","Diet 33",-1.28548223081055,0.0116689913726429,TRUE
"LOC126266859","33","Diet 33",1.14391497920435,0.000272111892505556,TRUE
"LOC126266862","33","Diet 33",-1.98339466928356,0.0114274722487234,TRUE
"LOC126266899","33","Diet 33",1.03552572368207,0.049100766637408,TRUE
"LOC126266913","33","Diet 33",-1.71707563169803,0.00904510927996946,TRUE
"LOC126266938","33","Diet 33",-1.97115993685921,0.0257090269792348,TRUE
"LOC126266948","33","Diet 33",1.11213261871678,0.0133617766182908,TRUE
"LOC126266958","33","Diet 33",-1.08924493769794,0.0110246039094924,TRUE
"LOC126266982","33","Diet 33",2.19529121566497,0.000251494043619467,TRUE
"LOC126267002","33","Diet 33",1.8819945750616,0.00368691167828701,TRUE
"LOC126267038","33","Diet 33",1.07509726982622,1.56597734006634e-05,TRUE
"LOC126267061","33","Diet 33",3.94163425502612,0.00323256507596093,TRUE
"LOC126267080","33","Diet 33",-1.46438221349695,0.046856120976309,TRUE
"LOC126267154","33","Diet 33",1.35428419274271,0.00106937619068883,TRUE
"LOC126267162","33","Diet 33",1.68743655697737,7.49153923427412e-08,TRUE
"LOC126267163","33","Diet 33",3.3928740909325,1.27829176394068e-09,TRUE
"LOC126267179","33","Diet 33",-1.45593913378407,0.00291072879322275,TRUE
"LOC126267190","33","Diet 33",-2.5561131971953,0.00475309760514016,TRUE
"LOC126267194","33","Diet 33",1.35761245902085,0.00180465036459445,TRUE
"LOC126267215","33","Diet 33",4.14698076281598,6.17313232488177e-08,TRUE
"LOC126267216","33","Diet 33",2.65559417214211,0.00140709505571583,TRUE
"LOC126267217","33","Diet 33",3.83034865795181,0.00225358140751132,TRUE
"LOC126267222","33","Diet 33",-1.07241004511,0.0249737765622162,TRUE
"LOC126267226","33","Diet 33",3.33639651338232,4.3637931137343e-07,TRUE
"LOC126267253","33","Diet 33",-1.53194003627057,0.0296857724296451,TRUE
"LOC126267259","33","Diet 33",5.75486437677151,0.00086744401236879,TRUE
"LOC126267263","33","Diet 33",-2.09574594017584,1.99483971179028e-05,TRUE
"LOC126267295","33","Diet 33",-1.18012654921877,0.000199851542966205,TRUE
"LOC126267333","33","Diet 33",1.68740785286527,0.0340224784222578,TRUE
"LOC126267343","33","Diet 33",1.45558088371343,0.000185489818306278,TRUE
"LOC126267351","33","Diet 33",1.54072521721886,0.0395222309748293,TRUE
"LOC126267391","33","Diet 33",1.77579289060913,0.00602977246177577,TRUE
"LOC126267392","33","Diet 33",1.24777238925794,0.0437042796413599,TRUE
"LOC126267422","33","Diet 33",1.85536809726248,0.039368707877919,TRUE
"LOC126267442","33","Diet 33",2.99803099969595,0.000149483876567933,TRUE
"LOC126267449","33","Diet 33",-3.02193746323615,0.0175328427280536,TRUE
"LOC126267462","33","Diet 33",1.78416456138253,0.04493966291795,TRUE
"LOC126267464","33","Diet 33",-1.2079293201083,0.0370677360717238,TRUE
"LOC126267471","33","Diet 33",-1.19247226522919,0.00887456087916051,TRUE
"LOC126267472","33","Diet 33",-1.77066193238349,0.0364432241985118,TRUE
"LOC126267473","33","Diet 33",2.26581798987947,0.000800767804474194,TRUE
"LOC126267545","33","Diet 33",3.19717851891009,0.00889138120356197,TRUE
"LOC126267568","33","Diet 33",-3.68496041913166,3.81222921489637e-05,TRUE
"LOC126267581","33","Diet 33",2.50655131230051,0.0460256812451203,TRUE
"LOC126267583","33","Diet 33",3.80270590533392,0.049100766637408,TRUE
"LOC126267629","33","Diet 33",2.31197308862985,0.0250561008519035,TRUE
"LOC126267652","33","Diet 33",2.38084834876757,3.73422856793643e-06,TRUE
"LOC126267743","33","Diet 33",-1.21201032793613,0.0169262688001999,TRUE
"LOC126267912","33","Diet 33",-1.44882226870339,0.00555180170467985,TRUE
"LOC126267970","33","Diet 33",-2.02527433600081,0.0282031204110005,TRUE
"LOC126267973","33","Diet 33",1.20068470680415,0.00436461274458094,TRUE
"LOC126267980","33","Diet 33",4.456816056549,2.22215950381962e-07,TRUE
"LOC126267982","33","Diet 33",-1.82462173046545,0.0244931048448805,TRUE
"LOC126267984","33","Diet 33",-1.38569465048779,0.0138311260796183,TRUE
"LOC126268014","33","Diet 33",3.92090449806628,3.04875424644534e-05,TRUE
"LOC126268015","33","Diet 33",4.96534350058387,7.00273581305699e-05,TRUE
"LOC126268068","33","Diet 33",2.04393278509865,4.21847584510864e-06,TRUE
"LOC126268069","33","Diet 33",-1.15120856042004,0.00645409101290145,TRUE
"LOC126268085","33","Diet 33",-1.2310512206389,0.0471428614935772,TRUE
"LOC126268128","33","Diet 33",-2.23219761384753,0.0214498448116027,TRUE
"LOC126268132","33","Diet 33",-1.62441452478268,0.000724216560470032,TRUE
"LOC126268133","33","Diet 33",1.00593709029047,4.6309949222268e-06,TRUE
"LOC126268164","33","Diet 33",1.78687103773166,2.2753922872996e-05,TRUE
"LOC126268172","33","Diet 33",-2.74325660836695,0.0307184889178509,TRUE
"LOC126268173","33","Diet 33",-2.98359173244628,0.0282387456090929,TRUE
"LOC126268175","33","Diet 33",-1.57585890689143,0.0414721462058782,TRUE
"LOC126268182","33","Diet 33",1.26111621069029,0.0249737765622162,TRUE
"LOC126268198","33","Diet 33",-1.26898584417093,0.0213935646961142,TRUE
"LOC126268199","33","Diet 33",-3.35170945231331,6.42580589573436e-06,TRUE
"LOC126268205","33","Diet 33",1.26395353869553,5.88171829911693e-05,TRUE
"LOC126268218","33","Diet 33",-1.1587094117851,0.00859702104255458,TRUE
"LOC126268397","33","Diet 33",1.33453804888636,0.000683970154151217,TRUE
"LOC126268728","33","Diet 33",-1.50079879573217,0.039615846622813,TRUE
"LOC126269384","33","Diet 33",3.52367538501605,1.62894089598695e-09,TRUE
"LOC126269432","33","Diet 33",1.48007076570308,8.92310831140592e-05,TRUE
"LOC126269651","33","Diet 33",-3.41714652660507,0.0153033824238382,TRUE
"LOC126270012","33","Diet 33",1.14769585278396,0.00329534418815931,TRUE
"LOC126270294","33","Diet 33",-1.65238375892616,0.0287204034924645,TRUE
"LOC126271206","33","Diet 33",-1.41802089334644,0.0176344854144906,TRUE
"LOC126271480","33","Diet 33",2.55483754164811,0.000116971868820386,TRUE
"LOC126271496","33","Diet 33",2.06345493891325,1.98111473290455e-05,TRUE
"LOC126271532","33","Diet 33",-1.30069335682413,0.0442907255204002,TRUE
"LOC126271618","33","Diet 33",4.08304853341648,4.15338354987601e-06,TRUE
"LOC126271634","33","Diet 33",7.79584969972312,7.54489883450936e-14,TRUE
"LOC126271709","33","Diet 33",-2.52382994272955,0.000166784481219226,TRUE
"LOC126271849","33","Diet 33",-2.57560589069484,0.00707728756532116,TRUE
"LOC126271851","33","Diet 33",-1.01213170466985,0.004533787030506,TRUE
"LOC126271905","33","Diet 33",2.32732167458746,0.0274989474150408,TRUE
"LOC126271907","33","Diet 33",3.09493601908413,0.00381063274927807,TRUE
"LOC126271919","33","Diet 33",1.16095320158852,0.00151638505446827,TRUE
"LOC126271923","33","Diet 33",-1.23820536952611,0.00141740884263495,TRUE
"LOC126271928","33","Diet 33",-1.14894639417915,0.0041584675842795,TRUE
"LOC126271945","33","Diet 33",1.55264205193974,0.0446392067516036,TRUE
"LOC126271949","33","Diet 33",-1.65008733637202,0.0045933161102946,TRUE
"LOC126271975","33","Diet 33",4.72750120174665,1.88325137607666e-06,TRUE
"LOC126272038","33","Diet 33",1.1247810431143,0.00206552415671206,TRUE
"LOC126272046","33","Diet 33",-1.3552006934702,0.00182041665496926,TRUE
"LOC126272078","33","Diet 33",2.21377924599168,4.60611250282012e-06,TRUE
"LOC126272082","33","Diet 33",2.48397139715772,8.77471035420922e-06,TRUE
"LOC126272122","33","Diet 33",1.15724475695175,0.000283649981521479,TRUE
"LOC126272126","33","Diet 33",-1.58962263191571,0.00053799668661596,TRUE
"LOC126272129","33","Diet 33",-1.48689926016629,0.0199449740599576,TRUE
"LOC126272144","33","Diet 33",2.79752749848947,1.19569338413866e-06,TRUE
"LOC126272149","33","Diet 33",2.25583565125409,0.0423888613736144,TRUE
"LOC126272275","33","Diet 33",1.0344420501315,0.0228591590619077,TRUE
"LOC126272290","33","Diet 33",2.28081593977155,0.00369942852240545,TRUE
"LOC126272291","33","Diet 33",1.59987573342804,0.0309615641117597,TRUE
"LOC126272312","33","Diet 33",-1.02020488090558,0.0412565990662385,TRUE
"LOC126272318","33","Diet 33",-1.57524328481314,0.00293466991001806,TRUE
"LOC126272319","33","Diet 33",2.26245087067831,0.01507252633059,TRUE
"LOC126272321","33","Diet 33",2.38621334400806,2.02515826523807e-08,TRUE
"LOC126272322","33","Diet 33",1.63814692773161,0.00520172228973997,TRUE
"LOC126272352","33","Diet 33",1.95263324015794,7.70459518553301e-05,TRUE
"LOC126272353","33","Diet 33",2.59939953064767,3.66837106378641e-08,TRUE
"LOC126272360","33","Diet 33",1.12247383159697,0.0139445070757813,TRUE
"LOC126272363","33","Diet 33",1.14114929508089,0.000445251987332737,TRUE
"LOC126272399","33","Diet 33",1.06671113520772,0.00117988608687001,TRUE
"LOC126272415","33","Diet 33",-1.32641203658222,0.0299789331617092,TRUE
"LOC126272419","33","Diet 33",1.89740380056369,0.00940389439571678,TRUE
"LOC126272465","33","Diet 33",1.92646694006663,0.02885319420379,TRUE
"LOC126272470","33","Diet 33",-1.03176915448206,0.048768896816689,TRUE
"LOC126272507","33","Diet 33",2.05417391318389,8.73262521909308e-05,TRUE
"LOC126272513","33","Diet 33",1.73935712351861,3.78018622147028e-05,TRUE
"LOC126272584","33","Diet 33",-1.04145748655581,0.00672085699573554,TRUE
"LOC126272588","33","Diet 33",-1.02194820319786,0.0020281116965852,TRUE
"LOC126272589","33","Diet 33",-1.21950883520284,0.0187534858537116,TRUE
"LOC126272594","33","Diet 33",1.25264416955488,0.00233486375418009,TRUE
"LOC126272599","33","Diet 33",1.70039154992402,0.0305665260151812,TRUE
"LOC126272608","33","Diet 33",3.72443179498373,0.0291346982178535,TRUE
"LOC126272609","33","Diet 33",5.5071980770455,1.17705208265744e-06,TRUE
"LOC126272683","33","Diet 33",-2.83620431161352,0.0350208109795094,TRUE
"LOC126272691","33","Diet 33",-2.42202205069179,0.0139787771146219,TRUE
"LOC126272716","33","Diet 33",2.83863258047226,0.0108326457582307,TRUE
"LOC126272724","33","Diet 33",1.79125521927714,0.00152540696233658,TRUE
"LOC126272738","33","Diet 33",2.17537152529804,4.85442887339089e-05,TRUE
"LOC126272750","33","Diet 33",1.31613401664281,0.00605980889944724,TRUE
"LOC126272758","33","Diet 33",-1.24275521680087,0.0214075194983247,TRUE
"LOC126272767","33","Diet 33",1.47956794331841,0.000692762264038057,TRUE
"LOC126272774","33","Diet 33",-1.46664463061426,0.0185772990911124,TRUE
"LOC126272831","33","Diet 33",-2.26457751799074,0.000130263032063857,TRUE
"LOC126272837","33","Diet 33",3.45308492148763,0.00433794348597311,TRUE
"LOC126272850","33","Diet 33",2.4118955536228,0.000475995298354841,TRUE
"LOC126272858","33","Diet 33",2.06594856169622,0.000703875050466561,TRUE
"LOC126272860","33","Diet 33",-2.31842627932191,0.0015651688312342,TRUE
"LOC126272961","33","Diet 33",2.20912791522479,6.39833492334179e-07,TRUE
"LOC126273002","33","Diet 33",1.27356109989928,0.0346840028113571,TRUE
"LOC126273009","33","Diet 33",-1.24304755068336,0.0388652473147282,TRUE
"LOC126273010","33","Diet 33",1.97290588761835,0.0212125781895485,TRUE
"LOC126273028","33","Diet 33",1.97198514879761,0.000429096273434255,TRUE
"LOC126273060","33","Diet 33",5.47202638319868,3.21157222133708e-10,TRUE
"LOC126273130","33","Diet 33",3.30570758143342,0.000652887562105981,TRUE
"LOC126273149","33","Diet 33",-1.29626619572928,0.0488076323890584,TRUE
"LOC126273166","33","Diet 33",2.06462383669209,0.0208741934943036,TRUE
"LOC126273192","33","Diet 33",1.86021949390715,3.17260818319082e-05,TRUE
"LOC126273222","33","Diet 33",3.25172360266432,0.000654929163525932,TRUE
"LOC126273250","33","Diet 33",-2.05656556875455,0.012840169768909,TRUE
"LOC126273297","33","Diet 33",1.51250228774435,0.0160425403640065,TRUE
"LOC126273348","33","Diet 33",1.20996866101433,0.0498975160152257,TRUE
"LOC126273393","33","Diet 33",2.825698794377,0.000800067480433685,TRUE
"LOC126273412","33","Diet 33",3.16762102734716,6.15739197281889e-07,TRUE
"LOC126273757","33","Diet 33",1.13572181077668,0.0181570537452872,TRUE
"LOC126273784","33","Diet 33",-2.34233393998129,0.0148670154813493,TRUE
"LOC126274965","33","Diet 33",-1.11312779860799,0.0353075198508575,TRUE
"LOC126275296","33","Diet 33",-1.7915837357571,0.00722155756644031,TRUE
"LOC126275497","33","Diet 33",2.37646839863126,7.88323549381656e-05,TRUE
"LOC126275742","33","Diet 33",2.00231854723584,0.00200572343945328,TRUE
"LOC126276000","33","Diet 33",1.61271096766749,0.0200929630255176,TRUE
"LOC126276055","33","Diet 33",1.34761046753118,0.0219118211179556,TRUE
"LOC126276381","33","Diet 33",-1.01719197411968,0.0268736181028729,TRUE
"LOC126276633","33","Diet 33",-1.10459914536675,0.00115201004538786,TRUE
"LOC126276951","33","Diet 33",-2.05972523426953,0.00462587378314243,TRUE
"LOC126277383","33","Diet 33",-3.1922043582415,0.00112289844086642,TRUE
"LOC126277867","33","Diet 33",1.63148900113914,0.00327530838682516,TRUE
"LOC126277903","33","Diet 33",3.094804685731,8.92002396521432e-08,TRUE
"LOC126277947","33","Diet 33",-4.21366924091292,0.0202578695657375,TRUE
"LOC126277955","33","Diet 33",1.26059643571572,0.000602776165819676,TRUE
"LOC126277968","33","Diet 33",1.90975092053465,0.00210992401562668,TRUE
"LOC126277999","33","Diet 33",1.04448327910415,0.0258720165201134,TRUE
"LOC126278002","33","Diet 33",-1.06843786575084,0.0156924890688608,TRUE
"LOC126278009","33","Diet 33",1.83252197857104,2.42223761349243e-05,TRUE
"LOC126278049","33","Diet 33",2.2889634850163,9.83043825692035e-10,TRUE
"LOC126278061","33","Diet 33",1.38050520072066,0.000844702326139166,TRUE
"LOC126278068","33","Diet 33",-2.04454449145573,0.00647952816916213,TRUE
"LOC126278069","33","Diet 33",1.89176049235872,0.00190240843791545,TRUE
"LOC126278109","33","Diet 33",1.15241601361735,0.00346093102919264,TRUE
"LOC126278127","33","Diet 33",7.4687693695774,6.24101435673474e-12,TRUE
"LOC126278128","33","Diet 33",2.21709757984096,2.89194258207434e-05,TRUE
"LOC126278130","33","Diet 33",-4.49567845124667,0.0249737765622162,TRUE
"LOC126278132","33","Diet 33",-3.7329011192265,0.0133444273752691,TRUE
"LOC126278133","33","Diet 33",-3.80028936916308,0.00704659201101287,TRUE
"LOC126278137","33","Diet 33",-2.94315822024918,0.000649675854567342,TRUE
"LOC126278143","33","Diet 33",-2.97476753362719,0.0344102236177435,TRUE
"LOC126278149","33","Diet 33",-1.65987886953287,0.00204941761385895,TRUE
"LOC126278176","33","Diet 33",2.29256988127522,2.35059249366658e-07,TRUE
"LOC126278177","33","Diet 33",1.27677938424423,2.16591876350179e-05,TRUE
"LOC126278180","33","Diet 33",1.47588610872892,0.00442278683593557,TRUE
"LOC126278191","33","Diet 33",1.71480149632697,1.04585657682688e-05,TRUE
"LOC126278196","33","Diet 33",1.56593607771931,0.000122014464261474,TRUE
"LOC126278225","33","Diet 33",1.98161835453373,0.00121610065245379,TRUE
"LOC126278232","33","Diet 33",1.47721605406801,4.42077194134977e-06,TRUE
"LOC126278259","33","Diet 33",1.62897258193634,0.00242499397288816,TRUE
"LOC126278289","33","Diet 33",-1.60784289831548,0.0111584670048678,TRUE
"LOC126278308","33","Diet 33",2.00179732561718,0.000153229024641177,TRUE
"LOC126278346","33","Diet 33",-1.04075762967198,0.0305139471693448,TRUE
"LOC126278365","33","Diet 33",-2.22948523358024,0.0370965248264651,TRUE
"LOC126278382","33","Diet 33",3.63250456881196,2.3033665067071e-05,TRUE
"LOC126278436","33","Diet 33",7.7502669234165,1.45526101063114e-10,TRUE
"LOC126278447","33","Diet 33",1.25082328869763,0.000160729510315627,TRUE
"LOC126278467","33","Diet 33",2.24496747379327,0.000160863503491466,TRUE
"LOC126278480","33","Diet 33",1.38275117886204,0.000636477196506954,TRUE
"LOC126278485","33","Diet 33",-8.3429310477806,3.58535709417221e-13,TRUE
"LOC126278491","33","Diet 33",-1.99295423103274,0.00969438427419218,TRUE
"LOC126278499","33","Diet 33",-3.70768760565188,0.019115193332578,TRUE
"LOC126278501","33","Diet 33",-1.77783436599639,0.0240112241017868,TRUE
"LOC126278519","33","Diet 33",-1.28442749271077,0.0263057731308503,TRUE
"LOC126278530","33","Diet 33",-1.18946194393547,0.00472940455651843,TRUE
"LOC126278549","33","Diet 33",-1.22391625602903,0.00847605284827525,TRUE
"LOC126278559","33","Diet 33",1.34496255972511,0.00380920045409402,TRUE
"LOC126278578","33","Diet 33",1.17481083881522,0.046856120976309,TRUE
"LOC126278622","33","Diet 33",-1.98338144522564,0.0409202709023647,TRUE
"LOC126278673","33","Diet 33",4.71808636711493,1.11565068400824e-12,TRUE
"LOC126278678","33","Diet 33",-1.14637048909537,0.00293731485424804,TRUE
"LOC126278697","33","Diet 33",-1.31847558671155,0.000958958644625071,TRUE
"LOC126278707","33","Diet 33",2.61945589092761,4.26340881723643e-05,TRUE
"LOC126278734","33","Diet 33",1.19811879709742,0.0348996984373141,TRUE
"LOC126278735","33","Diet 33",1.43355829769275,0.00432052888030082,TRUE
"LOC126278800","33","Diet 33",1.7491338739034,0.00580233208012964,TRUE
"LOC126278816","33","Diet 33",1.14127105511159,0.0201456935593747,TRUE
"LOC126278882","33","Diet 33",-1.53360595009328,0.0446392067516036,TRUE
"LOC126278916","33","Diet 33",-1.019951416411,0.0155480529823677,TRUE
"LOC126278946","33","Diet 33",1.70111769679959,0.00355554944166395,TRUE
"LOC126278962","33","Diet 33",2.57563504892129,4.19311428731276e-10,TRUE
"LOC126278965","33","Diet 33",2.74823040994087,0.00658727110619954,TRUE
"LOC126278971","33","Diet 33",-1.20576329526691,0.0210149881193045,TRUE
"LOC126278972","33","Diet 33",2.22474078852669,0.0103485373483703,TRUE
"LOC126278997","33","Diet 33",-1.25555926151922,0.042109509740839,TRUE
"LOC126279018","33","Diet 33",1.99032908684184,3.13015542310818e-09,TRUE
"LOC126279052","33","Diet 33",-1.22981629424521,0.0154339881252663,TRUE
"LOC126279091","33","Diet 33",-1.1283482643874,0.0268383250802659,TRUE
"LOC126279109","33","Diet 33",2.03834125199736,0.000383738409574019,TRUE
