"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","family","comparison","direction","plot_label","n_genes","source_file"
"GO:0042834","peptidoglycan binding","10/176","12/6095",0.833333333333333,28.8589015151515,16.656321374565,1.96442229095044e-14,6.55724160719255e-11,6.55724160719255e-11,"LOC126267652/LOC126267215/LOC126267216/LOC126267061/LOC126268068/LOC126365918/LOC126267163/LOC126267343/LOC126267217/LOC126285462",10,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",567,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"GO:0000270","peptidoglycan metabolic process","9/176","10/6095",0.9,31.1676136363636,16.4624343060161,1.11239360485996e-13,1.23772328434085e-10,1.23772328434085e-10,"LOC126267652/LOC126267215/LOC126267216/LOC126267061/LOC126268068/LOC126365918/LOC126267343/LOC126267217/LOC126285462",9,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",567,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"GO:0009253","peptidoglycan catabolic process","9/176","10/6095",0.9,31.1676136363636,16.4624343060161,1.11239360485996e-13,1.23772328434085e-10,1.23772328434085e-10,"LOC126267652/LOC126267215/LOC126267216/LOC126267061/LOC126268068/LOC126365918/LOC126267343/LOC126267217/LOC126285462",9,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",567,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"GO:0030203","glycosaminoglycan metabolic process","13/176","30/6095",0.433333333333333,15.0066287878788,13.2605712230826,4.87072292731927e-13,3.40071429729362e-10,3.40071429729362e-10,"LOC126267652/LOC126267215/LOC126267216/LOC126284041/LOC126267061/LOC126335966/LOC126268068/LOC126365918/LOC126281994/LOC126267343/LOC126267217/LOC126335001/LOC126285462",13,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",567,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"GO:0006027","glycosaminoglycan catabolic process","9/176","11/6095",0.818181818181818,28.334194214876,15.6455705256917,5.9670866192229e-13,3.40071429729362e-10,3.40071429729362e-10,"LOC126267652/LOC126267215/LOC126267216/LOC126267061/LOC126268068/LOC126365918/LOC126267343/LOC126267217/LOC126285462",9,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",567,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"GO:0009617","response to bacterium","20/176","91/6095",0.21978021978022,7.61113886113886,10.9562017907504,6.11272791604605e-13,3.40071429729362e-10,3.40071429729362e-10,"LOC126273010/LOC126271975/LOC126297857/LOC126267652/LOC126267215/LOC126267216/LOC126335036/LOC126267061/LOC126282030/LOC126293178/LOC126298648/LOC126268068/LOC126365918/LOC126278673/LOC126267163/LOC126293181/LOC126267038/LOC126267343/LOC126267217/LOC126285462",20,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",567,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"GO:0005539","glycosaminoglycan binding","11/176","24/6095",0.458333333333333,15.8723958333333,12.5875100144648,1.53643628735718e-11,7.32660618171183e-09,7.32660618171183e-09,"LOC126267652/LOC126267215/LOC126267216/LOC126267061/LOC126268068/LOC126365918/LOC126281165/LOC126267163/LOC126267343/LOC126267217/LOC126285462",11,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",567,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"GO:0006022","aminoglycan metabolic process","14/176","48/6095",0.291666666666667,10.100615530303,10.9145237582676,3.42638494361632e-11,1.42965911772391e-08,1.42965911772391e-08,"LOC126267652/LOC126267215/LOC126267216/LOC126284041/LOC126267061/LOC126335966/LOC126268068/LOC126365918/LOC126346580/LOC126281994/LOC126267343/LOC126267217/LOC126335001/LOC126285462",14,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",567,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"GO:0006026","aminoglycan catabolic process","10/176","23/6095",0.434782608695652,15.0568181818182,11.6457765488596,2.58361005252148e-10,9.58232261701855e-08,9.58232261701855e-08,"LOC126267652/LOC126267215/LOC126267216/LOC126267061/LOC126268068/LOC126365918/LOC126346580/LOC126267343/LOC126267217/LOC126285462",10,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",567,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"GO:0006952","defense response","22/176","165/6095",0.133333333333333,4.61742424242424,8.12264474159364,1.30203328359596e-09,4.34618710064331e-07,4.34618710064331e-07,"LOC126271975/LOC126297857/LOC126267652/LOC126267215/LOC126267216/LOC126299506/LOC126335036/LOC126267061/LOC126282030/LOC126355206/LOC126293178/LOC126298648/LOC126268068/LOC126365918/LOC126282035/LOC126278673/LOC126267163/LOC126293181/LOC126267038/LOC126267343/LOC126267217/LOC126285462",22,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",567,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
