"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","pathway_theme","pathway_scope","family","comparison","direction","plot_label","n_genes","source_file"
"ko02010","ABC transporters","8/145","41/3983",0.195121951219512,5.35979814970564,5.45358573349975,8.763439940652e-05,0.0243050926496991,0.0243050926496991,"LOC126281499/LOC126335579/LOC126278191/LOC126354017/LOC126278946/LOC126357744/LOC126335166/LOC126354018",8,"infection_diet33_up","KEGG_pathway","Transport and environmental response","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",567,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"ko04624","Toll and Imd signaling pathway","9/145","56/3983",0.160714285714286,4.41465517241379,5.00141117112549,0.000153829700314552,0.0243050926496991,0.0243050926496991,"LOC126266641/LOC126267442/LOC126336325/LOC126293578/LOC126267545/LOC126282030/LOC126293579/LOC126282207/LOC126298648",9,"infection_diet33_up","KEGG_pathway","Immune and stress signaling","Eukaryote/metazoan-compatible","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",567,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"ko00040","Pentose and glucuronate interconversions","10/135","64/3983",0.15625,4.6099537037037,5.45260412699748,4.5534130807555e-05,0.0143887853351874,0.0143887853351874,"LOC126272831/LOC126283960/LOC126266657/LOC126283957/LOC126281694/LOC126336625/LOC126291591/LOC126341237/LOC126281562/LOC126281399",10,"infection_diet33_down","KEGG_pathway","Carbohydrate and energy metabolism","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",915,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"ko01130","Biosynthesis of antibiotics","17/135","198/3983",0.0858585858585859,2.53314627759072,4.14460576281466,0.000308259040161048,0.0356739348794341,0.0356739348794341,"LOC126281958/LOC126335505/LOC126268218/LOC126278697/LOC126299078/LOC126336251/LOC126333363/LOC126297494/LOC126278485/LOC126299364/LOC126284812/LOC126325353/LOC126291591/LOC126293368/LOC126284898/LOC126293737/LOC126281532",17,"infection_diet33_down","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",915,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"ko00051","Fructose and mannose metabolism","6/135","29/3983",0.206896551724138,6.10421455938697,5.16665626186679,0.000338676596956653,0.0356739348794341,0.0356739348794341,"LOC126281958/LOC126283960/LOC126355949/LOC126283957/LOC126284898/LOC126281399",6,"infection_diet33_down","KEGG_pathway","Carbohydrate and energy metabolism","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",915,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"ko00790","Folate biosynthesis","6/135","32/3983",0.1875,5.53194444444444,4.8206547853347,0.000594201807537393,0.0374617705962419,0.0374617705962419,"LOC126284296/LOC126285375/LOC126283960/LOC126298944/LOC126283957/LOC126331446",6,"infection_diet33_down","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",915,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"ko01110","Biosynthesis of secondary metabolites","23/135","331/3983",0.0694864048338369,2.05010629965313,3.73664514675617,0.00060397152954393,0.0374617705962419,0.0374617705962419,"LOC126281958/LOC126335505/LOC126268218/LOC126284686/LOC126278697/LOC126336251/LOC126333363/LOC126268198/LOC126297494/LOC126284002/LOC126272831/LOC126278485/LOC126299546/LOC126299364/LOC126284812/LOC126325353/LOC126272584/LOC126336625/LOC126341237/LOC126281562/LOC126284898/LOC126293737/LOC126281532",23,"infection_diet33_down","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",915,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"ko00670","One carbon pool by folate","4/135","13/3983",0.307692307692308,9.07806267806268,5.46365944756795,0.000711299441700796,0.0374617705962419,0.0374617705962419,"LOC126355148/LOC126325353/LOC126267222/LOC126293737",4,"infection_diet33_down","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",915,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"ko00480","Glutathione metabolism","9/135","76/3983",0.118421052631579,3.49385964912281,4.11109089768493,0.000935470418242064,0.0422298074520703,0.0422298074520703,"LOC126335505/LOC126284198/LOC126278697/LOC126297494/LOC126278485/LOC126336692/LOC126336695/LOC126354588/LOC126282396",9,"infection_diet33_down","KEGG_pathway","Detoxification and secondary metabolism","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",915,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"ko00030","Pentose phosphate pathway","5/135","27/3983",0.185185185185185,5.4636488340192,4.35856715005341,0.00183716613477574,0.0725680623236418,0.0725680623236418,"LOC126281958/LOC126297494/LOC126284812/LOC126284898/LOC126281532",5,"infection_diet33_down","KEGG_pathway","Carbohydrate and energy metabolism","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",915,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"ko01200","Carbon metabolism","10/135","104/3983",0.0961538461538462,2.83689458689459,3.55501137434583,0.00247231594484343,0.0868057598411692,0.0868057598411692,"LOC126335256/LOC126281958/LOC126335505/LOC126336251/LOC126297494/LOC126336866/LOC126325353/LOC126293368/LOC126284898/LOC126281532",10,"infection_diet33_down","KEGG_pathway","Carbohydrate and energy metabolism","Broad KEGG reference map","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",915,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
