"set_id","family","comparison","direction","plot_label","n_genes","source_file"
"infection_diet33_up","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",567,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"infection_diet33_down","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",915,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"infection_diet50_up","Infected within diet","Diet 50 infected vs control","Upregulated","Diet 50",1218,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"infection_diet50_down","Infected within diet","Diet 50 infected vs control","Downregulated","Diet 50",698,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"infection_diet83_up","Infected within diet","Diet 83 infected vs control","Upregulated","Diet 83",632,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"infection_diet83_down","Infected within diet","Diet 83 infected vs control","Downregulated","Diet 83",350,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"control_diet33_vs_50_up","Control animals only","Control diet 33 vs 50","Upregulated","33 vs 50",11,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"control_diet33_vs_50_down","Control animals only","Control diet 33 vs 50","Downregulated","33 vs 50",3,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"control_diet83_vs_33_up","Control animals only","Control diet 83 vs 33","Upregulated","83 vs 33",31,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"control_diet83_vs_33_down","Control animals only","Control diet 83 vs 33","Downregulated","83 vs 33",25,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"control_diet83_vs_50_up","Control animals only","Control diet 83 vs 50","Upregulated","83 vs 50",24,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"control_diet83_vs_50_down","Control animals only","Control diet 83 vs 50","Downregulated","83 vs 50",32,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"infected_diet33_vs_50_up","Infected animals only","Infected diet 33 vs 50","Upregulated","33 vs 50",29,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"infected_diet33_vs_50_down","Infected animals only","Infected diet 33 vs 50","Downregulated","33 vs 50",1580,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"infected_diet83_vs_33_up","Infected animals only","Infected diet 83 vs 33","Upregulated","83 vs 33",181,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"infected_diet83_vs_33_down","Infected animals only","Infected diet 83 vs 33","Downregulated","83 vs 33",26,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"infected_diet83_vs_50_up","Infected animals only","Infected diet 83 vs 50","Upregulated","83 vs 50",40,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
"infected_diet83_vs_50_down","Infected animals only","Infected diet 83 vs 50","Downregulated","83 vs 50",10,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/transcript-exon-primary-deseq2_20260806-004620/host_deseq2_all_contrasts.csv"
