"label","PC1","PC2","Diet","Treatment"
"1003",-24.4517720782598,10.0633866597092,"33","Control"
"1006",-30.9690620885621,14.1819649682753,"33","Control"
"1009",-27.7878612922501,-2.32271259424884,"33","Control"
"1015",34.194199605693,5.85763790038781,"33","Infected"
"1018",12.4940294142548,8.96009364117589,"33","Infected"
"1021",4.78709222473893,10.127596331579,"33","Infected"
"1027",40.7764727039973,2.77888282254153,"33","Infected"
"1030",-30.0842097471749,3.58718973980341,"33","Control"
"1033",-13.23774670277,5.38774970139553,"33","Control"
"1036",-33.2056649764789,-1.13578322670386,"33","Control"
"1039",-14.011500281656,-24.8645422219798,"33","Control"
"1042",10.3454218364664,-21.7562967653383,"33","Infected"
"1045",7.8579785062129,-5.60725138981666,"33","Infected"
"1051",-2.59906004428605,-10.600747162306,"33","Infected"
"1054",33.4964505176976,7.56237153376599,"33","Infected"
"1057",32.3952324023768,-2.21953993824008,"33","Infected"
