"contrast_family","contrast_id","contrast","Exon only.x","Transcript + exon","Exon only.y","Shared","Transcript + exon only"
"Average infection response","infection_average_all_diets","Average infected vs control",1422,1691,314,1108,583
"Diet among controls","control_diet33_vs50","Controls: diet 33 vs 50",2,15,1,1,14
"Diet among controls","control_diet83_vs33","Controls: diet 83 vs 33",47,60,14,33,27
"Diet among controls","control_diet83_vs50","Controls: diet 83 vs 50",23,59,7,16,43
"Diet among infected","infected_diet33_vs50","Infected: diet 33 vs 50",104,303,14,90,213
"Diet among infected","infected_diet83_vs33","Infected: diet 83 vs 33",39,86,15,24,62
"Diet among infected","infected_diet83_vs50","Infected: diet 83 vs 50",15,59,1,14,45
"Diet by infection interaction","interaction_diet33_vs50","Interaction: diet 33 vs 50",3,0,3,0,0
"Diet by infection interaction","interaction_diet83_vs33","Interaction: diet 83 vs 33",7,11,5,2,9
"Diet by infection interaction","interaction_diet83_vs50","Interaction: diet 83 vs 50",5,58,1,4,54
"Infection within diet","infection_diet33","Diet 33: infected vs control",857,1016,233,624,392
"Infection within diet","infection_diet50","Diet 50: infected vs control",1116,2009,224,892,1117
"Infection within diet","infection_diet83","Diet 83: infected vs control",768,1030,224,544,486
