"contrast_id","membership","n_genes","contrast_label"
"control_diet33_vs50","Exon only",1,"Controls: diet 33 vs 50"
"control_diet33_vs50","Shared",1,"Controls: diet 33 vs 50"
"control_diet33_vs50","Transcript + exon only",14,"Controls: diet 33 vs 50"
"control_diet83_vs33","Exon only",14,"Controls: diet 83 vs 33"
"control_diet83_vs33","Shared",33,"Controls: diet 83 vs 33"
"control_diet83_vs33","Transcript + exon only",27,"Controls: diet 83 vs 33"
"control_diet83_vs50","Exon only",7,"Controls: diet 83 vs 50"
"control_diet83_vs50","Shared",16,"Controls: diet 83 vs 50"
"control_diet83_vs50","Transcript + exon only",43,"Controls: diet 83 vs 50"
"infected_diet33_vs50","Exon only",14,"Infected: diet 33 vs 50"
"infected_diet33_vs50","Shared",90,"Infected: diet 33 vs 50"
"infected_diet33_vs50","Transcript + exon only",213,"Infected: diet 33 vs 50"
"infected_diet83_vs33","Exon only",15,"Infected: diet 83 vs 33"
"infected_diet83_vs33","Shared",24,"Infected: diet 83 vs 33"
"infected_diet83_vs33","Transcript + exon only",62,"Infected: diet 83 vs 33"
"infected_diet83_vs50","Exon only",1,"Infected: diet 83 vs 50"
"infected_diet83_vs50","Shared",14,"Infected: diet 83 vs 50"
"infected_diet83_vs50","Transcript + exon only",45,"Infected: diet 83 vs 50"
"infection_average_all_diets","Exon only",314,"Average infected vs control"
"infection_average_all_diets","Shared",1108,"Average infected vs control"
"infection_average_all_diets","Transcript + exon only",583,"Average infected vs control"
"infection_diet33","Exon only",233,"Diet 33: infected vs control"
"infection_diet33","Shared",624,"Diet 33: infected vs control"
"infection_diet33","Transcript + exon only",392,"Diet 33: infected vs control"
"infection_diet50","Exon only",224,"Diet 50: infected vs control"
"infection_diet50","Shared",892,"Diet 50: infected vs control"
"infection_diet50","Transcript + exon only",1117,"Diet 50: infected vs control"
"infection_diet83","Exon only",224,"Diet 83: infected vs control"
"infection_diet83","Shared",544,"Diet 83: infected vs control"
"infection_diet83","Transcript + exon only",486,"Diet 83: infected vs control"
"interaction_diet33_vs50","Exon only",3,"Interaction: diet 33 vs 50"
"interaction_diet33_vs50","Shared",0,"Interaction: diet 33 vs 50"
"interaction_diet33_vs50","Transcript + exon only",0,"Interaction: diet 33 vs 50"
"interaction_diet83_vs33","Exon only",5,"Interaction: diet 83 vs 33"
"interaction_diet83_vs33","Shared",2,"Interaction: diet 83 vs 33"
"interaction_diet83_vs33","Transcript + exon only",9,"Interaction: diet 83 vs 33"
"interaction_diet83_vs50","Exon only",1,"Interaction: diet 83 vs 50"
"interaction_diet83_vs50","Shared",4,"Interaction: diet 83 vs 50"
"interaction_diet83_vs50","Transcript + exon only",54,"Interaction: diet 83 vs 50"
