"contrast_id","gene_id","exon_only_DEG","transcript_exon_DEG","membership"
"infection_diet33","LOC126266593",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126266596",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266657",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266672",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266675",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266728",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266748",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266759",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266760",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266822",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266828",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126266832",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266835",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266840",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126266862",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266909",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126266913",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266938",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266957",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126266982",TRUE,TRUE,"Shared"
"infection_diet33","LOC126266984",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126267038",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267114",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126267154",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267162",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267163",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267179",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267190",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267215",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267216",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267226",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267253",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267259",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267263",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267333",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267343",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267391",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267400",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126267409",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126267442",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267472",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267473",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267478",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126267535",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126267545",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267554",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126267568",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267629",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267980",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267982",TRUE,TRUE,"Shared"
"infection_diet33","LOC126267984",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268014",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268015",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268068",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268069",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268128",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268132",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268133",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268164",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268172",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268173",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268182",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268194",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126268199",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268205",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268218",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268397",TRUE,TRUE,"Shared"
"infection_diet33","LOC126268728",TRUE,TRUE,"Shared"
"infection_diet33","LOC126269384",TRUE,TRUE,"Shared"
"infection_diet33","LOC126269416",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126270012",TRUE,TRUE,"Shared"
"infection_diet33","LOC126270294",TRUE,TRUE,"Shared"
"infection_diet33","LOC126271480",TRUE,TRUE,"Shared"
"infection_diet33","LOC126271496",TRUE,TRUE,"Shared"
"infection_diet33","LOC126271532",TRUE,TRUE,"Shared"
"infection_diet33","LOC126271618",TRUE,TRUE,"Shared"
"infection_diet33","LOC126271634",TRUE,TRUE,"Shared"
"infection_diet33","LOC126271720",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126271849",TRUE,TRUE,"Shared"
"infection_diet33","LOC126271895",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126271907",TRUE,TRUE,"Shared"
"infection_diet33","LOC126271928",TRUE,TRUE,"Shared"
"infection_diet33","LOC126271949",TRUE,TRUE,"Shared"
"infection_diet33","LOC126271975",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272038",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272055",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126272082",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272087",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126272090",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126272126",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272129",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272144",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272290",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272321",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272336",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126272353",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272363",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272419",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272450",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126272463",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126272507",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272513",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272535",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126272556",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126272589",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272599",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272608",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272609",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272678",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126272691",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272753",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126272767",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272831",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272850",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272858",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272860",TRUE,TRUE,"Shared"
"infection_diet33","LOC126272888",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126272926",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126272931",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126272961",TRUE,TRUE,"Shared"
"infection_diet33","LOC126273028",TRUE,TRUE,"Shared"
"infection_diet33","LOC126273029",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126273030",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126273032",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126273060",TRUE,TRUE,"Shared"
"infection_diet33","LOC126273130",TRUE,TRUE,"Shared"
"infection_diet33","LOC126273192",TRUE,TRUE,"Shared"
"infection_diet33","LOC126273222",TRUE,TRUE,"Shared"
"infection_diet33","LOC126273233",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126273243",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126273250",TRUE,TRUE,"Shared"
"infection_diet33","LOC126273297",TRUE,TRUE,"Shared"
"infection_diet33","LOC126273306",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126273334",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126273393",TRUE,TRUE,"Shared"
"infection_diet33","LOC126273757",TRUE,TRUE,"Shared"
"infection_diet33","LOC126273784",TRUE,TRUE,"Shared"
"infection_diet33","LOC126274965",TRUE,TRUE,"Shared"
"infection_diet33","LOC126275296",TRUE,TRUE,"Shared"
"infection_diet33","LOC126275497",TRUE,TRUE,"Shared"
"infection_diet33","LOC126275659",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126275742",TRUE,TRUE,"Shared"
"infection_diet33","LOC126276001",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126276533",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126276633",TRUE,TRUE,"Shared"
"infection_diet33","LOC126276951",TRUE,TRUE,"Shared"
"infection_diet33","LOC126277383",TRUE,TRUE,"Shared"
"infection_diet33","LOC126277750",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126277867",TRUE,TRUE,"Shared"
"infection_diet33","LOC126277871",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126277903",TRUE,TRUE,"Shared"
"infection_diet33","LOC126277916",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126277955",TRUE,TRUE,"Shared"
"infection_diet33","LOC126277966",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126278002",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278009",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278010",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126278049",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278061",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278069",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278109",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278127",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278128",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278137",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278149",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278176",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278180",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278191",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278225",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278232",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278259",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278289",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278308",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278341",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126278364",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126278365",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278382",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278436",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278447",TRUE,TRUE,"Shared"
"infection_diet33","LOC126278456",TRUE,FALSE,"Exon only"
"infection_diet33","LOC126278485",TRUE,TRUE,"Shared"
