source_sheet,umbrella,figure_scope,x_label,x_order,status,n_genes,percentage,n_targets,p_value,p_label
Immune,Cellular Immunity,Diet comparison among infected,"50
vs
33",1,Upregulated,2,100,2,0.19699015049247537,
Immune,Cellular Immunity,Diet comparison among infected,"83
vs
33",2,N.S.,2,100,2,0.19699015049247537,
Immune,Cellular Immunity,Diet comparison among infected,"83
vs
50",3,N.S.,2,100,2,0.19699015049247537,
Immune,Cellular Immunity,Within-diet infection response,33,1,N.S.,2,100,2,,
Immune,Cellular Immunity,Within-diet infection response,50,2,N.S.,2,100,2,,
Immune,Cellular Immunity,Within-diet infection response,83,3,N.S.,2,100,2,,
Immune,Detoxification,Diet comparison among infected,"50
vs
33",1,Upregulated,2,100,2,0.20533973301334935,
Immune,Detoxification,Diet comparison among infected,"83
vs
33",2,N.S.,2,100,2,0.20533973301334935,
Immune,Detoxification,Diet comparison among infected,"83
vs
50",3,N.S.,2,100,2,0.20533973301334935,
Immune,Detoxification,Within-diet infection response,33,1,Downregulated,2,100,2,0.20103994800259986,
Immune,Detoxification,Within-diet infection response,50,2,N.S.,2,100,2,0.20103994800259986,
Immune,Detoxification,Within-diet infection response,83,3,N.S.,2,100,2,0.20103994800259986,
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Diet comparison among infected,"50
vs
33",1,Upregulated,5,100,5,0.009499525023748812,
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Diet comparison among infected,"83
vs
33",2,N.S.,3,60,5,0.009499525023748812,
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Diet comparison among infected,"83
vs
33",2,Upregulated,2,40,5,0.009499525023748812,
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Diet comparison among infected,"83
vs
50",3,N.S.,5,100,5,0.009499525023748812,
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Within-diet infection response,33,1,Downregulated,3,60,5,0.06454677266136694,
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Within-diet infection response,33,1,N.S.,2,40,5,0.06454677266136694,
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Within-diet infection response,50,2,N.S.,5,100,5,0.06454677266136694,
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Within-diet infection response,83,3,N.S.,5,100,5,0.06454677266136694,
Protein-Anabolism,Protein Synthesis & Translation,Diet comparison among infected,"50
vs
33",1,Upregulated,14,100,14,4.999750012499375e-5,
Protein-Anabolism,Protein Synthesis & Translation,Diet comparison among infected,"83
vs
33",2,N.S.,12,85.71428571428571,14,4.999750012499375e-5,
Protein-Anabolism,Protein Synthesis & Translation,Diet comparison among infected,"83
vs
33",2,Upregulated,2,14.285714285714286,14,4.999750012499375e-5,
Protein-Anabolism,Protein Synthesis & Translation,Diet comparison among infected,"83
vs
50",3,N.S.,14,100,14,4.999750012499375e-5,
Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,33,1,Downregulated,12,85.71428571428571,14,4.999750012499375e-5,
Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,33,1,N.S.,2,14.285714285714286,14,4.999750012499375e-5,
Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,50,2,N.S.,14,100,14,4.999750012499375e-5,
Protein-Anabolism,Protein Synthesis & Translation,Within-diet infection response,83,3,N.S.,14,100,14,4.999750012499375e-5,
