source_sheet,umbrella,figure_scope,x_label,x_order,status,n_genes,percentage,n_targets,p_value,p_label
Immune,Total Immune,Diet comparison among infected,"50
vs
33",1,Downregulated,1,1.3888888888888888,72,0.2617869106544673,N.S.D.
Immune,Total Immune,Diet comparison among infected,"50
vs
33",1,N.S.,68,94.44444444444444,72,0.2617869106544673,N.S.D.
Immune,Total Immune,Diet comparison among infected,"50
vs
33",1,Upregulated,3,4.166666666666667,72,0.2617869106544673,N.S.D.
Immune,Total Immune,Diet comparison among infected,"83
vs
33",2,N.S.,69,95.83333333333333,72,0.2617869106544673,N.S.D.
Immune,Total Immune,Diet comparison among infected,"83
vs
33",2,Upregulated,3,4.166666666666667,72,0.2617869106544673,N.S.D.
Immune,Total Immune,Diet comparison among infected,"83
vs
50",3,N.S.,72,100,72,0.2617869106544673,N.S.D.
Immune,Total Immune,Within-diet infection response,33,1,Downregulated,3,4.166666666666667,72,0.019949002549872506,p = 0.020
Immune,Total Immune,Within-diet infection response,33,1,N.S.,35,48.611111111111114,72,0.019949002549872506,p = 0.020
Immune,Total Immune,Within-diet infection response,33,1,Upregulated,34,47.22222222222222,72,0.019949002549872506,p = 0.020
Immune,Total Immune,Within-diet infection response,50,2,Downregulated,8,11.11111111111111,72,0.019949002549872506,p = 0.020
Immune,Total Immune,Within-diet infection response,50,2,N.S.,22,30.555555555555557,72,0.019949002549872506,p = 0.020
Immune,Total Immune,Within-diet infection response,50,2,Upregulated,42,58.333333333333336,72,0.019949002549872506,p = 0.020
Immune,Total Immune,Within-diet infection response,83,3,Downregulated,1,1.3888888888888888,72,0.019949002549872506,p = 0.020
Immune,Total Immune,Within-diet infection response,83,3,N.S.,36,50,72,0.019949002549872506,p = 0.020
Immune,Total Immune,Within-diet infection response,83,3,Upregulated,35,48.611111111111114,72,0.019949002549872506,p = 0.020
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"50
vs
33",1,N.S.,85,93.4065934065934,91,8.499575021248938e-4,p < 0.001
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"50
vs
33",1,Upregulated,6,6.593406593406593,91,8.499575021248938e-4,p < 0.001
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
33",2,Downregulated,1,1.098901098901099,91,8.499575021248938e-4,p < 0.001
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
33",2,N.S.,76,83.51648351648352,91,8.499575021248938e-4,p < 0.001
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
33",2,Upregulated,14,15.384615384615385,91,8.499575021248938e-4,p < 0.001
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
50",3,N.S.,90,98.9010989010989,91,8.499575021248938e-4,p < 0.001
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
50",3,Upregulated,1,1.098901098901099,91,8.499575021248938e-4,p < 0.001
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,33,1,Downregulated,4,4.395604395604396,91,0.7026148692565372,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,33,1,N.S.,79,86.81318681318682,91,0.7026148692565372,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,33,1,Upregulated,8,8.791208791208792,91,0.7026148692565372,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,50,2,Downregulated,6,6.593406593406593,91,0.7026148692565372,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,50,2,N.S.,72,79.12087912087912,91,0.7026148692565372,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,50,2,Upregulated,13,14.285714285714286,91,0.7026148692565372,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,83,3,Downregulated,5,5.4945054945054945,91,0.7026148692565372,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,83,3,N.S.,77,84.61538461538461,91,0.7026148692565372,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,83,3,Upregulated,9,9.89010989010989,91,0.7026148692565372,N.S.D.
