source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,sequence_name,sequence_role,assigned_molecule,location_type,sequence_class,contrast_id,contrast_label,figure_scope,x_label,x_order,desired_sign,positive_condition,negative_condition,workbook_lfc_col,workbook_padj_col,show_in_figure,analysis_scope,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,oriented_log2FC,status,higher_expression_condition,primary_figure,original_value,original_oriented_log2FC,original_status
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126284648,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,8,Chromosome,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,50,2,1,Infected diet 50,Control diet 50,Diet 50 log2FC,Diet 50 padj,TRUE,Placed/host-assigned,427.99546102631234,1.428191759786641,0.4676460332873264,3.0540016553698544,0.00225810834837092,0.01690751892609778,TRUE,1.428191759786641,Upregulated,Infected diet 50,TRUE,,,N.S.
Immune,Cellular Immunity,Lysosomal Processing & Antigen Presentation (GILT),LOC126268069,gamma-interferon-inducible lysosomal thiol reductase-like,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,4,Chromosome,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,50,2,1,Infected diet 50,Control diet 50,Diet 50 log2FC,Diet 50 padj,TRUE,Placed/host-assigned,1110.8163368250052,-1.095812683958117,0.34843435789213045,-3.1449616237253006,0.00166108618112868,0.01363402560050684,TRUE,-1.095812683958117,Downregulated,Control diet 50,TRUE,,,N.S.
Immune,Cellular Immunity,Lysosomal Processing & Antigen Presentation (GILT),LOC126291948,gamma-interferon-inducible lysosomal thiol reductase-like,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,NC_064928.1,Chromosome9,assembled-molecule,9,Chromosome,Nuclear chromosome,infection_diet33,Diet 33: infected vs control,Within-diet infection response,33,1,1,Infected diet 33,Control diet 33,Diet 33 log2FC,Diet 33 padj,TRUE,Placed/host-assigned,4796.210763095377,2.9206598537236874,0.809340243900241,3.6086922351085846,3.07744433731938e-4,0.0060328152931584,TRUE,2.9206598537236874,Upregulated,Infected diet 33,TRUE,,,N.S.
Immune,Cellular Immunity,Lysosomal Processing & Antigen Presentation (GILT),LOC126291948,gamma-interferon-inducible lysosomal thiol reductase-like,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,NC_064928.1,Chromosome9,assembled-molecule,9,Chromosome,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,50,2,1,Infected diet 50,Control diet 50,Diet 50 log2FC,Diet 50 padj,TRUE,Placed/host-assigned,4796.210763095377,3.0829304793219987,0.8655814699861236,3.5616872428789654,3.6847917630954905e-4,0.00467512089583408,TRUE,3.0829304793219987,Upregulated,Infected diet 50,TRUE,,,N.S.
Immune,Cellular Immunity,Lysosomal Processing & Antigen Presentation (GILT),LOC126291966,gamma-interferon-inducible lysosomal thiol reductase-like,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,NC_064928.1,Chromosome9,assembled-molecule,9,Chromosome,Nuclear chromosome,infection_diet33,Diet 33: infected vs control,Within-diet infection response,33,1,1,Infected diet 33,Control diet 33,Diet 33 log2FC,Diet 33 padj,TRUE,Placed/host-assigned,73.54444397186747,-1.3097042122076217,0.4406960647813796,-2.9718990407988763,0.00295963989351649,0.03048946811586157,TRUE,-1.3097042122076217,Downregulated,Control diet 33,TRUE,,,N.S.
Immune,Detoxification,Oxidative Stress & ROS Detoxification,LOC126281410,glutathione S-transferase D7-like,glutathione S-transferase D7-like,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,7,Chromosome,Nuclear chromosome,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,"50
vs
33",1,-1,Infected diet 50,Infected diet 33,inf33 vs inf50_log2FC,inf33 vs inf50_padj,TRUE,Placed/host-assigned,337.85400376906375,-2.0904201005063485,0.5858329884440099,-3.568286767289373,3.593231105022252e-4,0.03115750210943835,TRUE,2.0904201005063485,Upregulated,Infected diet 50,TRUE,,,N.S.
Immune,Detoxification,Oxidative Stress & ROS Detoxification,LOC126281410,glutathione S-transferase D7-like,glutathione S-transferase D7-like,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,7,Chromosome,Nuclear chromosome,infection_diet33,Diet 33: infected vs control,Within-diet infection response,33,1,1,Infected diet 33,Control diet 33,Diet 33 log2FC,Diet 33 padj,TRUE,Placed/host-assigned,337.85400376906375,2.3500394377973146,0.6334954480734399,3.709639027311336,2.075549593116228e-4,0.00459809058763397,TRUE,2.3500394377973146,Upregulated,Infected diet 33,TRUE,,,N.S.
Immune,Detoxification,Oxidative Stress & ROS Detoxification,LOC126281410,glutathione S-transferase D7-like,glutathione S-transferase D7-like,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,7,Chromosome,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,50,2,1,Infected diet 50,Control diet 50,Diet 50 log2FC,Diet 50 padj,TRUE,Placed/host-assigned,337.85400376906375,4.723411276536222,0.6771236588419619,6.975699659666815,3.0435230275979627e-12,8.961907181681166e-10,TRUE,4.723411276536222,Upregulated,Infected diet 50,TRUE,,,N.S.
Immune,Detoxification,Oxidative Stress & ROS Detoxification,LOC126281410,glutathione S-transferase D7-like,glutathione S-transferase D7-like,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,7,Chromosome,Nuclear chromosome,infection_diet83,Diet 83: infected vs control,Within-diet infection response,83,3,1,Infected diet 83,Control diet 83,Diet 83 log2FC,Diet 83 padj,TRUE,Placed/host-assigned,337.85400376906375,4.318298687798274,0.7162158315012318,6.029325934818919,1.6464493967461935e-9,3.061962601790882e-7,TRUE,4.318298687798274,Upregulated,Infected diet 83,TRUE,,,N.S.
Immune,Detoxification,Xenobiotic & Chemical Defense,LOC126272144,cytochrome P450 6k1-like,cytochrome P450 6k1-like,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,5,Chromosome,Nuclear chromosome,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,"50
vs
33",1,-1,Infected diet 50,Infected diet 33,inf33 vs inf50_log2FC,inf33 vs inf50_padj,TRUE,Placed/host-assigned,189.27363492222037,2.480792514650984,0.4623070813099846,5.366114028843031,8.04510908577084e-8,9.15096386295144e-5,TRUE,-2.480792514650984,Downregulated,Infected diet 33,TRUE,,,N.S.
