source_sheet,umbrella,figure_scope,x_label,x_order,status,n_genes,percentage,n_targets,p_value,p_label
Immune,Total Immune,Diet comparison among infected,"50
vs
33",1,Downregulated,1,1.5625,64,0.13069346532673368,N.S.D.
Immune,Total Immune,Diet comparison among infected,"50
vs
33",1,N.S.,60,93.75,64,0.13069346532673368,N.S.D.
Immune,Total Immune,Diet comparison among infected,"50
vs
33",1,Upregulated,3,4.6875,64,0.13069346532673368,N.S.D.
Immune,Total Immune,Diet comparison among infected,"83
vs
33",2,N.S.,63,98.4375,64,0.13069346532673368,N.S.D.
Immune,Total Immune,Diet comparison among infected,"83
vs
33",2,Upregulated,1,1.5625,64,0.13069346532673368,N.S.D.
Immune,Total Immune,Diet comparison among infected,"83
vs
50",3,N.S.,64,100,64,0.13069346532673368,N.S.D.
Immune,Total Immune,Within-diet infection response,33,1,Downregulated,3,4.6875,64,0.0103994800259987,p = 0.010
Immune,Total Immune,Within-diet infection response,33,1,N.S.,27,42.1875,64,0.0103994800259987,p = 0.010
Immune,Total Immune,Within-diet infection response,33,1,Upregulated,34,53.125,64,0.0103994800259987,p = 0.010
Immune,Total Immune,Within-diet infection response,50,2,Downregulated,8,12.5,64,0.0103994800259987,p = 0.010
Immune,Total Immune,Within-diet infection response,50,2,N.S.,14,21.875,64,0.0103994800259987,p = 0.010
Immune,Total Immune,Within-diet infection response,50,2,Upregulated,42,65.625,64,0.0103994800259987,p = 0.010
Immune,Total Immune,Within-diet infection response,83,3,Downregulated,1,1.5625,64,0.0103994800259987,p = 0.010
Immune,Total Immune,Within-diet infection response,83,3,N.S.,28,43.75,64,0.0103994800259987,p = 0.010
Immune,Total Immune,Within-diet infection response,83,3,Upregulated,35,54.6875,64,0.0103994800259987,p = 0.010
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"50
vs
33",1,N.S.,29,82.85714285714286,35,0.14844257787110646,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"50
vs
33",1,Upregulated,6,17.142857142857142,35,0.14844257787110646,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
33",2,Downregulated,1,2.857142857142857,35,0.14844257787110646,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
33",2,N.S.,30,85.71428571428571,35,0.14844257787110646,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
33",2,Upregulated,4,11.428571428571429,35,0.14844257787110646,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
50",3,N.S.,34,97.14285714285714,35,0.14844257787110646,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Diet comparison among infected,"83
vs
50",3,Upregulated,1,2.857142857142857,35,0.14844257787110646,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,33,1,Downregulated,4,11.428571428571429,35,0.5574721263936803,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,33,1,N.S.,23,65.71428571428571,35,0.5574721263936803,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,33,1,Upregulated,8,22.857142857142858,35,0.5574721263936803,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,50,2,Downregulated,6,17.142857142857142,35,0.5574721263936803,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,50,2,N.S.,16,45.714285714285715,35,0.5574721263936803,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,50,2,Upregulated,13,37.142857142857146,35,0.5574721263936803,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,83,3,Downregulated,5,14.285714285714286,35,0.5574721263936803,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,83,3,N.S.,21,60,35,0.5574721263936803,N.S.D.
Protein-Anabolism,Total Protein Anabolism,Within-diet infection response,83,3,Upregulated,9,25.714285714285715,35,0.5574721263936803,N.S.D.
