source_sheet,umbrella,figure_scope,x_label,x_order,status,n_genes,percentage,n_targets,p_value,p_label
Immune,Cellular Immunity,Diet comparison among infected,"50
vs
33",1,N.S.,9,100,9,1,N.S.D.
Immune,Cellular Immunity,Diet comparison among infected,"83
vs
33",2,N.S.,9,100,9,1,N.S.D.
Immune,Cellular Immunity,Diet comparison among infected,"83
vs
50",3,N.S.,8,88.88888888888889,9,1,N.S.D.
Immune,Cellular Immunity,Diet comparison among infected,"83
vs
50",3,Upregulated,1,11.11111111111111,9,1,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,33,1,Downregulated,2,22.22222222222222,9,0.5143742812859357,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,33,1,N.S.,6,66.66666666666667,9,0.5143742812859357,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,33,1,Upregulated,1,11.11111111111111,9,0.5143742812859357,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,50,2,Downregulated,2,22.22222222222222,9,0.5143742812859357,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,50,2,N.S.,4,44.44444444444444,9,0.5143742812859357,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,50,2,Upregulated,3,33.333333333333336,9,0.5143742812859357,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,83,3,N.S.,6,66.66666666666667,9,0.5143742812859357,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,83,3,Upregulated,3,33.333333333333336,9,0.5143742812859357,N.S.D.
Immune,Humoral Immunity,Diet comparison among infected,"50
vs
33",1,N.S.,7,100,7,,N.S.D.
Immune,Humoral Immunity,Diet comparison among infected,"83
vs
33",2,N.S.,7,100,7,,N.S.D.
Immune,Humoral Immunity,Diet comparison among infected,"83
vs
50",3,N.S.,7,100,7,,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,33,1,N.S.,4,57.142857142857146,7,0.5855207239638018,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,33,1,Upregulated,3,42.857142857142854,7,0.5855207239638018,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,50,2,Downregulated,2,28.571428571428573,7,0.5855207239638018,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,50,2,N.S.,2,28.571428571428573,7,0.5855207239638018,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,50,2,Upregulated,3,42.857142857142854,7,0.5855207239638018,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,83,3,Downregulated,1,14.285714285714286,7,0.5855207239638018,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,83,3,N.S.,2,28.571428571428573,7,0.5855207239638018,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,83,3,Upregulated,4,57.142857142857146,7,0.5855207239638018,N.S.D.
Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,"50
vs
33",1,N.S.,59,96.72131147540983,61,0.8752062396880156,N.S.D.
Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,"50
vs
33",1,Upregulated,2,3.278688524590164,61,0.8752062396880156,N.S.D.
Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,"83
vs
33",2,N.S.,58,95.08196721311475,61,0.8752062396880156,N.S.D.
