"expression_cluster","sample_id","cluster_mean_z","Treatment","Diet","sample_group","outlier_status","sample_label"
"DEG cluster 1","1002",0.272255191997999,"Control","83","Control 83","Other sample","1002"
"DEG cluster 1","1003",0.507249942948663,"Control","33","Control 33","Other sample","1003"
"DEG cluster 1","1004",0.576916086183348,"Control","50","Control 50","Other sample","1004"
"DEG cluster 1","1005",0.398421668552149,"Control","83","Control 83","Other sample","1005"
"DEG cluster 1","1006",0.736030758643518,"Control","33","Control 33","Other sample","1006"
"DEG cluster 1","1007",0.741648349650954,"Control","50","Control 50","Discussed outlier","1007 *"
"DEG cluster 1","1009",0.550751250773065,"Control","33","Control 33","Other sample","1009"
"DEG cluster 1","1011",0.439979489637606,"Control","83","Control 83","Other sample","1011"
"DEG cluster 1","1014",-0.212758351087123,"Infected","83","Infected 83","Other sample","1014"
"DEG cluster 1","1015",-0.635659066067189,"Infected","33","Infected 33","Other sample","1015"
"DEG cluster 1","1016",-0.834460843284339,"Infected","50","Infected 50","Other sample","1016"
"DEG cluster 1","1018",-0.207473534638775,"Infected","33","Infected 33","Other sample","1018"
"DEG cluster 1","1020",-0.374367176196378,"Infected","83","Infected 83","Other sample","1020"
"DEG cluster 1","1021",-0.0251395731249116,"Infected","33","Infected 33","Other sample","1021"
"DEG cluster 1","1023",-1.21240420318904,"Infected","83","Infected 83","Other sample","1023"
"DEG cluster 1","1024",-0.312114708113506,"Infected","83","Infected 83","Other sample","1024"
"DEG cluster 1","1025",-0.51001985460804,"Infected","50","Infected 50","Other sample","1025"
"DEG cluster 1","1027",-0.953296667633949,"Infected","33","Infected 33","Other sample","1027"
"DEG cluster 1","1028",0.0176460725849878,"Infected","50","Infected 50","Other sample","1028"
"DEG cluster 1","1029",-0.90957445979546,"Infected","83","Infected 83","Other sample","1029"
"DEG cluster 1","1030",0.768572143502647,"Control","33","Control 33","Other sample","1030"
"DEG cluster 1","1031",0.591435382174391,"Control","50","Control 50","Other sample","1031"
"DEG cluster 1","1032",0.647136605371814,"Control","83","Control 83","Other sample","1032"
"DEG cluster 1","1033",0.421163282996542,"Control","33","Control 33","Other sample","1033"
"DEG cluster 1","1034",0.569499803139864,"Control","50","Control 50","Other sample","1034"
"DEG cluster 1","1035",0.467145884485119,"Control","83","Control 83","Other sample","1035"
"DEG cluster 1","1036",0.761076598568566,"Control","33","Control 33","Discussed outlier","1036 *"
"DEG cluster 1","1037",0.877872661769975,"Control","50","Control 50","Discussed outlier","1037 *"
"DEG cluster 1","1038",0.765077232909464,"Control","83","Control 83","Other sample","1038"
"DEG cluster 1","1039",0.407053642712455,"Control","33","Control 33","Discussed outlier","1039 *"
"DEG cluster 1","1040",0.260059645927503,"Control","50","Control 50","Other sample","1040"
"DEG cluster 1","1041",0.617979635089889,"Control","83","Control 83","Other sample","1041"
"DEG cluster 1","1042",-0.30449659410159,"Infected","33","Infected 33","Other sample","1042"
"DEG cluster 1","1043",-0.00556237281912668,"Infected","50","Infected 50","Other sample","1043"
"DEG cluster 1","1045",-0.251745023326188,"Infected","33","Infected 33","Other sample","1045"
"DEG cluster 1","1046",-0.386077278687917,"Infected","50","Infected 50","Other sample","1046"
"DEG cluster 1","1049",-0.970843105234548,"Infected","50","Infected 50","Other sample","1049"
"DEG cluster 1","1050",-0.266879187741731,"Infected","83","Infected 83","Other sample","1050"
"DEG cluster 1","1051",-0.0783092448347272,"Infected","33","Infected 33","Other sample","1051"
"DEG cluster 1","1052",-0.315959359369887,"Infected","50","Infected 50","Other sample","1052"
"DEG cluster 1","1054",-0.725448258077395,"Infected","33","Infected 33","Other sample","1054"
"DEG cluster 1","1055",-0.100933312623121,"Infected","50","Infected 50","Other sample","1055"
"DEG cluster 1","1057",-0.873409432497608,"Infected","33","Infected 33","Other sample","1057"
"DEG cluster 1","1058",-0.933318160585683,"Infected","50","Infected 50","Other sample","1058"
"DEG cluster 2","1002",-0.952264790167308,"Control","83","Control 83","Other sample","1002"
"DEG cluster 2","1003",0.332559188235182,"Control","33","Control 33","Other sample","1003"
"DEG cluster 2","1004",-0.0593634697461592,"Control","50","Control 50","Other sample","1004"
"DEG cluster 2","1005",-0.0783869940341234,"Control","83","Control 83","Other sample","1005"
"DEG cluster 2","1006",0.257748458622073,"Control","33","Control 33","Other sample","1006"
"DEG cluster 2","1007",0.0226924587426002,"Control","50","Control 50","Discussed outlier","1007 *"
"DEG cluster 2","1009",0.648262063726513,"Control","33","Control 33","Other sample","1009"
"DEG cluster 2","1011",-0.0524861942843915,"Control","83","Control 83","Other sample","1011"
"DEG cluster 2","1014",-0.0253157365773121,"Infected","83","Infected 83","Other sample","1014"
"DEG cluster 2","1015",0.198800483852259,"Infected","33","Infected 33","Other sample","1015"
"DEG cluster 2","1016",-0.676163211976976,"Infected","50","Infected 50","Other sample","1016"
"DEG cluster 2","1018",0.493391200422629,"Infected","33","Infected 33","Other sample","1018"
"DEG cluster 2","1020",-0.821498856734022,"Infected","83","Infected 83","Other sample","1020"
"DEG cluster 2","1021",0.560800664929994,"Infected","33","Infected 33","Other sample","1021"
"DEG cluster 2","1023",-0.314334567143741,"Infected","83","Infected 83","Other sample","1023"
"DEG cluster 2","1024",-0.0217043407763399,"Infected","83","Infected 83","Other sample","1024"
"DEG cluster 2","1025",0.0801172131025092,"Infected","50","Infected 50","Other sample","1025"
"DEG cluster 2","1027",0.0206376997700316,"Infected","33","Infected 33","Other sample","1027"
"DEG cluster 2","1028",0.420787317905589,"Infected","50","Infected 50","Other sample","1028"
"DEG cluster 2","1029",-0.604206348691723,"Infected","83","Infected 83","Other sample","1029"
"DEG cluster 2","1030",0.666340472989031,"Control","33","Control 33","Other sample","1030"
"DEG cluster 2","1031",0.0278923836813768,"Control","50","Control 50","Other sample","1031"
"DEG cluster 2","1032",-0.168242694825969,"Control","83","Control 83","Other sample","1032"
"DEG cluster 2","1033",0.283430252759877,"Control","33","Control 33","Other sample","1033"
"DEG cluster 2","1034",-0.245917676645649,"Control","50","Control 50","Other sample","1034"
"DEG cluster 2","1035",-0.567549595361046,"Control","83","Control 83","Other sample","1035"
"DEG cluster 2","1036",0.367832260989258,"Control","33","Control 33","Discussed outlier","1036 *"
"DEG cluster 2","1037",0.0713226263691499,"Control","50","Control 50","Discussed outlier","1037 *"
"DEG cluster 2","1038",-0.147647110390394,"Control","83","Control 83","Other sample","1038"
"DEG cluster 2","1039",0.329348326073676,"Control","33","Control 33","Discussed outlier","1039 *"
"DEG cluster 2","1040",0.103178471067792,"Control","50","Control 50","Other sample","1040"
"DEG cluster 2","1041",-0.259108735142993,"Control","83","Control 83","Other sample","1041"
"DEG cluster 2","1042",0.452246551574306,"Infected","33","Infected 33","Other sample","1042"
"DEG cluster 2","1043",0.198223108651774,"Infected","50","Infected 50","Other sample","1043"
"DEG cluster 2","1045",0.17109612504738,"Infected","33","Infected 33","Other sample","1045"
"DEG cluster 2","1046",-0.440989690642696,"Infected","50","Infected 50","Other sample","1046"
"DEG cluster 2","1049",-0.419993316535863,"Infected","50","Infected 50","Other sample","1049"
"DEG cluster 2","1050",0.100546555672867,"Infected","83","Infected 83","Other sample","1050"
"DEG cluster 2","1051",0.12903048900556,"Infected","33","Infected 33","Other sample","1051"
"DEG cluster 2","1052",-0.0952414549806316,"Infected","50","Infected 50","Other sample","1052"
"DEG cluster 2","1054",0.0126419236789471,"Infected","33","Infected 33","Other sample","1054"
"DEG cluster 2","1055",0.241558553363225,"Infected","50","Infected 50","Other sample","1055"
"DEG cluster 2","1057",-0.0260922377357453,"Infected","33","Infected 33","Other sample","1057"
"DEG cluster 2","1058",-0.386409041007285,"Infected","50","Infected 50","Other sample","1058"
"DEG cluster 3+4","1002",-0.612143149028683,"Control","83","Control 83","Other sample","1002"
"DEG cluster 3+4","1003",-0.56960385841903,"Control","33","Control 33","Other sample","1003"
"DEG cluster 3+4","1004",-0.558235357772299,"Control","50","Control 50","Other sample","1004"
"DEG cluster 3+4","1005",-0.354645785490466,"Control","83","Control 83","Other sample","1005"
"DEG cluster 3+4","1006",-0.441563378159166,"Control","33","Control 33","Other sample","1006"
"DEG cluster 3+4","1007",-0.743199729919025,"Control","50","Control 50","Discussed outlier","1007 *"
"DEG cluster 3+4","1009",-0.673276705796627,"Control","33","Control 33","Other sample","1009"
"DEG cluster 3+4","1011",-0.0767070051725315,"Control","83","Control 83","Other sample","1011"
"DEG cluster 3+4","1014",0.305692484911296,"Infected","83","Infected 83","Other sample","1014"
"DEG cluster 3+4","1015",0.663776101208941,"Infected","33","Infected 33","Other sample","1015"
"DEG cluster 3+4","1016",1.09657839331221,"Infected","50","Infected 50","Other sample","1016"
"DEG cluster 3+4","1018",0.093490086535712,"Infected","33","Infected 33","Other sample","1018"
"DEG cluster 3+4","1020",-0.140039096754937,"Infected","83","Infected 83","Other sample","1020"
"DEG cluster 3+4","1021",-0.112633352042565,"Infected","33","Infected 33","Other sample","1021"
"DEG cluster 3+4","1023",1.10518528683412,"Infected","83","Infected 83","Other sample","1023"
"DEG cluster 3+4","1024",0.104682122276829,"Infected","83","Infected 83","Other sample","1024"
"DEG cluster 3+4","1025",0.602358065527813,"Infected","50","Infected 50","Other sample","1025"
"DEG cluster 3+4","1027",0.961782818478711,"Infected","33","Infected 33","Other sample","1027"
"DEG cluster 3+4","1028",0.498804293634494,"Infected","50","Infected 50","Other sample","1028"
"DEG cluster 3+4","1029",0.948550524700124,"Infected","83","Infected 83","Other sample","1029"
