"expression_cluster","Treatment","Diet","sample_group","n_samples","mean_z","sd_z","se_z","sample_group_plot","tile_label"
"DEG cluster 1","Infected","33","Infected 33",9,-0.45055304381137,0.350156594479076,0.116718864826359,"Infected 33","-0.45"
"DEG cluster 1","Infected","50","Infected 50",9,-0.448836468291964,0.389934695953874,0.129978231984625,"Infected 50","-0.45"
"DEG cluster 1","Infected","83","Infected 83",6,-0.548016347687207,0.412158982983299,0.168263200202256,"Infected 83","-0.55"
"DEG cluster 1","Control","33","Control 33",7,0.593128231449351,0.159569701369069,0.0603116780861999,"Control 33","0.59"
"DEG cluster 1","Control","50","Control 50",6,0.602905321474339,0.207037557873826,0.0845227290638025,"Control 50","0.60"
"DEG cluster 1","Control","83","Control 83",7,0.515427958292006,0.16883713583699,0.0638144390710151,"Control 83","0.52"
"DEG cluster 2","Infected","33","Infected 33",9,0.223616988949485,0.22336324321748,0.0744544144058266,"Infected 33","0.22"
"DEG cluster 2","Infected","50","Infected 50",9,-0.119790058013373,0.377230468745621,0.125743489581874,"Infected 50","-0.12"
"DEG cluster 2","Infected","83","Infected 83",6,-0.281085549041712,0.367668046754219,0.150099851545598,"Infected 83","-0.28"
"DEG cluster 2","Control","33","Control 33",7,0.412217289056516,0.171233348253054,0.064720122234071,"Control 33","0.41"
"DEG cluster 2","Control","50","Control 50",6,-0.0133658677551482,0.126454176188296,0.0516247012508879,"Control 50","-0.01"
"DEG cluster 2","Control","83","Control 83",7,-0.317955159172318,0.328479913819531,0.124153737520915,"Control 83","-0.32"
"DEG cluster 3+4","Infected","33","Infected 33",9,0.276136418935505,0.423637491579253,0.141212497193084,"Infected 33","0.28"
"DEG cluster 3+4","Infected","50","Infected 50",9,0.605791592056102,0.285534796059954,0.0951782653533178,"Infected 50","0.61"
"DEG cluster 3+4","Infected","83","Infected 83",6,0.428276455490178,0.490915196196738,0.20041528961005,"Infected 83","0.43"
"DEG cluster 3+4","Control","33","Control 33",7,-0.552247574534716,0.149233449105172,0.0564049419463857,"Control 33","-0.55"
"DEG cluster 3+4","Control","50","Control 50",6,-0.637438400101492,0.0984841879782676,0.0402060013798495,"Control 50","-0.64"
"DEG cluster 3+4","Control","83","Control 83",7,-0.430458168451773,0.218683325544521,0.0826545278953402,"Control 83","-0.43"
