"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","foreground_set","ontology"
"GO:0005576","extracellular region","85/633","248/5278",0.342741935483871,2.85780716506141,11.0622896160575,3.07711042982478e-21,1.47393589588607e-17,1.47393589588607e-17,"LOC126346606/LOC126284250/LOC126358586/LOC126365865/LOC126284425/LOC126272576/LOC126267478/LOC126273024/LOC126354358/LOC126344496/LOC126272905/LOC126336325/LOC126267391/LOC126335547/LOC126271975/LOC126284087/LOC126268712/LOC126298594/LOC126267253/LOC126284629/LOC126273032/LOC126266626/LOC126299533/LOC126267519/LOC126334780/LOC126267876/LOC126299332/LOC126335546/LOC126298389/LOC126346622/LOC126272263/LOC126353822/LOC126273010/LOC126335382/LOC126330284/LOC126346021/LOC126336597/LOC126334779/LOC126293181/LOC126336373/LOC126293557/LOC126334947/LOC126335545/LOC126285462/LOC126323429/LOC126275497/LOC126356100/LOC126352738/LOC126272081/LOC126272361/LOC126346580/LOC126267477/LOC126293178/LOC126272090/LOC126271928/LOC126272362/LOC126284086/LOC126336724/LOC126355938/LOC126271872/LOC126273129/LOC126337058/LOC126298901/LOC126333165/LOC126293620/LOC126298648/LOC126282193/LOC126281165/LOC126272787/LOC126267997/LOC126280991/LOC126298861/LOC126336602/LOC126284491/LOC126355485/LOC126283987/LOC126284845/LOC126335544/LOC126331446/LOC126278442/LOC126336809/LOC126295285/LOC126356176/LOC126284577/LOC126299206",85,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Cellular component"
"GO:0005615","extracellular space","40/633","115/5278",0.347826086956522,2.90019918950477,7.60500544092605,1.01835640640996e-10,9.75585437340744e-08,9.75585437340744e-08,"LOC126358586/LOC126267478/LOC126354358/LOC126344496/LOC126335547/LOC126271975/LOC126298594/LOC126267253/LOC126284629/LOC126267519/LOC126267876/LOC126299332/LOC126335546/LOC126353822/LOC126273010/LOC126335382/LOC126330284/LOC126346021/LOC126334779/LOC126336373/LOC126293557/LOC126334947/LOC126335545/LOC126275497/LOC126272361/LOC126267477/LOC126272362/LOC126337058/LOC126298901/LOC126333165/LOC126293620/LOC126282193/LOC126281165/LOC126280991/LOC126283987/LOC126335544/LOC126331446/LOC126278442/LOC126295285/LOC126356176",40,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Cellular component"
"GO:0006576","biogenic amine metabolic process","13/633","16/5278",0.8125,6.77468404423381,8.53916370701824,3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,"LOC126335036/LOC126278953/LOC126282005/LOC126356204/LOC126354225/LOC126333165/LOC126282517/LOC126271955/LOC126293695/LOC126284548/LOC126267535/LOC126356039/LOC126284808",13,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0009308","amine metabolic process","13/633","16/5278",0.8125,6.77468404423381,8.53916370701824,3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,"LOC126335036/LOC126278953/LOC126282005/LOC126356204/LOC126354225/LOC126333165/LOC126282517/LOC126271955/LOC126293695/LOC126284548/LOC126267535/LOC126356039/LOC126284808",13,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0006022","aminoglycan metabolic process","22/633","44/5278",0.5,4.16903633491311,7.79182590998354,6.20891292061164e-10,3.3045214321922e-07,3.3045214321922e-07,"LOC126346606/LOC126267215/LOC126335001/LOC126335966/LOC126267061/LOC126354720/LOC126299078/LOC126346622/LOC126336345/LOC126284041/LOC126267652/LOC126285462/LOC126267216/LOC126281994/LOC126267217/LOC126346580/LOC126278279/LOC126271949/LOC126268068/LOC126266657/LOC126267343/LOC126365918",22,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0006820","monoatomic anion transport","47/633","157/5278",0.299363057324841,2.49611092663588,7.02487783278708,8.03271249567173e-10,3.49788116856978e-07,3.49788116856978e-07,"LOC126356065/LOC126354478/LOC126354582/LOC126284897/LOC126273067/LOC126298679/LOC126298067/LOC126336688/LOC126325327/LOC126355940/LOC126269368/LOC126336682/LOC126299447/LOC126334955/LOC126324835/LOC126267409/LOC126354753/LOC126272718/LOC126282005/LOC126336375/LOC126278232/LOC126336638/LOC126272884/LOC126335259/LOC126353927/LOC126299195/LOC126278467/LOC126354562/LOC126355684/LOC126334835/LOC126356631/LOC126279835/LOC126337983/LOC126366011/LOC126281351/LOC126278890/LOC126285413/LOC126272465/LOC126354788/LOC126269352/LOC126355939/LOC126353931/LOC126268194/LOC126356039/LOC126354780/LOC126363354/LOC126355391",47,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0022857","transmembrane transporter activity","74/633","313/5278",0.236421725239617,1.97130152577361,6.53987061388336,2.1656431503169e-09,8.64452557501497e-07,8.64452557501497e-07,"LOC126356065/LOC126354186/LOC126354017/LOC126279309/LOC126354478/LOC126354582/LOC126284897/LOC126355846/LOC126298679/LOC126298067/LOC126336688/LOC126325327/LOC126355940/LOC126336928/LOC126355303/LOC126269368/LOC126336682/LOC126354018/LOC126299447/LOC126334955/LOC126324835/LOC126324336/LOC126267409/LOC126272139/LOC126354753/LOC126272718/LOC126282005/LOC126298058/LOC126336375/LOC126278232/LOC126336638/LOC126272884/LOC126335259/LOC126353927/LOC126354570/LOC126299195/LOC126282259/LOC126278467/LOC126354562/LOC126335539/LOC126355684/LOC126272767/LOC126334835/LOC126266590/LOC126356631/LOC126279835/LOC126366011/LOC126278946/LOC126356316/LOC126297555/LOC126358740/LOC126281351/LOC126278890/LOC126267806/LOC126357744/LOC126285413/LOC126272465/LOC126354788/LOC126299550/LOC126269352/LOC126355939/LOC126353931/LOC126268194/LOC126356039/LOC126277871/LOC126354780/LOC126365875/LOC126336038/LOC126278191/LOC126292020/LOC126363354/LOC126356304/LOC126334943/LOC126355391",74,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Molecular function"
"GO:0000270","peptidoglycan metabolic process","9/633","9/5278",1,8.33807266982622,8.13283023054953,4.88160029853405e-09,1.55885769533187e-06,1.55885769533187e-06,"LOC126267215/LOC126267061/LOC126267652/LOC126285462/LOC126267216/LOC126267217/LOC126268068/LOC126267343/LOC126365918",9,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0009253","peptidoglycan catabolic process","9/633","9/5278",1,8.33807266982622,8.13283023054953,4.88160029853405e-09,1.55885769533187e-06,1.55885769533187e-06,"LOC126267215/LOC126267061/LOC126267652/LOC126285462/LOC126267216/LOC126267217/LOC126268068/LOC126267343/LOC126365918",9,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0042834","peptidoglycan binding","10/633","11/5278",0.909090909090909,7.58006606347839,8.06394357484566,5.67563637593954e-09,1.6991436400469e-06,1.6991436400469e-06,"LOC126267215/LOC126267061/LOC126267652/LOC126285462/LOC126267216/LOC126267217/LOC126267163/LOC126268068/LOC126267343/LOC126365918",10,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Molecular function"
