"foreground_set","ontology","term_id","term_name","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj"
"All main-chromosome DEGs","Biological process","GO:0006576","biogenic amine metabolic process","13/633","16/5278",3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,13,"LOC126267535","kynurenine formamidase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",2.08204022637779,6.41811777038635e-07
"All main-chromosome DEGs","Biological process","GO:0006576","biogenic amine metabolic process","13/633","16/5278",3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,13,"LOC126271955","aromatic-L-amino-acid decarboxylase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average infected; Infected diet 50; Infected diet 83",1.89987959340667,3.99685523668323e-06
"All main-chromosome DEGs","Biological process","GO:0006576","biogenic amine metabolic process","13/633","16/5278",3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,13,"LOC126278953","xanthine dehydrogenase","protein_coding","Infection + diet","control_diet83_vs33; infected_diet83_vs33","Control diet 83; Infected diet 83",1.63143391109172,0.000603365613007829
"All main-chromosome DEGs","Biological process","GO:0006576","biogenic amine metabolic process","13/633","16/5278",3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,13,"LOC126282005","protein white-like","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.22938533057602,0.0460097705480411
"All main-chromosome DEGs","Biological process","GO:0006576","biogenic amine metabolic process","13/633","16/5278",3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,13,"LOC126282517","tryptophan 2,3-dioxygenase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average infected; Infected diet 50",1.54351890593063,0.000111668142509328
"All main-chromosome DEGs","Biological process","GO:0006576","biogenic amine metabolic process","13/633","16/5278",3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,13,"LOC126284548","spermine synthase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average infected; Infected diet 33; Infected diet 50; Infected diet 83",4.09766763087521,4.78233492412324e-29
"All main-chromosome DEGs","Biological process","GO:0006576","biogenic amine metabolic process","13/633","16/5278",3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,13,"LOC126284808","spermine synthase-like","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.06539387582938,0.00168666378872652
"All main-chromosome DEGs","Biological process","GO:0006576","biogenic amine metabolic process","13/633","16/5278",3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,13,"LOC126293695","acetylcholinesterase-like","protein_coding","Diet in infected","infected_diet33_vs50","Infected diet 50",4.88208606507,0.0127573566261294
"All main-chromosome DEGs","Biological process","GO:0006576","biogenic amine metabolic process","13/633","16/5278",3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,13,"LOC126333165","MOXD1 homolog 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.75689038927711,6.25497804386719e-05
"All main-chromosome DEGs","Biological process","GO:0006576","biogenic amine metabolic process","13/633","16/5278",3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,13,"LOC126335036","S-adenosylmethionine decarboxylase proenzyme","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average infected; Infected diet 33; Infected diet 50; Infected diet 83",2.53283956185607,2.43414135708427e-16
