"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","foreground_set","ontology"
"GO:0044281","small molecule metabolic process","49/268","457/5278",0.107221006564551,2.11161370390934,5.75023385873961,2.2098942893226e-07,0.000264634841146381,0.000264634841146381,"LOC126281954/LOC126365930/LOC126349195/LOC126284002/LOC126336714/LOC126266657/LOC126284573/LOC126298865/LOC126267953/LOC126305900/LOC126299549/LOC126299043/LOC126347864/LOC126333165/LOC126299150/LOC126267350/LOC126297494/LOC126335505/LOC126277907/LOC126281958/LOC126281446/LOC126347783/LOC126279122/LOC126365911/LOC126267222/LOC126281672/LOC126284662/LOC126334596/LOC126336244/LOC126267535/LOC126354225/LOC126281861/LOC126291591/LOC126297871/LOC126292317/LOC126335256/LOC126355885/LOC126354620/LOC126299078/LOC126335352/LOC126336251/LOC126293404/LOC126323251/LOC126320178/LOC126278002/LOC126298220/LOC126277880/LOC126336122/LOC126272037",49,"GO","Expressed rRNA-filtered main-chromosome genes",268,5278,"Expression cluster 1","Biological process"
"GO:0040003","chitin-based cuticle development","15/268","73/5278",0.205479452054795,4.04671846248211,6.06213311571313,2.64455913620951e-06,0.00126674382624436,0.00126674382624436,"LOC126284491/LOC126354720/LOC126284087/LOC126336597/LOC126284577/LOC126284425/LOC126336345/LOC126284250/LOC126267997/LOC126271949/LOC126299078/LOC126336602/LOC126336809/LOC126284845/LOC126284086",15,"GO","Expressed rRNA-filtered main-chromosome genes",268,5278,"Expression cluster 1","Biological process"
"GO:0000278","mitotic cell cycle","30/268","254/5278",0.118110236220472,2.32606651780468,5.00955828286226,9.83500309410053e-06,0.00345381552634003,0.00345381552634003,"LOC126266832/LOC126277977/LOC126284030/LOC126336566/LOC126284632/LOC126272289/LOC126267242/LOC126335481/LOC126284310/LOC126320326/LOC126354218/LOC126326589/LOC126284413/LOC126354268/LOC126279111/LOC126285437/LOC126270526/LOC126284276/LOC126282371/LOC126336858/LOC126267997/LOC126334907/LOC126278346/LOC126266967/LOC126334614/LOC126279072/LOC126347975/LOC126272743/LOC126278341/LOC126266746",30,"GO","Expressed rRNA-filtered main-chromosome genes",268,5278,"Expression cluster 1","Biological process"
"GO:0019752","carboxylic acid metabolic process","27/268","216/5278",0.125,2.46175373134328,5.07320132777071,9.89682863675711e-06,0.00345381552634003,0.00345381552634003,"LOC126365930/LOC126349195/LOC126284002/LOC126336714/LOC126267953/LOC126299043/LOC126347864/LOC126267350/LOC126335505/LOC126281446/LOC126347783/LOC126267222/LOC126281672/LOC126334596/LOC126336244/LOC126267535/LOC126281861/LOC126297871/LOC126335256/LOC126335352/LOC126336251/LOC126293404/LOC126323251/LOC126278002/LOC126298220/LOC126336122/LOC126272037",27,"GO","Expressed rRNA-filtered main-chromosome genes",268,5278,"Expression cluster 1","Biological process"
"GO:0006082","organic acid metabolic process","28/268","233/5278",0.120171673819742,2.36666453142015,4.93459347187836,1.4322463917319e-05,0.00428778763524736,0.00428778763524736,"LOC126365930/LOC126349195/LOC126284002/LOC126336714/LOC126266657/LOC126267953/LOC126299043/LOC126347864/LOC126267350/LOC126335505/LOC126281446/LOC126347783/LOC126267222/LOC126281672/LOC126334596/LOC126336244/LOC126267535/LOC126281861/LOC126297871/LOC126335256/LOC126335352/LOC126336251/LOC126293404/LOC126323251/LOC126278002/LOC126298220/LOC126336122/LOC126272037",28,"GO","Expressed rRNA-filtered main-chromosome genes",268,5278,"Expression cluster 1","Biological process"
"GO:0043436","oxoacid metabolic process","28/268","233/5278",0.120171673819742,2.36666453142015,4.93459347187836,1.4322463917319e-05,0.00428778763524736,0.00428778763524736,"LOC126365930/LOC126349195/LOC126284002/LOC126336714/LOC126266657/LOC126267953/LOC126299043/LOC126347864/LOC126267350/LOC126335505/LOC126281446/LOC126347783/LOC126267222/LOC126281672/LOC126334596/LOC126336244/LOC126267535/LOC126281861/LOC126297871/LOC126335256/LOC126335352/LOC126336251/LOC126293404/LOC126323251/LOC126278002/LOC126298220/LOC126336122/LOC126272037",28,"GO","Expressed rRNA-filtered main-chromosome genes",268,5278,"Expression cluster 1","Biological process"
"GO:0042335","cuticle development","18/268","116/5278",0.155172413793103,3.05597014925373,5.17820071686813,1.76856249855019e-05,0.00498318492238553,0.00498318492238553,"LOC126266832/LOC126336752/LOC126284491/LOC126354720/LOC126284087/LOC126336597/LOC126284577/LOC126284425/LOC126336345/LOC126284250/LOC126267997/LOC126271949/LOC126284821/LOC126299078/LOC126336602/LOC126336809/LOC126284845/LOC126284086",18,"GO","Expressed rRNA-filtered main-chromosome genes",268,5278,"Expression cluster 1","Biological process"
"GO:0006031","chitin biosynthetic process","4/268","5/5278",0.8,15.755223880597,7.63385666176973,3.12327687289657e-05,0.00680022555507934,0.00680022555507934,"LOC126354720/LOC126336345/LOC126271949/LOC126299078",4,"GO","Expressed rRNA-filtered main-chromosome genes",268,5278,"Expression cluster 1","Biological process"
"GO:1901073","glucosamine-containing compound biosynthetic process","4/268","5/5278",0.8,15.755223880597,7.63385666176973,3.12327687289657e-05,0.00680022555507934,0.00680022555507934,"LOC126354720/LOC126336345/LOC126271949/LOC126299078",4,"GO","Expressed rRNA-filtered main-chromosome genes",268,5278,"Expression cluster 1","Biological process"
"GO:1903047","mitotic cell cycle process","24/268","193/5278",0.124352331606218,2.44899853066275,4.74289163572157,3.44894893428329e-05,0.00718281104139868,0.00718281104139868,"LOC126277977/LOC126284030/LOC126336566/LOC126284632/LOC126267242/LOC126284310/LOC126354218/LOC126326589/LOC126284413/LOC126354268/LOC126285437/LOC126270526/LOC126284276/LOC126282371/LOC126267997/LOC126334907/LOC126278346/LOC126266967/LOC126334614/LOC126279072/LOC126347975/LOC126272743/LOC126278341/LOC126266746",24,"GO","Expressed rRNA-filtered main-chromosome genes",268,5278,"Expression cluster 1","Biological process"
"GO:0006576","biogenic amine metabolic process","6/268","16/5278",0.375,7.38526119402985,5.91568877619307,8.43151775986967e-05,0.0149581370628799,0.0149581370628799,"LOC126356039/LOC126333165/LOC126267535/LOC126354225/LOC126284808/LOC126282005",6,"GO","Expressed rRNA-filtered main-chromosome genes",268,5278,"Expression cluster 1","Biological process"
"GO:0009308","amine metabolic process","6/268","16/5278",0.375,7.38526119402985,5.91568877619307,8.43151775986967e-05,0.0149581370628799,0.0149581370628799,"LOC126356039/LOC126333165/LOC126267535/LOC126354225/LOC126284808/LOC126282005",6,"GO","Expressed rRNA-filtered main-chromosome genes",268,5278,"Expression cluster 1","Biological process"
