"foreground_set","ontology","term_id","term_name","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj"
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126266657","UDP-glucose 6-dehydrogenase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.90797128679859,5.50656974051229e-05
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126267222","C-1-tetrahydrofolate synthase, cytoplasmic","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.20990377135291,0.0332461425263246
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126267350","glycine cleavage system H protein, mitochondrial","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.06367326368541,0.0192423308843258
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126267535","kynurenine formamidase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",2.08204022637779,6.41811777038635e-07
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126267953","phytanoyl-CoA dioxygenase domain-containing protein 1 homolog","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.1007264411038,0.0318006578881223
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126272037","aspartate aminotransferase, mitochondrial","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.02749778313012,8.75446855424673e-05
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126277880","ribonucleoside-diphosphate reductase large subunit","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.00676790748366,0.00226912848472019
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126277907","UDP-glucose 4-epimerase","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.22889860621434,0.0330778557109033
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126278002","medium-chain acyl-CoA ligase ACSF2, mitochondrial-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.93635199562098,0.00076879434093847
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126279122","carbonic anhydrase 13-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.54778997409428,0.000122679824803344
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126281446","aldehyde dehydrogenase, mitochondrial","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.49819110159171,1.30251900098959e-06
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126281672","D-aspartate oxidase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.49642633667361,0.000181539916064202
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126281861","uncharacterized LOC126281861","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.2257149838949,1.94148075069126e-06
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126281954","alcohol dehydrogenase class-3","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.3647247464475,2.79215933844294e-08
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126281958","fructose-1,6-bisphosphatase 1","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.37081141966285,5.31175965474024e-08
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126284002","elongation of very long chain fatty acids protein 6","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.42345722447062,8.29036751879089e-10
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126284573","deoxyuridine 5'-triphosphate nucleotidohydrolase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",2.00903793849306,1.42265984178028e-06
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126284662","putative fatty acyl-CoA reductase CG5065","protein_coding","Infection within diet","infection_diet50","Infected diet 50",4.34075268196676,0.01936180283597
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126291591","UTP--glucose-1-phosphate uridylyltransferase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.56720615785429,1.5084528198661e-05
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126292317","dihydropyrimidinase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.48552513629051,0.00172841560188883
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126293404","aminomethyltransferase, mitochondrial","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.28346254478214,0.00889411731114794
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126297494","glucose-6-phosphate 1-dehydrogenase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.38413773041172,3.00305620589176e-08
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126297871","pyruvate dehydrogenase E1 component subunit beta, mitochondrial","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.08632285731617,0.000148908456350271
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126298220","acyl-CoA synthetase short-chain family member 3, mitochondrial","protein_coding","Infection within diet","infection_diet50","Infected diet 50",4.15210292151573,0.0478769075860178
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126298865","GTP:AMP phosphotransferase AK3, mitochondrial","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.92408109041134,2.97942930171062e-05
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126299043","delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.12976423989885,0.00327068628652296
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126299078","UDP-N-acetylhexosamine pyrophosphorylase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.2428017416964,0.00010335867658241
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126299150","ecdysone 20-monooxygenase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.39454505907055,1.4241867996273e-05
"Expression cluster 1","Biological process","GO:0044281","small molecule metabolic process","49/268","457/5278",2.2098942893226e-07,0.000264634841146381,0.000264634841146381,49,"LOC126299549","succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.39611721084196,1.27068016842785e-11
