source_sheet,umbrella,figure_scope,x_label,x_order,status,n_genes,percentage,n_targets,p_value,p_label
Immune,Cellular Immunity,Diet comparison among infected,"50
vs
33",1,N.S.,5,62.5,8,0.08309584520773962,N.S.D.
Immune,Cellular Immunity,Diet comparison among infected,"50
vs
33",1,Upregulated,3,37.5,8,0.08309584520773962,N.S.D.
Immune,Cellular Immunity,Diet comparison among infected,"83
vs
33",2,N.S.,8,100,8,0.08309584520773962,N.S.D.
Immune,Cellular Immunity,Diet comparison among infected,"83
vs
50",3,N.S.,8,100,8,0.08309584520773962,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,33,1,Downregulated,1,12.5,8,0.1694915254237288,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,33,1,N.S.,6,75,8,0.1694915254237288,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,33,1,Upregulated,1,12.5,8,0.1694915254237288,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,50,2,N.S.,5,62.5,8,0.1694915254237288,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,50,2,Upregulated,3,37.5,8,0.1694915254237288,N.S.D.
Immune,Cellular Immunity,Within-diet infection response,83,3,N.S.,8,100,8,0.1694915254237288,N.S.D.
Immune,Detoxification,Diet comparison among infected,"50
vs
33",1,Downregulated,1,12.5,8,6.999650017499125e-4,p < 0.001
Immune,Detoxification,Diet comparison among infected,"50
vs
33",1,N.S.,2,25,8,6.999650017499125e-4,p < 0.001
Immune,Detoxification,Diet comparison among infected,"50
vs
33",1,Upregulated,5,62.5,8,6.999650017499125e-4,p < 0.001
Immune,Detoxification,Diet comparison among infected,"83
vs
33",2,N.S.,8,100,8,6.999650017499125e-4,p < 0.001
Immune,Detoxification,Diet comparison among infected,"83
vs
50",3,N.S.,8,100,8,6.999650017499125e-4,p < 0.001
Immune,Detoxification,Within-diet infection response,33,1,Downregulated,2,25,8,0.4928253587320634,N.S.D.
Immune,Detoxification,Within-diet infection response,33,1,N.S.,5,62.5,8,0.4928253587320634,N.S.D.
Immune,Detoxification,Within-diet infection response,33,1,Upregulated,1,12.5,8,0.4928253587320634,N.S.D.
Immune,Detoxification,Within-diet infection response,50,2,N.S.,6,75,8,0.4928253587320634,N.S.D.
Immune,Detoxification,Within-diet infection response,50,2,Upregulated,2,25,8,0.4928253587320634,N.S.D.
Immune,Detoxification,Within-diet infection response,83,3,N.S.,7,87.5,8,0.4928253587320634,N.S.D.
Immune,Detoxification,Within-diet infection response,83,3,Upregulated,1,12.5,8,0.4928253587320634,N.S.D.
Immune,Humoral Immunity,Diet comparison among infected,"50
vs
33",1,N.S.,11,100,11,,N.S.D.
Immune,Humoral Immunity,Diet comparison among infected,"83
vs
33",2,N.S.,11,100,11,,N.S.D.
Immune,Humoral Immunity,Diet comparison among infected,"83
vs
50",3,N.S.,11,100,11,,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,33,1,Downregulated,2,18.181818181818183,11,0.49452527373631316,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,33,1,N.S.,5,45.45454545454545,11,0.49452527373631316,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,33,1,Upregulated,4,36.36363636363637,11,0.49452527373631316,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,50,2,Downregulated,4,36.36363636363637,11,0.49452527373631316,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,50,2,N.S.,2,18.181818181818183,11,0.49452527373631316,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,50,2,Upregulated,5,45.45454545454545,11,0.49452527373631316,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,83,3,Downregulated,1,9.090909090909092,11,0.49452527373631316,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,83,3,N.S.,5,45.45454545454545,11,0.49452527373631316,N.S.D.
Immune,Humoral Immunity,Within-diet infection response,83,3,Upregulated,5,45.45454545454545,11,0.49452527373631316,N.S.D.
Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,"50
vs
33",1,N.S.,43,95.55555555555556,45,0.3249337533123344,N.S.D.
Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,"50
vs
33",1,Upregulated,2,4.444444444444445,45,0.3249337533123344,N.S.D.
Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,"83
vs
33",2,N.S.,45,100,45,0.3249337533123344,N.S.D.
Immune,Innate Immune Recognition & Signaling,Diet comparison among infected,"83
vs
50",3,N.S.,45,100,45,0.3249337533123344,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,33,1,Downregulated,1,2.2222222222222223,45,0.2166391680415979,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,33,1,N.S.,17,37.77777777777778,45,0.2166391680415979,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,33,1,Upregulated,27,60,45,0.2166391680415979,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,50,2,Downregulated,2,4.444444444444445,45,0.2166391680415979,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,50,2,N.S.,10,22.22222222222222,45,0.2166391680415979,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,50,2,Upregulated,33,73.33333333333333,45,0.2166391680415979,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,83,3,N.S.,19,42.22222222222222,45,0.2166391680415979,N.S.D.
Immune,Innate Immune Recognition & Signaling,Within-diet infection response,83,3,Upregulated,26,57.77777777777778,45,0.2166391680415979,N.S.D.
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Diet comparison among infected,"50
vs
33",1,N.S.,7,38.888888888888886,18,3.4998250087495624e-4,p < 0.001
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Diet comparison among infected,"50
vs
33",1,Upregulated,11,61.111111111111114,18,3.4998250087495624e-4,p < 0.001
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Diet comparison among infected,"83
vs
33",2,N.S.,15,83.33333333333333,18,3.4998250087495624e-4,p < 0.001
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Diet comparison among infected,"83
vs
33",2,Upregulated,3,16.666666666666668,18,3.4998250087495624e-4,p < 0.001
