source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,sequence_class,contrast_id,contrast_label,figure_scope,positive_condition,negative_condition,baseMean,log2FoldChange,oriented_log2FC,padj,status,higher_expression_condition,original_status,original_value,show_in_figure
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,control_diet33_vs50,Control: diet 50 vs 33,Diet comparison among controls,Control diet 50,Control diet 33,59.90387561039013,0.3652207060765064,-0.3652207060765064,1,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,control_diet83_vs33,Control: diet 83 vs 33,Diet comparison among controls,Control diet 83,Control diet 33,59.90387561039013,-0.1510441414732488,-0.1510441414732488,0.9999600044522764,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,control_diet83_vs50,Control: diet 83 vs 50,Diet comparison among controls,Control diet 83,Control diet 50,59.90387561039013,0.2141765646032575,0.2141765646032575,0.9999598152659928,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,Infected diet 50,Infected diet 33,59.90387561039013,0.7556915005138449,-0.7556915005138449,0.8228146665638988,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infected_diet83_vs33,Infected: diet 83 vs 33,Diet comparison among infected,Infected diet 83,Infected diet 33,59.90387561039013,0.7540313609402693,0.7540313609402693,0.7252453542568389,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infected_diet83_vs50,Infected: diet 83 vs 50,Diet comparison among infected,Infected diet 83,Infected diet 50,59.90387561039013,1.5097228614541145,1.5097228614541145,0.2194254149886157,N.S.,Not significant,Upregulated,1.931,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infection_diet33,Diet 33: infected vs control,Within-diet infection response,Infected diet 33,Control diet 33,59.90387561039013,-1.4979997832011362,-1.4979997832011362,0.01104979104200748,Downregulated,Control diet 33,Downregulated,-1.6719999999999999,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,Infected diet 50,Control diet 50,59.90387561039013,-1.8884705776384747,-1.8884705776384747,0.00170990709038576,Downregulated,Control diet 50,Downregulated,-2.6970000000000001,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infection_diet83,Diet 83: infected vs control,Within-diet infection response,Infected diet 83,Control diet 83,59.90387561039013,-0.592924280787618,-0.592924280787618,0.4979010282093454,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281729,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,control_diet33_vs50,Control: diet 50 vs 33,Diet comparison among controls,Control diet 50,Control diet 33,235.3361945896667,0.2103914475235585,-0.2103914475235585,1,N.S.,Not significant,N.S.,N.S.,FALSE
