"enrichment_context","database","family","comparison","direction","plot_label","DEG_set","term_id","term_name","term_description","ontology_or_theme","pathway_scope","GeneRatio","BgRatio","FoldEnrichment","p.adjust","qvalue","Count","n_listed_genes","DEG_gene_IDs","DEG_gene_names"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0005576","extracellular region","extracellular region","CC",NA,"73/541","248/5278",2.8717279828275,1.34980599227308e-14,1.34980599227308e-14,73,73,"LOC126267253; LOC126267391; LOC126267477; LOC126267478; LOC126267876; LOC126267997; LOC126268712; LOC126271872; LOC126271928; LOC126271975; LOC126272081; LOC126272090; LOC126272361; LOC126272362; LOC126272576; LOC126272787; LOC126273032; LOC126275497; LOC126278442; LOC126280991; LOC126281165; LOC126282193; LOC126283987; LOC126284086; LOC126284250; LOC126284491; LOC126284577; LOC126284629; LOC126285462; LOC126293178; LOC126293181; LOC126293557; LOC126295285; LOC126298389; LOC126298594; LOC126298648; LOC126298861; LOC126298901; LOC126299206; LOC126299332; LOC126299533; LOC126323429; LOC126330284; LOC126331446; LOC126333165; LOC126334779; LOC126334780; LOC126334947; LOC126335382; LOC126335544; LOC126335545; LOC126335547; LOC126336325; LOC126336373; LOC126336597; LOC126336602; LOC126336724; LOC126336809; LOC126337058; LOC126344496; LOC126346021; LOC126346580; LOC126346606; LOC126346622; LOC126352738; LOC126353822; LOC126354358; LOC126355485; LOC126355938; LOC126356100; LOC126356176; LOC126358586; LOC126365865","ck; dpp; Hsc70-3; ITP; LYSC6; PebIII; Pvf1; sca; shf; spz; SRPN12; Tsp; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0044421","GO:0044421","GO:0044421",NA,NA,"53/541","183/5278",2.82551033807056,7.80643864880636e-10,7.80643864880636e-10,53,53,"LOC126267253; LOC126267391; LOC126267477; LOC126267478; LOC126267876; LOC126267997; LOC126271928; LOC126271975; LOC126272081; LOC126272090; LOC126272361; LOC126272362; LOC126275497; LOC126278442; LOC126280991; LOC126281165; LOC126282193; LOC126283987; LOC126284086; LOC126284250; LOC126284491; LOC126284577; LOC126284629; LOC126293557; LOC126295285; LOC126298594; LOC126298861; LOC126298901; LOC126299206; LOC126299332; LOC126323429; LOC126330284; LOC126331446; LOC126333165; LOC126334779; LOC126334947; LOC126335382; LOC126335544; LOC126335545; LOC126335547; LOC126336373; LOC126336597; LOC126336602; LOC126336809; LOC126337058; LOC126344496; LOC126346021; LOC126353822; LOC126354358; LOC126355485; LOC126356100; LOC126356176; LOC126358586","ck; dpp; Hsc70-3; ITP; LYSC6; Pvf1; shf; SRPN12; Tsp; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0005615","extracellular space","extracellular space","CC",NA,"36/541","115/5278",3.05405448846741,3.11481961693411e-07,3.11481961693411e-07,36,36,"LOC126267253; LOC126267477; LOC126267478; LOC126267876; LOC126271975; LOC126272361; LOC126272362; LOC126275497; LOC126278442; LOC126280991; LOC126281165; LOC126282193; LOC126283987; LOC126284629; LOC126293557; LOC126295285; LOC126298594; LOC126298901; LOC126299332; LOC126330284; LOC126331446; LOC126333165; LOC126334779; LOC126334947; LOC126335382; LOC126335544; LOC126335545; LOC126335547; LOC126336373; LOC126337058; LOC126344496; LOC126346021; LOC126353822; LOC126354358; LOC126356176; LOC126358586","dpp; Hsc70-3; ITP; LYSC6; Pvf1; SRPN12; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0006022","aminoglycan metabolic process","aminoglycan metabolic process","BP",NA,"19/541","44/5278",4.2128213745589,1.11613675605158e-05,1.11613675605158e-05,19,19,"LOC126266657; LOC126267215; LOC126267216; LOC126267343; LOC126267652; LOC126268068; LOC126271949; LOC126278279; LOC126281994; LOC126284041; LOC126285462; LOC126299078; LOC126335966; LOC126336345; LOC126346580; LOC126346606; LOC126346622; LOC126354720; LOC126365918","Cda4; GlcAT-P; mmy; PGRPLA; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0005887","GO:0005887","GO:0005887",NA,NA,"50/541","221/5278",2.2072414917908,1.26241890034028e-05,1.26241890034028e-05,50,50,"LOC126266677; LOC126267060; LOC126267163; LOC126267215; LOC126267216; LOC126267315; LOC126267343; LOC126267652; LOC126267806; LOC126268068; LOC126271434; LOC126271496; LOC126272458; LOC126273193; LOC126278393; LOC126279309; LOC126279835; LOC126281330; LOC126281351; LOC126281483; LOC126284182; LOC126284897; LOC126285391; LOC126285413; LOC126292020; LOC126297555; LOC126298679; LOC126299155; LOC126299447; LOC126299506; LOC126322591; LOC126334943; LOC126335539; LOC126336038; LOC126336041; LOC126336638; LOC126336688; LOC126336931; LOC126337022; LOC126344570; LOC126353931; LOC126355684; LOC126355933; LOC126356065; LOC126356154; LOC126356271; LOC126357744; LOC126361237; LOC126365747; LOC126365918","Akhr; Gli; if; Mvl; NLG-1; Orct; PGRPLA; Ptc; Sur; tor; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0006576","biogenic amine metabolic process","biogenic amine metabolic process","BP",NA,"11/541","16/5278",6.7072550831793,1.26241890034028e-05,1.26241890034028e-05,11,11,"LOC126267535; LOC126271955; LOC126282005; LOC126282517; LOC126284548; LOC126284808; LOC126333165; LOC126335036; LOC126354225; LOC126356039; LOC126356204","Ddc; Pect; SamDC; unannotated; v; w"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0009308","amine metabolic process","amine metabolic process","BP",NA,"11/541","16/5278",6.7072550831793,1.26241890034028e-05,1.26241890034028e-05,11,11,"LOC126267535; LOC126271955; LOC126282005; LOC126282517; LOC126284548; LOC126284808; LOC126333165; LOC126335036; LOC126354225; LOC126356039; LOC126356204","Ddc; Pect; SamDC; unannotated; v; w"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0044106","GO:0044106","GO:0044106",NA,NA,"11/541","16/5278",6.7072550831793,1.26241890034028e-05,1.26241890034028e-05,11,11,"LOC126267535; LOC126271955; LOC126282005; LOC126282517; LOC126284548; LOC126284808; LOC126333165; LOC126335036; LOC126354225; LOC126356039; LOC126356204","Ddc; Pect; SamDC; unannotated; v; w"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0031226","GO:0031226","GO:0031226",NA,NA,"50/541","228/5278",2.13947530563933,3.10602694558628e-05,3.10602694558628e-05,50,50,"LOC126266677; LOC126267060; LOC126267163; LOC126267215; LOC126267216; LOC126267315; LOC126267343; LOC126267652; LOC126267806; LOC126268068; LOC126271434; LOC126271496; LOC126272458; LOC126273193; LOC126278393; LOC126279309; LOC126279835; LOC126281330; LOC126281351; LOC126281483; LOC126284182; LOC126284897; LOC126285391; LOC126285413; LOC126292020; LOC126297555; LOC126298679; LOC126299155; LOC126299447; LOC126299506; LOC126322591; LOC126334943; LOC126335539; LOC126336038; LOC126336041; LOC126336638; LOC126336688; LOC126336931; LOC126337022; LOC126344570; LOC126353931; LOC126355684; LOC126355933; LOC126356065; LOC126356154; LOC126356271; LOC126357744; LOC126361237; LOC126365747; LOC126365918","Akhr; Gli; if; Mvl; NLG-1; Orct; PGRPLA; Ptc; Sur; tor; unannotated"
"Non-directional enrichment","GO","All infection DEGs","All infection DEGs","Not split by direction","All infection DEGs","All infection DEGs","GO:0044281","small molecule metabolic process","small molecule metabolic process","BP",NA,"82/541","457/5278",1.75053086714367,3.36566972636258e-05,3.36566972636258e-05,82,82,"LOC126266657; LOC126266748; LOC126266959; LOC126267222; LOC126267350; LOC126267535; LOC126267953; LOC126268164; LOC126270657; LOC126271955; LOC126272037; LOC126276148; LOC126277880; LOC126277907; LOC126278002; LOC126278180; LOC126279122; LOC126281245; LOC126281446; LOC126281672; LOC126281861; LOC126281954; LOC126281958; LOC126281994; LOC126282517; LOC126284002; LOC126284573; LOC126284662; LOC126285283; LOC126291591; LOC126292259; LOC126292317; LOC126293368; LOC126293404; LOC126295101; LOC126295146; LOC126297494; LOC126297821; LOC126297871; LOC126298001; LOC126298220; LOC126298530; LOC126298865; LOC126299043; LOC126299078; LOC126299150; LOC126299185; LOC126299253; LOC126299549; LOC126305900; LOC126320178; LOC126323251; LOC126324953; LOC126325353; LOC126333165; LOC126334613; LOC126335154; LOC126335256; LOC126335352; LOC126335505; LOC126335966; LOC126336122; LOC126336244; LOC126336251; LOC126336656; LOC126336714; LOC126336866; LOC126339036; LOC126347783; LOC126347864; LOC126349195; LOC126353854; LOC126353887; LOC126354225; LOC126354620; LOC126354995; LOC126355485; LOC126355885; LOC126356204; LOC126357156; LOC126365911; LOC126365957","Adk3; Aldh; CAH1; Cyp18a1; CYP306A1; Cyp314a1; CYP315A1; Ddc; fbl; Fdh; GlcAT-P; Got2; Hex-A; Idh; Men; mmy; Mocs2; ninaB; Nmdmc; Pde9; Pect; RnrL; UGP; unannotated; v; Zw"
