"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","ontology","neg_log10_padj","term_label","set_label"
"GO:0005576","extracellular region","73/541","248/5278",0.294354838709677,2.8717279828275,10.202933789735,4.30972539039936e-18,1.34980599227308e-14,1.34980599227308e-14,"LOC126273032/LOC126284577/LOC126267253/LOC126272361/LOC126267478/LOC126272081/LOC126272576/LOC126356176/LOC126336325/LOC126333165/LOC126330284/LOC126268712/LOC126354358/LOC126299533/LOC126271975/LOC126267477/LOC126293178/LOC126298648/LOC126358586/LOC126336809/LOC126298901/LOC126281165/LOC126346021/LOC126299206/LOC126336373/LOC126272787/LOC126267997/LOC126335547/LOC126272090/LOC126356100/LOC126299332/LOC126352738/LOC126283987/LOC126334780/LOC126336597/LOC126271872/LOC126355938/LOC126293557/LOC126267876/LOC126284629/LOC126284491/LOC126275497/LOC126336724/LOC126346580/LOC126295285/LOC126334947/LOC126282193/LOC126337058/LOC126335545/LOC126346606/LOC126323429/LOC126284086/LOC126271928/LOC126272362/LOC126280991/LOC126336602/LOC126335544/LOC126278442/LOC126335382/LOC126285462/LOC126298594/LOC126355485/LOC126298861/LOC126293181/LOC126331446/LOC126334779/LOC126346622/LOC126298389/LOC126353822/LOC126284250/LOC126365865/LOC126267391/LOC126344496",73,"All infection DEGs","GO","Cellular component",13.8697286482013,"extracellular region [GO:0005576]","All infection DEGs"
"GO:0044421","GO:0044421","53/541","183/5278",0.289617486338798,2.82551033807056,8.49333461975761,4.98495443729653e-13,7.80643864880636e-10,7.80643864880636e-10,"LOC126284577/LOC126267253/LOC126272361/LOC126267478/LOC126272081/LOC126356176/LOC126333165/LOC126330284/LOC126354358/LOC126271975/LOC126267477/LOC126358586/LOC126336809/LOC126298901/LOC126281165/LOC126346021/LOC126299206/LOC126336373/LOC126267997/LOC126335547/LOC126272090/LOC126356100/LOC126299332/LOC126283987/LOC126336597/LOC126293557/LOC126267876/LOC126284629/LOC126284491/LOC126275497/LOC126295285/LOC126334947/LOC126282193/LOC126337058/LOC126335545/LOC126323429/LOC126284086/LOC126271928/LOC126272362/LOC126280991/LOC126336602/LOC126335544/LOC126278442/LOC126335382/LOC126298594/LOC126355485/LOC126298861/LOC126331446/LOC126334779/LOC126353822/LOC126284250/LOC126267391/LOC126344496",53,"All infection DEGs","GO",NA,9.10754704908298,"GO:0044421 [GO:0044421]","All infection DEGs"
"GO:0005615","extracellular space","36/541","115/5278",0.31304347826087,3.05405448846741,7.52575897142388,2.98354369438133e-10,3.11481961693411e-07,3.11481961693411e-07,"LOC126267253/LOC126272361/LOC126267478/LOC126356176/LOC126333165/LOC126330284/LOC126354358/LOC126271975/LOC126267477/LOC126358586/LOC126298901/LOC126281165/LOC126346021/LOC126336373/LOC126335547/LOC126299332/LOC126283987/LOC126293557/LOC126267876/LOC126284629/LOC126275497/LOC126295285/LOC126334947/LOC126282193/LOC126337058/LOC126335545/LOC126272362/LOC126280991/LOC126335544/LOC126278442/LOC126335382/LOC126298594/LOC126331446/LOC126334779/LOC126353822/LOC126344496",36,"All infection DEGs","GO","Cellular component",6.50656709880849,"extracellular space [GO:0005615]","All infection DEGs"
"GO:0006022","aminoglycan metabolic process","19/541","44/5278",0.431818181818182,4.2128213745589,7.23163581273315,1.42546201283727e-08,1.11613675605158e-05,1.11613675605158e-05,"LOC126267343/LOC126271949/LOC126266657/LOC126299078/LOC126268068/LOC126278279/LOC126335966/LOC126346580/LOC126346606/LOC126284041/LOC126354720/LOC126336345/LOC126267216/LOC126281994/LOC126285462/LOC126267652/LOC126346622/LOC126365918/LOC126267215",19,"All infection DEGs","GO","Biological process",4.9522825896638,"aminoglycan metabolic process [GO:0006022]","All infection DEGs"
"GO:0005887","GO:0005887","50/541","221/5278",0.226244343891403,2.2072414917908,6.19561326072443,3.0699503565133e-08,1.26241890034028e-05,1.26241890034028e-05,"LOC126279309/LOC126336638/LOC126322591/LOC126281351/LOC126267343/LOC126267315/LOC126336688/LOC126344570/LOC126299155/LOC126281330/LOC126299447/LOC126267060/LOC126285413/LOC126337022/LOC126278393/LOC126268068/LOC126271496/LOC126267163/LOC126279835/LOC126273193/LOC126336041/LOC126356154/LOC126284897/LOC126334943/LOC126355684/LOC126335539/LOC126336931/LOC126353931/LOC126297555/LOC126267806/LOC126356065/LOC126267216/LOC126355933/LOC126361237/LOC126272458/LOC126336038/LOC126292020/LOC126299506/LOC126267652/LOC126266677/LOC126298679/LOC126357744/LOC126271434/LOC126356271/LOC126285391/LOC126365918/LOC126267215/LOC126365747/LOC126281483/LOC126284182",50,"All infection DEGs","GO",NA,4.89879651203386,"GO:0005887 [GO:0005887]","All infection DEGs"
"GO:0006576","biogenic amine metabolic process","11/541","16/5278",0.6875,6.7072550831793,7.72595795398673,3.22456934952818e-08,1.26241890034028e-05,1.26241890034028e-05,"LOC126267535/LOC126333165/LOC126282005/LOC126354225/LOC126284548/LOC126356039/LOC126282517/LOC126271955/LOC126335036/LOC126284808/LOC126356204",11,"All infection DEGs","GO","Biological process",4.89879651203386,"biogenic amine metabolic process [GO:0006576]","All infection DEGs"
"GO:0009308","amine metabolic process","11/541","16/5278",0.6875,6.7072550831793,7.72595795398673,3.22456934952818e-08,1.26241890034028e-05,1.26241890034028e-05,"LOC126267535/LOC126333165/LOC126282005/LOC126354225/LOC126284548/LOC126356039/LOC126282517/LOC126271955/LOC126335036/LOC126284808/LOC126356204",11,"All infection DEGs","GO","Biological process",4.89879651203386,"amine metabolic process [GO:0009308]","All infection DEGs"
"GO:0044106","GO:0044106","11/541","16/5278",0.6875,6.7072550831793,7.72595795398673,3.22456934952818e-08,1.26241890034028e-05,1.26241890034028e-05,"LOC126267535/LOC126333165/LOC126282005/LOC126354225/LOC126284548/LOC126356039/LOC126282517/LOC126271955/LOC126335036/LOC126284808/LOC126356204",11,"All infection DEGs","GO",NA,4.89879651203386,"GO:0044106 [GO:0044106]","All infection DEGs"
"GO:0031226","GO:0031226","50/541","228/5278",0.219298245614035,2.13947530563933,5.94384039881933,8.92536478616748e-08,3.10602694558628e-05,3.10602694558628e-05,"LOC126279309/LOC126336638/LOC126322591/LOC126281351/LOC126267343/LOC126267315/LOC126336688/LOC126344570/LOC126299155/LOC126281330/LOC126299447/LOC126267060/LOC126285413/LOC126337022/LOC126278393/LOC126268068/LOC126271496/LOC126267163/LOC126279835/LOC126273193/LOC126336041/LOC126356154/LOC126284897/LOC126334943/LOC126355684/LOC126335539/LOC126336931/LOC126353931/LOC126297555/LOC126267806/LOC126356065/LOC126267216/LOC126355933/LOC126361237/LOC126272458/LOC126336038/LOC126292020/LOC126299506/LOC126267652/LOC126266677/LOC126298679/LOC126357744/LOC126271434/LOC126356271/LOC126285391/LOC126365918/LOC126267215/LOC126365747/LOC126281483/LOC126284182",50,"All infection DEGs","GO",NA,4.50779478097428,"GO:0031226 [GO:0031226]","All infection DEGs"
"GO:0044281","small molecule metabolic process","82/541","457/5278",0.179431072210066,1.75053086714367,5.67281446519801,1.07460719232522e-07,3.36566972636258e-05,3.36566972636258e-05,"LOC126353854/LOC126267535/LOC126292259/LOC126335352/LOC126299549/LOC126267222/LOC126281446/LOC126284573/LOC126333165/LOC126354225/LOC126278180/LOC126335154/LOC126281958/LOC126353887/LOC126266657/LOC126299253/LOC126298530/LOC126278002/LOC126276148/LOC126295101/LOC126355885/LOC126284662/LOC126365911/LOC126293404/LOC126299078/LOC126268164/LOC126336656/LOC126277880/LOC126295146/LOC126336244/LOC126293368/LOC126339036/LOC126281861/LOC126347783/LOC126336714/LOC126267350/LOC126349195/LOC126324953/LOC126291591/LOC126335966/LOC126335505/LOC126299185/LOC126267953/LOC126298865/LOC126335256/LOC126297871/LOC126323251/LOC126266748/LOC126279122/LOC126285283/LOC126282517/LOC126336866/LOC126270657/LOC126347864/LOC126299043/LOC126357156/LOC126297821/LOC126272037/LOC126266959/LOC126281994/LOC126336251/LOC126292317/LOC126365957/LOC126298001/LOC126354995/LOC126336122/LOC126281954/LOC126271955/LOC126299150/LOC126281245/LOC126305900/LOC126355485/LOC126297494/LOC126298220/LOC126334613/LOC126325353/LOC126277907/LOC126320178/LOC126284002/LOC126354620/LOC126356204/LOC126281672",82,"All infection DEGs","GO","Biological process",4.4729285036471,"small molecule metabolic process [GO:0044281]","All infection DEGs"
