"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","family","comparison","direction","plot_label","n_genes","source_file","pathway_theme","pathway_scope"
"GO:0005576","extracellular region","27/154","248/5278",0.108870967741935,3.73130498533724,7.63767883438223,1.60510150111318e-09,5.02717790148647e-06,5.02717790148647e-06,"LOC126273032/LOC126267478/LOC126271975/LOC126298389/LOC126330284/LOC126285462/LOC126281165/LOC126272090/LOC126346580/LOC126299206/LOC126336325/LOC126365865/LOC126293557/LOC126282193/LOC126335547/LOC126293181/LOC126275497/LOC126346021/LOC126267391/LOC126355485/LOC126355938/LOC126293178/LOC126298648/LOC126334947/LOC126335382/LOC126299332/LOC126335545",27,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0009617","response to bacterium","15/154","81/5278",0.185185185185185,6.34680134680135,8.40639023789404,7.39675966431633e-09,1.15833256343194e-05,1.15833256343194e-05,"LOC126267343/LOC126271975/LOC126267038/LOC126285462/LOC126268068/LOC126278673/LOC126267215/LOC126293181/LOC126267163/LOC126282030/LOC126293178/LOC126298648/LOC126297857/LOC126335036/LOC126267216",15,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0009607","response to biotic stimulus","20/154","160/5278",0.125,4.28409090909091,7.31264293689398,2.56155088631895e-08,1.60455547519019e-05,1.60455547519019e-05,"LOC126273032/LOC126267343/LOC126271975/LOC126267038/LOC126293269/LOC126285462/LOC126269416/LOC126282035/LOC126268068/LOC126278673/LOC126267215/LOC126293181/LOC126267163/LOC126282030/LOC126343175/LOC126293178/LOC126298648/LOC126297857/LOC126335036/LOC126267216",20,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0043207","response to external biotic stimulus","20/154","160/5278",0.125,4.28409090909091,7.31264293689398,2.56155088631895e-08,1.60455547519019e-05,1.60455547519019e-05,"LOC126273032/LOC126267343/LOC126271975/LOC126267038/LOC126293269/LOC126285462/LOC126269416/LOC126282035/LOC126268068/LOC126278673/LOC126267215/LOC126293181/LOC126267163/LOC126282030/LOC126343175/LOC126293178/LOC126298648/LOC126297857/LOC126335036/LOC126267216",20,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0051707","response to other organism","20/154","160/5278",0.125,4.28409090909091,7.31264293689398,2.56155088631895e-08,1.60455547519019e-05,1.60455547519019e-05,"LOC126273032/LOC126267343/LOC126271975/LOC126267038/LOC126293269/LOC126285462/LOC126269416/LOC126282035/LOC126268068/LOC126278673/LOC126267215/LOC126293181/LOC126267163/LOC126282030/LOC126343175/LOC126293178/LOC126298648/LOC126297857/LOC126335036/LOC126267216",20,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0042834","peptidoglycan binding","6/154","11/5278",0.545454545454545,18.6942148760331,10.1834591909692,2.2936034631345e-07,0.000119726100775621,0.000119726100775621,"LOC126267343/LOC126285462/LOC126268068/LOC126267215/LOC126267163/LOC126267216",6,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0006952","defense response","18/154","156/5278",0.115384615384615,3.95454545454545,6.49355517300833,4.6237151717879e-07,0.000206878227400567,0.000206878227400567,"LOC126267343/LOC126271975/LOC126299506/LOC126267038/LOC126285462/LOC126269416/LOC126282035/LOC126268068/LOC126278673/LOC126267215/LOC126293181/LOC126267163/LOC126282030/LOC126293178/LOC126298648/LOC126297857/LOC126335036/LOC126267216",18,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0030203","glycosaminoglycan metabolic process","8/154","27/5278",0.296296296296296,10.1548821548822,8.26728630889054,6.07225446920606e-07,0.000237728762469417,0.000237728762469417,"LOC126267343/LOC126285462/LOC126284041/LOC126268068/LOC126335966/LOC126267215/LOC126281994/LOC126267216",8,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0005539","glycosaminoglycan binding","7/154","21/5278",0.333333333333333,11.4242424242424,8.29725635701726,1.29581940761096e-06,0.000450945153848612,0.000450945153848612,"LOC126267343/LOC126285462/LOC126281165/LOC126268068/LOC126267215/LOC126267163/LOC126267216",7,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
"GO:0097367","carbohydrate derivative binding","13/154","93/5278",0.139784946236559,4.79081133919844,6.39364636952887,2.31249118618442e-06,0.000699986142232056,0.000699986142232056,"LOC126267343/LOC126298297/LOC126285462/LOC126281165/LOC126268068/LOC126346580/LOC126365865/LOC126267215/LOC126335605/LOC126267163/LOC126278382/LOC126281245/LOC126267216",13,"infection_diet33_up","GO","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",461,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/exon-only-deseq2-analysis_20260808-020715/placed_unplaced_all_deseq2_results.csv",NA,NA
