"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","pathway_theme","pathway_scope"
"ko01110","Biosynthesis of secondary metabolites","75/477","278/3456",0.26978417266187,1.95466268494638,6.64115112134045,9.5437286558919e-10,2.90129351139114e-07,2.90129351139114e-07,"LOC126329483/LOC126275659/LOC126299493/LOC126297581/LOC126281446/LOC126335184/LOC126336628/LOC126361126/LOC126293404/LOC126298530/LOC126281958/LOC126336244/LOC126284686/LOC126335505/LOC126339265/LOC126336379/LOC126355485/LOC126297494/LOC126339036/LOC126335182/LOC126285116/LOC126299542/LOC126284898/LOC126283383/LOC126284811/LOC126356100/LOC126272584/LOC126272382/LOC126281954/LOC126335242/LOC126349195/LOC126281532/LOC126298779/LOC126266840/LOC126271955/LOC126267350/LOC126281562/LOC126323251/LOC126365941/LOC126356152/LOC126272037/LOC126272831/LOC126278447/LOC126334891/LOC126271720/LOC126267473/LOC126365957/LOC126298221/LOC126354995/LOC126298001/LOC126282346/LOC126278485/LOC126293737/LOC126298865/LOC126325353/LOC126334613/LOC126341237/LOC126268218/LOC126268126/LOC126324953/LOC126336251/LOC126354727/LOC126272926/LOC126276148/LOC126284002/LOC126298400/LOC126285378/LOC126356050/LOC126354649/LOC126284812/LOC126297871/LOC126278697/LOC126272928/LOC126354992/LOC126336625",75,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko00040","Pentose and glucuronate interconversions","19/477","43/3456",0.441860465116279,3.20140412461606,5.81184232323201,1.04114301324373e-06,0.000158253738013047,0.000158253738013047,"LOC126299185/LOC126266657/LOC126336628/LOC126281438/LOC126281694/LOC126281399/LOC126283960/LOC126278567/LOC126281562/LOC126272831/LOC126341237/LOC126281974/LOC126272926/LOC126354649/LOC126335523/LOC126283957/LOC126272928/LOC126291591/LOC126336625",19,"All infection DEGs","KEGG_pathway","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00330","Arginine and proline metabolism","16/477","37/3456",0.432432432432432,3.13309535951045,5.21926738287571,1.06574206640343e-05,0.00107995196062214,0.00107995196062214,"LOC126281446/LOC126281672/LOC126339265/LOC126284548/LOC126278249/LOC126335036/LOC126266840/LOC126337850/LOC126299043/LOC126272037/LOC126267473/LOC126278485/LOC126276148/LOC126336500/LOC126278697/LOC126284808",16,"All infection DEGs","KEGG_pathway","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00260","Glycine, serine and threonine metabolism","14/477","31/3456",0.451612903225806,3.27206329884358,5.08415695380453,2.10735216476525e-05,0.00160158764522159,0.00160158764522159,"LOC126329483/LOC126297581/LOC126285283/LOC126293368/LOC126281672/LOC126293404/LOC126266840/LOC126295405/LOC126267350/LOC126323251/LOC126298221/LOC126325353/LOC126334613/LOC126354727",14,"All infection DEGs","KEGG_pathway","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00980","Metabolism of xenobiotics by cytochrome P450","21/477","63/3456",0.333333333333333,2.41509433962264,4.53535934228146,5.56660391583894e-05,0.00338449518083007,0.00338449518083007,"LOC126336695/LOC126336628/LOC126272724/LOC126336724/LOC126343702/LOC126281694/LOC126281410/LOC126281954/LOC126336692/LOC126293679/LOC126281562/LOC126272831/LOC126281404/LOC126331335/LOC126341237/LOC126272926/LOC126343748/LOC126336730/LOC126354649/LOC126272928/LOC126336625",21,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko04974","Protein digestion and absorption","14/477","35/3456",0.4,2.89811320754717,4.51572576641596,0.000108349374509464,0.00425355932043156,0.00425355932043156,"LOC126337983/LOC126299514/LOC126272087/LOC126272513/LOC126353821/LOC126322572/LOC126293286/LOC126355358/LOC126273243/LOC126322591/LOC126354186/LOC126299510/LOC126298679/LOC126272864",14,"All infection DEGs","KEGG_pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04624","Toll and Imd signaling pathway","18/477","52/3456",0.346153846153846,2.50798258345428,4.38380457472104,0.000109056868472086,0.00425355932043156,0.00425355932043156,"LOC126298648/LOC126293579/LOC126352738/LOC126281581/LOC126355040/LOC126267442/LOC126267545/LOC126272253/LOC126282030/LOC126282207/LOC126355037/LOC126334779/LOC126336325/LOC126355748/LOC126334780/LOC126281928/LOC126355041/LOC126293578",18,"All infection DEGs","KEGG_pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko01130","Biosynthesis of antibiotics","42/477","174/3456",0.241379310344828,1.74886141834743,4.05559665030963,0.000119339651347275,0.00425355932043156,0.00425355932043156,"LOC126299185/LOC126329483/LOC126281446/LOC126293368/LOC126281672/LOC126361126/LOC126293404/LOC126281958/LOC126336244/LOC126335505/LOC126336379/LOC126297494/LOC126339036/LOC126299542/LOC126284898/LOC126284811/LOC126281954/LOC126335242/LOC126349195/LOC126281532/LOC126266840/LOC126295405/LOC126267350/LOC126365941/LOC126272037/LOC126267473/LOC126365957/LOC126298221/LOC126278485/LOC126293737/LOC126298865/LOC126325353/LOC126334613/LOC126268218/LOC126324953/LOC126336251/LOC126298400/LOC126284812/LOC126297871/LOC126278697/LOC126299078/LOC126291591",42,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko00982","Drug metabolism - cytochrome P450","19/477","57/3456",0.333333333333333,2.41509433962264,4.31017797273818,0.000125927743039092,0.00425355932043156,0.00425355932043156,"LOC126336695/LOC126336628/LOC126272724/LOC126336724/LOC126266828/LOC126281410/LOC126281954/LOC126336692/LOC126281562/LOC126272831/LOC126281404/LOC126331335/LOC126341237/LOC126272926/LOC126272888/LOC126336730/LOC126354649/LOC126272928/LOC126336625",19,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko05204","Chemical carcinogenesis - DNA adducts","20/477","62/3456",0.32258064516129,2.33718807060256,4.25089505169168,0.000140504220668701,0.0042713283083285,0.0042713283083285,"LOC126336695/LOC126336628/LOC126272724/LOC126336724/LOC126343702/LOC126281410/LOC126281954/LOC126336692/LOC126293679/LOC126281562/LOC126272831/LOC126281404/LOC126331335/LOC126341237/LOC126272926/LOC126343748/LOC126336730/LOC126354649/LOC126272928/LOC126336625",20,"All infection DEGs","KEGG_pathway","Genetic information processing","Reference disease pathway"
"ko00053","Ascorbate and aldarate metabolism","14/477","36/3456",0.388888888888889,2.81761006289308,4.386184335544,0.000155271429575341,0.00429113769008216,0.00429113769008216,"LOC126281446/LOC126266657/LOC126336628/LOC126277893/LOC126266840/LOC126281562/LOC126272831/LOC126277896/LOC126341237/LOC126272926/LOC126298400/LOC126354649/LOC126272928/LOC126336625",14,"All infection DEGs","KEGG_pathway","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00480","Glutathione metabolism","19/477","59/3456",0.322033898305085,2.33322673488967,4.13266507506265,0.00021120779981279,0.00516982280922589,0.00516982280922589,"LOC126336695/LOC126272159/LOC126272724/LOC126336724/LOC126335505/LOC126297494/LOC126284548/LOC126281410/LOC126336692/LOC126277880/LOC126335242/LOC126281404/LOC126331335/LOC126278485/LOC126283989/LOC126336730/LOC126278697/LOC126283788/LOC126284808",19,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00030","Pentose phosphate pathway","11/477","25/3456",0.44,3.18792452830189,4.39278498417056,0.000221077949078739,0.00516982280922589,0.00516982280922589,"LOC126329483/LOC126361126/LOC126281958/LOC126297494/LOC126267019/LOC126299542/LOC126284898/LOC126284811/LOC126281532/LOC126298400/LOC126284812",11,"All infection DEGs","KEGG_pathway","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00981","Insect hormone biosynthesis","9/477","18/3456",0.5,3.62264150943396,4.46344523812931,0.00025770077037901,0.00559578815680136,0.00559578815680136,"LOC126281446/LOC126343702/LOC126293679/LOC126282181/LOC126320178/LOC126305900/LOC126343748/LOC126270657/LOC126299150",9,"All infection DEGs","KEGG_pathway","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain"
"ko01200","Carbon metabolism","25/477","92/3456",0.271739130434783,1.96882690730107,3.76842673195708,0.000456975122085679,0.00926136247426976,0.00926136247426976,"LOC126336122/LOC126293368/LOC126293404/LOC126281958/LOC126336244/LOC126335505/LOC126297494/LOC126299542/LOC126284898/LOC126281954/LOC126335242/LOC126349195/LOC126281532/LOC126295405/LOC126336866/LOC126267350/LOC126365941/LOC126272037/LOC126365957/LOC126298221/LOC126325353/LOC126336251/LOC126298400/LOC126335256/LOC126297871",25,"All infection DEGs","KEGG_pathway","Carbohydrate and energy metabolism","Broad KEGG reference map"
"ko04341","Hedgehog signaling pathway - fly","17/477","56/3456",0.303571428571429,2.19946091644205,3.62066730342658,0.000971376384518772,0.0172950246837127,0.0172950246837127,"LOC126267315/LOC126299093/LOC126295191/LOC126297745/LOC126281663/LOC126295040/LOC126291991/LOC126293373/LOC126292145/LOC126295425/LOC126278442/LOC126294945/LOC126294949/LOC126294955/LOC126295087/LOC126278128/LOC126295133",17,"All infection DEGs","KEGG_pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko00410","beta-Alanine metabolism","11/477","29/3456",0.379310344827586,2.74821080026025,3.782541568545,0.00101833373455954,0.0172950246837127,0.0172950246837127,"LOC126281446/LOC126284548/LOC126297821/LOC126292317/LOC126266840/LOC126337850/LOC126354995/LOC126268126/LOC126336251/LOC126335256/LOC126284808",11,"All infection DEGs","KEGG_pathway","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00983","Drug metabolism - other enzymes","19/477","66/3456",0.287878787878788,2.08576329331046,3.56332338252231,0.0010240475141672,0.0172950246837127,0.0172950246837127,"LOC126282100/LOC126336628/LOC126272724/LOC126336724/LOC126284573/LOC126293741/LOC126281410/LOC126297821/LOC126277880/LOC126292317/LOC126281562/LOC126272831/LOC126281404/LOC126331335/LOC126341237/LOC126272926/LOC126354649/LOC126272928/LOC126336625",19,"All infection DEGs","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko01120","Microbial metabolism in diverse environments","32/477","137/3456",0.233576642335766,1.69232888031952,3.30839281985081,0.00141560635400935,0.0224471364542941,0.0224471364542941,"LOC126336122/LOC126281446/LOC126293368/LOC126281958/LOC126336244/LOC126335505/LOC126297494/LOC126266828/LOC126355949/LOC126299542/LOC126284898/LOC126281954/LOC126335242/LOC126349195/LOC126281532/LOC126266840/LOC126295405/LOC126336866/LOC126355885/LOC126323251/LOC126365941/LOC126272037/LOC126334891/LOC126365957/LOC126354995/LOC126325353/LOC126334613/LOC126268126/LOC126336251/LOC126272888/LOC126298400/LOC126297871",32,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map"
