"gene_id","diet","DEG_set","log2FoldChange","padj","significant"
"LOC126266593","33","Diet 33",1.51578088714242,0.000175241720677706,TRUE
"LOC126266596","33","Diet 33",-2.34021339635013,4.49132446494274e-06,TRUE
"LOC126266657","33","Diet 33",-1.90797128679859,0.00248428835112438,TRUE
"LOC126266672","33","Diet 33",1.26564764722158,0.005053848326685,TRUE
"LOC126266675","33","Diet 33",1.28416921872906,0.00317090126461477,TRUE
"LOC126266728","33","Diet 33",1.74417313266026,6.75771102173806e-06,TRUE
"LOC126266748","33","Diet 33",1.79167832619177,0.000488759089521136,TRUE
"LOC126266759","33","Diet 33",2.44362846170346,8.93205370513643e-05,TRUE
"LOC126266760","33","Diet 33",1.9375968095358,3.57038082014974e-05,TRUE
"LOC126266822","33","Diet 33",-1.47306220265582,0.0317335787977095,TRUE
"LOC126266828","33","Diet 33",-2.19583702086913,0.0313513488679824,TRUE
"LOC126266832","33","Diet 33",-1.1531368400994,0.0141704836338518,TRUE
"LOC126266835","33","Diet 33",-2.09910561705116,0.00203918338897432,TRUE
"LOC126266840","33","Diet 33",-3.85457050852033,0.021703392039115,TRUE
"LOC126266862","33","Diet 33",-2.23769309807421,0.0154550404930992,TRUE
"LOC126266909","33","Diet 33",-1.14198566033707,0.034141047426303,TRUE
"LOC126266913","33","Diet 33",-1.72537363878817,0.00893737420462551,TRUE
"LOC126266938","33","Diet 33",-2.03245229710226,0.0180765398477357,TRUE
"LOC126266957","33","Diet 33",1.19936630418518,0.0245987540609164,TRUE
"LOC126266982","33","Diet 33",2.71122452556189,4.43670186103589e-05,TRUE
"LOC126266984","33","Diet 33",3.40147979405113,0.0187672569142797,TRUE
"LOC126267038","33","Diet 33",1.06027780483185,3.35637349883465e-05,TRUE
"LOC126267114","33","Diet 33",6.70605746909453,0.048229255801842,TRUE
"LOC126267154","33","Diet 33",1.45191775203517,0.00124601762650023,TRUE
"LOC126267162","33","Diet 33",1.79608630264133,4.02595911825755e-07,TRUE
"LOC126267163","33","Diet 33",3.21835482398334,7.71860434309279e-06,TRUE
"LOC126267179","33","Diet 33",-1.33890635247039,0.00771277568309602,TRUE
"LOC126267190","33","Diet 33",-2.97485498746068,7.74310091598781e-05,TRUE
"LOC126267215","33","Diet 33",4.16208354384924,1.45614059909799e-06,TRUE
"LOC126267216","33","Diet 33",3.11010614702468,0.00168285866668726,TRUE
"LOC126267226","33","Diet 33",3.94532719664789,2.70555650233285e-06,TRUE
"LOC126267253","33","Diet 33",-1.4678064453413,0.0289176620096866,TRUE
"LOC126267259","33","Diet 33",5.73405967879347,0.00400194382889434,TRUE
"LOC126267263","33","Diet 33",-1.99884092359291,0.000335301200724391,TRUE
"LOC126267333","33","Diet 33",1.80957822156049,0.0152558297284844,TRUE
"LOC126267343","33","Diet 33",1.45382512141093,0.00239873384701287,TRUE
"LOC126267391","33","Diet 33",1.76683227289659,0.00811519250455488,TRUE
"LOC126267400","33","Diet 33",-1.03534290517977,0.0213979577932933,TRUE
"LOC126267409","33","Diet 33",1.00702542037913,0.000707383072745718,TRUE
"LOC126267442","33","Diet 33",4.67105573241768,0.000656080353750742,TRUE
"LOC126267472","33","Diet 33",-1.96897186467656,0.0186167407061249,TRUE
"LOC126267473","33","Diet 33",2.39121712542774,6.5231775200365e-05,TRUE
"LOC126267478","33","Diet 33",1.98057617716425,0.023761598643709,TRUE
"LOC126267535","33","Diet 33",-1.62960005002867,0.0178066764382709,TRUE
"LOC126267545","33","Diet 33",4.07481833937208,0.0026910208070859,TRUE
"LOC126267554","33","Diet 33",-2.27848213655674,0.00317384414858309,TRUE
"LOC126267568","33","Diet 33",-3.50929145406238,0.000233618754283564,TRUE
"LOC126267629","33","Diet 33",2.7972031317922,0.0114744121525683,TRUE
"LOC126267980","33","Diet 33",5.33484910397425,0.00125532463915136,TRUE
"LOC126267982","33","Diet 33",-2.57468600248602,0.0237140593372777,TRUE
"LOC126267984","33","Diet 33",-1.89805533494849,0.0141704836338518,TRUE
"LOC126268014","33","Diet 33",3.82360621756172,0.0116255181599269,TRUE
"LOC126268015","33","Diet 33",5.4369133556055,0.00271835339989055,TRUE
"LOC126268068","33","Diet 33",1.29979081523876,0.00756585004270115,TRUE
"LOC126268069","33","Diet 33",-1.28188375111621,3.43847032892677e-06,TRUE
"LOC126268128","33","Diet 33",-2.22484897210663,0.019657172598297,TRUE
"LOC126268132","33","Diet 33",-1.70583179793848,0.00116482225263497,TRUE
"LOC126268133","33","Diet 33",1.107407110197,1.31082631149459e-06,TRUE
"LOC126268164","33","Diet 33",2.45608256279098,2.2515936186695e-06,TRUE
"LOC126268172","33","Diet 33",-3.81993799803625,0.022214056201445,TRUE
"LOC126268173","33","Diet 33",-4.4062843828036,0.0240263544576309,TRUE
"LOC126268182","33","Diet 33",1.33379025740462,0.0362139494616809,TRUE
"LOC126268194","33","Diet 33",1.30718863240895,0.0419753829332184,TRUE
"LOC126268199","33","Diet 33",-3.67236435944611,8.93205370513643e-05,TRUE
"LOC126268205","33","Diet 33",1.05537351628315,0.0333425244487727,TRUE
"LOC126268218","33","Diet 33",-1.02003828561364,0.0239277038518884,TRUE
"LOC126268397","33","Diet 33",1.70522427761312,2.451084895378e-05,TRUE
"LOC126268728","33","Diet 33",-2.33661959350024,0.00104549064749644,TRUE
"LOC126269384","33","Diet 33",3.70949693488547,1.40858460059431e-10,TRUE
"LOC126269416","33","Diet 33",1.3125948600602,0.0317335787977095,TRUE
"LOC126270012","33","Diet 33",1.09355793190484,0.00690254410615096,TRUE
"LOC126270294","33","Diet 33",-2.05514914524153,0.0132526504087277,TRUE
"LOC126271480","33","Diet 33",2.81203569845073,0.00260146928857629,TRUE
"LOC126271496","33","Diet 33",2.0689914141993,0.000589251400644929,TRUE
"LOC126271532","33","Diet 33",-1.53584359567588,0.0390503748054667,TRUE
"LOC126271618","33","Diet 33",4.51062453575852,0.00811519250455488,TRUE
"LOC126271634","33","Diet 33",8.13547391106471,1.22838279055512e-06,TRUE
"LOC126271720","33","Diet 33",-1.38294860615151,0.00125532463915136,TRUE
"LOC126271849","33","Diet 33",-2.58396191662501,0.00666566727040947,TRUE
"LOC126271895","33","Diet 33",2.00129209950283,0.0186167407061249,TRUE
"LOC126271907","33","Diet 33",2.61462518747338,0.0142024459772987,TRUE
"LOC126271928","33","Diet 33",-1.50718209067298,6.44864679171016e-05,TRUE
"LOC126271949","33","Diet 33",-1.18611886690572,0.0433733197597904,TRUE
"LOC126271975","33","Diet 33",5.58643025942269,3.05325879286105e-07,TRUE
"LOC126272038","33","Diet 33",1.12271529338783,0.00222947523834949,TRUE
"LOC126272055","33","Diet 33",1.3278286263388,0.00257097621141857,TRUE
"LOC126272082","33","Diet 33",2.34797191630232,0.000313745821314353,TRUE
"LOC126272087","33","Diet 33",1.16964706936783,0.0387349912382639,TRUE
"LOC126272090","33","Diet 33",1.51933682275834,0.00111534468940591,TRUE
"LOC126272126","33","Diet 33",-1.85898144562199,0.000117884069117255,TRUE
"LOC126272129","33","Diet 33",-1.49294947906738,0.0184947768485133,TRUE
"LOC126272144","33","Diet 33",2.79290423490448,1.83908614212458e-05,TRUE
"LOC126272290","33","Diet 33",2.08671395212351,0.00546091617962007,TRUE
"LOC126272321","33","Diet 33",1.55377363029738,0.00136811011010178,TRUE
"LOC126272336","33","Diet 33",1.01668742948556,0.018995249147779,TRUE
"LOC126272353","33","Diet 33",2.72712047463108,1.11964874310339e-07,TRUE
"LOC126272363","33","Diet 33",1.5612659797936,0.0186742358576907,TRUE
"LOC126272419","33","Diet 33",3.32595958380212,0.000421904729613774,TRUE
"LOC126272450","33","Diet 33",-1.47400633725744,0.00998784336988644,TRUE
"LOC126272463","33","Diet 33",-1.08171430030255,0.00641305404229579,TRUE
"LOC126272507","33","Diet 33",1.95065892521711,0.000282133558268722,TRUE
"LOC126272513","33","Diet 33",2.00730880129085,1.89632708456857e-05,TRUE
"LOC126272535","33","Diet 33",1.12414322441174,0.00044534488417674,TRUE
"LOC126272556","33","Diet 33",-1.83265509467548,0.0103533903093309,TRUE
"LOC126272589","33","Diet 33",-1.54494540090826,0.0234348572686078,TRUE
"LOC126272599","33","Diet 33",1.67848019342426,0.0426720044342882,TRUE
"LOC126272608","33","Diet 33",3.96248551169254,0.019025870597941,TRUE
"LOC126272609","33","Diet 33",5.58576716495468,3.70980369725337e-06,TRUE
"LOC126272678","33","Diet 33",-2.31554017797839,0.00364056616331399,TRUE
"LOC126272691","33","Diet 33",-2.49725579715927,0.00901136631132511,TRUE
"LOC126272753","33","Diet 33",-1.16894404882972,0.000857815531610991,TRUE
"LOC126272767","33","Diet 33",1.60632844257476,0.00165504769624271,TRUE
"LOC126272831","33","Diet 33",-2.13740802170136,0.0446098220299178,TRUE
"LOC126272850","33","Diet 33",4.27318033259379,0.000276910684430999,TRUE
"LOC126272858","33","Diet 33",2.0727453053457,0.000578039951270611,TRUE
"LOC126272860","33","Diet 33",-2.57579214164301,0.000894845167912538,TRUE
"LOC126272888","33","Diet 33",-1.68837770526613,0.0441415346865257,TRUE
"LOC126272926","33","Diet 33",-1.4863053203802,0.0246602288734105,TRUE
"LOC126272931","33","Diet 33",-1.31277684897851,0.0255044323563267,TRUE
"LOC126272961","33","Diet 33",2.37760448330656,9.20926419529652e-06,TRUE
"LOC126273028","33","Diet 33",4.24743270092856,0.00339643463927471,TRUE
"LOC126273029","33","Diet 33",4.78216768575988,0.00190070956427525,TRUE
"LOC126273030","33","Diet 33",5.83531285129295,0.00216369438819756,TRUE
"LOC126273032","33","Diet 33",5.06796477577162,0.00796813011653707,TRUE
"LOC126273060","33","Diet 33",6.07557700788704,5.634705346896e-07,TRUE
"LOC126273130","33","Diet 33",3.49907726112248,0.000414892131141627,TRUE
"LOC126273192","33","Diet 33",1.88129818179914,0.00134299213131964,TRUE
"LOC126273222","33","Diet 33",3.40562144842786,0.000197134227555851,TRUE
"LOC126273233","33","Diet 33",-2.50131981535929,0.0258412382434492,TRUE
"LOC126273243","33","Diet 33",1.32115492046809,0.0481156711777448,TRUE
"LOC126273250","33","Diet 33",-2.40996629061876,0.00228101870912196,TRUE
"LOC126273297","33","Diet 33",3.39590139128435,0.00277499776303751,TRUE
"LOC126273306","33","Diet 33",1.63322648378315,9.20926419529652e-06,TRUE
"LOC126273334","33","Diet 33",1.0297627277605,0.0317940660987775,TRUE
"LOC126273393","33","Diet 33",3.75769714988315,0.000209911176997429,TRUE
