"gene_id","Preferred_name","Description","Functional_theme","DEG_class","DEG_diets","DEG_direction_summary","min_padj","max_abs_lfc"
"LOC126335463","","Belongs to the serpin family","Immune-related","DEG","33, 50, 83","Higher in infected",6.18775881515788e-17,6.9904249895082
"LOC126285462","","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",5.14427648403709e-13,3.80047450433475
"LOC126271975","","Alpha-lactalbumin / lysozyme C","Immune-related","DEG","33, 50, 83","Higher in infected",5.08536935579296e-12,7.49540217322589
"LOC126267215","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",1.41719705410961e-10,5.53080727788498
"LOC126266760","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",7.45820805227745e-10,2.81401389623369
"LOC126336578","","Immunoglobulin V-set domain","Immune-related","DEG","33, 50, 83","Higher in infected",8.2891459925464e-10,5.17732309115063
"LOC126267163","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",1.08021110624106e-09,4.41542591530532
"LOC126267162","PGRPLC","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",1.47365512850105e-09,2.15268568341584
"LOC126335468","","Belongs to the serpin family","Immune-related","DEG","33, 50, 83","Higher in infected",7.58894962462001e-08,5.01662521467081
"LOC126336325","","Knottins","Immune-related","DEG","33, 50, 83","Higher in infected",8.44664299996881e-08,6.67753001654563
"LOC126284463","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","50, 83","Higher in infected",1.24149498949943e-07,4.52446279216286
"LOC126268068","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",1.39232263456323e-07,2.34288978322865
"LOC126267343","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",1.88742824480738e-07,2.34461139120995
"LOC126267216","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",2.16639063348292e-07,4.85840271072888
"LOC126266759","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",2.86004551566765e-07,3.17943087542321
"LOC126335547","","Belongs to the serpin family","Immune-related","DEG","33, 50, 83","Higher in infected",1.10414020514184e-06,2.96336225447057
"LOC126353952","CLIPC1","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Immune-related","DEG","33, 50, 83","Higher in infected",1.53993165037098e-06,2.37486629862804
"LOC126335467","","Belongs to the serpin family","Immune-related","DEG","50","Higher in infected",2.25221132266811e-06,2.46838838438619
"LOC126299332","","Lipid transporter activity. It is involved in the biological process described with lipid transport","Storage/lipid transport","DEG","33, 50, 83","Higher in infected",4.41087102052822e-08,2.10606263927206
"LOC126336416","","Hemocyanin, all-alpha domain","Storage/lipid transport","DEG","33, 50, 83","Higher in infected",3.8995634168556e-07,2.09964984882873
"LOC126336415","","Hemocyanin, all-alpha domain","Storage/lipid transport","DEG","50, 83","Higher in infected",0.000451312467009578,2.28642269756653
"LOC126336409","","Hemocyanin, all-alpha domain","Storage/lipid transport","DEG","33","Higher in control",0.0180765398477357,2.23923118855948
"LOC126299533","","nutrient reservoir activity","Storage/lipid transport","DEG","50","Higher in control",0.0200282016190444,2.79378665990489
"LOC126278499","","Sugar (and other) transporter","Nutrition/metabolism","DEG","33","Higher in control",8.63911505371691e-23,22.0758860035944
"LOC126355939","","amino acid transporter","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",7.91266863465501e-13,6.53703641972373
"LOC126278707","","Trypsin","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",2.14518519098829e-12,3.83735278452605
"LOC126285457","","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",1.98484521191936e-11,3.50134183088484
"LOC126335115","","Belongs to the type-B carboxylesterase lipase family","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",3.48474794979391e-11,6.73569992372961
"LOC126335114","","Belongs to the type-B carboxylesterase lipase family","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",4.23078099599701e-10,3.78372507983233
"LOC126282181","","Belongs to the type-B carboxylesterase lipase family","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",5.36655403588544e-10,6.88924073364275
"LOC126355303","","Transporter activity. It is involved in the biological process described with transmembrane transport","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",8.97403214132855e-10,4.3709468199877
"LOC126297421","","Carboxylic ester hydrolase activity. It is involved in the biological process described with lipid metabolic process","Nutrition/metabolism","DEG","33, 50","Higher in infected",1.65953417432176e-09,4.89828803797466
"LOC126272290","","Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. It is involved in the biological process described with nitrogen compound metabolic process","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",1.19591213031762e-08,3.90573552703558
"LOC126284651","","Phosphoric diester hydrolase activity. It is involved in the biological process described with lipid metabolic process","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",1.43224008033394e-08,4.74788554593735
"LOC126267545","","Trypsin-like serine protease","Nutrition/metabolism","DEG","33, 50","Higher in infected",1.81763797262797e-08,7.42665846758478
"LOC126354995","","carboxy-lyase activity. It is involved in the biological process described with carboxylic acid metabolic process","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",2.10790032067806e-08,6.77769725944489
"LOC126285413","","transporter activity. It is involved in the biological process described with sodium ion transport","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",5.5404123770492e-08,3.19637318744861
"LOC126278232","","Sugar proton symporter activity. It is involved in the biological process described with carbohydrate transport","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",6.20049542562047e-08,2.08131614148395
"LOC126349011","","Trypsin-like serine protease","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",6.78284988253931e-08,2.74961023509435
"LOC126339612","","Vault protein inter-alpha-trypsin domain","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",8.79920336118059e-08,3.58638203189747
"LOC126272336","","lipid binding","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",1.92857310610368e-07,2.01765411021511
"LOC126354579","","Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",3.13174103610302e-07,3.98849717257716
"LOC126356100","","Glycerol-3-phosphate O-acyltransferase activity. It is involved in the biological process described with phospholipid biosynthetic process","Nutrition/metabolism","DEG","50","Higher in control",2.66791460778016e-06,1.09771649289524
"LOC126266596","","Transferase activity, transferring hexosyl groups. It is involved in the biological process described with carbohydrate metabolic process","Nutrition/metabolism","DEG","33, 50, 83","Higher in control",4.49132446494274e-06,2.34785782759917
"LOC126272350","","carbohydrate binding","Immune-related","Not DEG","","",NA,0
"LOC126355865","CTLMA6","C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","Immune-related","Not DEG","","",NA,0
"LOC126267519","","cysteine-type endopeptidase inhibitor activity. It is involved in the biological process described with proteolysis","Immune-related","Not DEG","","",NA,0
"LOC126267690","CLIPD2","Domain of unknown function (DUF1986)","Immune-related","Not DEG","","",NA,0
"LOC126268175","","Immunoglobulin C-2 Type","Immune-related","Not DEG","","",NA,0
"LOC126335465","","Belongs to the serpin family","Immune-related","Not DEG","","",NA,0
"LOC126335167","","Belongs to the serpin family","Immune-related","Not DEG","","",NA,0
"LOC126277885","","Immunoglobulin C-2 Type","Immune-related","Not DEG","","",NA,0
"LOC126269044","","SERine  Proteinase INhibitors","Immune-related","Not DEG","","",NA,0
"LOC126336641","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","Not DEG","","",NA,0
"LOC126299121","bt","Immunoglobulin like","Immune-related","Not DEG","","",NA,0
"LOC126354270","","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Immune-related","Not DEG","","",NA,0
"LOC126273183","stai","It is involved in the biological process described with regulation of microtubule polymerization or depolymerization","Immune-related","Not DEG","","",NA,0
"LOC126278372","","Immunoglobulin","Immune-related","Not DEG","","",NA,0
"LOC126272086","nrm","Immunoglobulin like","Immune-related","Not DEG","","",NA,0
"LOC126335616","","C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","Immune-related","Not DEG","","",NA,0
"LOC126267131","","Immunoglobulin like","Immune-related","Not DEG","","",NA,0
"LOC126295162","","Immunoglobulin C-2 Type","Immune-related","Not DEG","","",NA,0
"LOC126335724","","Hemocyanin, all-alpha domain","Storage/lipid transport","Not DEG","","",NA,0
"LOC126334876","","Hemocyanin, all-alpha domain","Storage/lipid transport","Not DEG","","",NA,0
"LOC126336408","","Hemocyanin, all-alpha domain","Storage/lipid transport","Not DEG","","",NA,0
"LOC126335646","","Hemocyanin, copper containing domain","Storage/lipid transport","Not DEG","","",NA,0
"LOC126298412","","Lipid transporter activity. It is involved in the biological process described with lipid transport","Storage/lipid transport","Not DEG","","",NA,0
"LOC126299565","","Lipid transporter activity. It is involved in the biological process described with lipid transport","Storage/lipid transport","Not DEG","","",NA,0
"LOC126336762","","Microsomal triglyceride transfer protein","Storage/lipid transport","Not DEG","","",NA,0
"LOC126278130","","Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport","Nutrition/metabolism","Not DEG","","",NA,0
"LOC126354459","","Belongs to the type-B carboxylesterase lipase family","Nutrition/metabolism","Not DEG","","",NA,0
"LOC126354457","","Belongs to the type-B carboxylesterase lipase family","Nutrition/metabolism","Not DEG","","",NA,0
"LOC126278132","","Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport","Nutrition/metabolism","Not DEG","","",NA,0
"LOC126355964","","It is involved in the biological process described with metabolic process","Nutrition/metabolism","Not DEG","","",NA,0
"LOC126355972","","Belongs to the type-B carboxylesterase lipase family","Nutrition/metabolism","Not DEG","","",NA,0
"LOC126355971","","Belongs to the type-B carboxylesterase lipase family","Nutrition/metabolism","Not DEG","","",NA,0
"LOC126332617","","activity. It is involved in the biological process described with carbohydrate metabolic process","Nutrition/metabolism","Not DEG","","",NA,0
"LOC126277939","bli-4","Proprotein convertase P-domain","Nutrition/metabolism","Not DEG","","",NA,0
