"coefficient","direction","n_significant_genes"
"Diet_33_vs_50","Positive coefficient",1
"Diet_83_vs_50","Positive coefficient",18
"Treatment_Infected_vs_Control","Positive coefficient",742
"Diet33.TreatmentInfected","Positive coefficient",0
"Diet83.TreatmentInfected","Positive coefficient",2
"Diet_33_vs_50","Negative coefficient",0
"Diet_83_vs_50","Negative coefficient",5
"Treatment_Infected_vs_Control","Negative coefficient",374
"Diet33.TreatmentInfected","Negative coefficient",3
"Diet83.TreatmentInfected","Negative coefficient",0
