"label","PC1","PC2","Diet","Treatment","Condition"
"1002",-19.9508185791017,65.6058525283445,"83","Control","83 Control"
"1003",-38.3016029563596,23.9833351414999,"33","Control","33 Control"
"1004",-36.785004296966,20.0835339055779,"50","Control","50 Control"
"1005",-28.9849461671933,24.4071403352091,"83","Control","83 Control"
"1006",-48.1574667162847,31.0029319557386,"33","Control","33 Control"
"1007",-39.0445153048455,11.5029903330226,"50","Control","50 Control"
"1009",-42.3906040770426,-9.27083970827576,"33","Control","33 Control"
"1011",-29.589701980242,-17.5561426945514,"83","Control","83 Control"
"1014",16.369449692922,-19.3349617179801,"83","Infected","83 Infected"
"1015",46.1005739543359,8.17854144857404,"33","Infected","33 Infected"
"1016",58.07476819629,-21.8167992971871,"50","Infected","50 Infected"
"1018",8.00729815833014,14.0868234557529,"33","Infected","33 Infected"
"1020",18.9973777705701,67.652227822803,"83","Infected","83 Infected"
"1021",-2.18854467541509,22.3411289909563,"33","Infected","33 Infected"
"1023",74.925324074862,-36.9924163958612,"83","Infected","83 Infected"
"1024",15.2655275414047,34.5761656194562,"83","Infected","83 Infected"
"1025",42.4253298952433,18.2607260678651,"50","Infected","50 Infected"
"1027",72.1369878782495,14.0183754174415,"33","Infected","33 Infected"
"1028",15.4810134419565,1.8493180809611,"50","Infected","50 Infected"
"1029",63.5789661546093,12.6542188301387,"83","Infected","83 Infected"
"1030",-49.0371466925896,-1.43878422955031,"33","Control","33 Control"
"1031",-34.7087342972537,-8.41830647540214,"50","Control","50 Control"
"1032",-45.47985485645,-8.90471942432029,"83","Control","83 Control"
"1033",-24.0772341572127,11.3020727952948,"33","Control","33 Control"
"1034",-42.5424979947733,19.9206778010604,"50","Control","50 Control"
"1035",-17.278353713199,19.0034340406272,"83","Control","83 Control"
"1036",-46.8869111514543,5.3843863126653,"33","Control","33 Control"
"1037",-36.0192566072077,4.50883357415145,"50","Control","50 Control"
"1038",-37.4705412980195,-19.5557554769387,"83","Control","83 Control"
"1039",-27.1352572676664,-46.147500378568,"33","Control","33 Control"
"1040",-40.6834389914299,-37.9537879018566,"50","Control","50 Control"
"1041",-41.7198404537552,-19.878793450391,"83","Control","83 Control"
"1042",8.20685668829984,-53.4111930471886,"33","Infected","33 Infected"
"1043",-2.70137470335179,-24.4213765618745,"50","Infected","50 Infected"
"1045",-1.35826672357617,-30.4181187475747,"33","Infected","33 Infected"
"1046",41.0513581280921,9.07998014811447,"50","Infected","50 Infected"
"1049",54.8467979479228,-7.48211205429176,"50","Infected","50 Infected"
"1050",2.86281107060456,-56.0925178917,"83","Infected","83 Infected"
"1051",-14.8520146195675,-40.6383333603325,"33","Infected","33 Infected"
"1052",27.0957462883256,10.6463115086103,"50","Infected","50 Infected"
"1054",50.5164888683239,17.021003277751,"33","Infected","33 Infected"
"1055",22.454167221149,-2.86988898305741,"50","Infected","50 Infected"
"1057",52.3191331555825,-3.92832005778883,"33","Infected","33 Infected"
"1058",56.6279521538833,-0.539341536924906,"50","Infected","50 Infected"
