"comparison","sensitivity_class","n_genes","comparison_label"
"Diet 33: infected vs control","Retained after outlier removal",634,"Diet 33
infected vs control"
"Diet 33: infected vs control","Lost after outlier removal",223,"Diet 33
infected vs control"
"Diet 33: infected vs control","Gained after outlier removal",52,"Diet 33
infected vs control"
"Diet 50: infected vs control","Retained after outlier removal",701,"Diet 50
infected vs control"
"Diet 50: infected vs control","Lost after outlier removal",415,"Diet 50
infected vs control"
"Diet 50: infected vs control","Gained after outlier removal",112,"Diet 50
infected vs control"
"Diet 83: infected vs control","Retained after outlier removal",729,"Diet 83
infected vs control"
"Diet 83: infected vs control","Lost after outlier removal",39,"Diet 83
infected vs control"
"Diet 83: infected vs control","Gained after outlier removal",14,"Diet 83
infected vs control"
"Control 33 vs 50","Retained after outlier removal",2,"Control
33 vs 50"
"Control 33 vs 50","Lost after outlier removal",0,"Control
33 vs 50"
"Control 33 vs 50","Gained after outlier removal",1,"Control
33 vs 50"
"Control 83 vs 33","Retained after outlier removal",38,"Control
83 vs 33"
"Control 83 vs 33","Lost after outlier removal",9,"Control
83 vs 33"
"Control 83 vs 33","Gained after outlier removal",4,"Control
83 vs 33"
"Control 83 vs 50","Retained after outlier removal",10,"Control
83 vs 50"
"Control 83 vs 50","Lost after outlier removal",13,"Control
83 vs 50"
"Control 83 vs 50","Gained after outlier removal",3,"Control
83 vs 50"
"Infected 33 vs 50","Retained after outlier removal",98,"Infected
33 vs 50"
"Infected 33 vs 50","Lost after outlier removal",6,"Infected
33 vs 50"
"Infected 33 vs 50","Gained after outlier removal",37,"Infected
33 vs 50"
"Infected 83 vs 33","Retained after outlier removal",36,"Infected
83 vs 33"
"Infected 83 vs 33","Lost after outlier removal",3,"Infected
83 vs 33"
"Infected 83 vs 33","Gained after outlier removal",14,"Infected
83 vs 33"
"Infected 83 vs 50","Retained after outlier removal",14,"Infected
83 vs 50"
"Infected 83 vs 50","Lost after outlier removal",1,"Infected
83 vs 50"
"Infected 83 vs 50","Gained after outlier removal",1,"Infected
83 vs 50"
