"DEG_context","chromosome","deg_genes","annotated_genes","degs_per_1000_genes"
"Infection within diets","X",133,1806,73.6434108527132
"Infection within diets","11",44,438,100.456621004566
"Infection within diets","10",49,472,103.813559322034
"Infection within diets","9",64,826,77.4818401937046
"Infection within diets","8",119,1351,88.0829015544041
"Infection within diets","7",107,1243,86.082059533387
"Infection within diets","6",90,1580,56.9620253164557
"Infection within diets","5",106,2736,38.7426900584795
"Infection within diets","4",123,1759,69.9260943718022
"Infection within diets","3",184,2954,62.2884224779959
"Infection within diets","2",306,2976,102.822580645161
"Infection within diets","1",233,3242,71.8692165330043
"Diet DEGs in controls","X",5,1806,2.76854928017719
"Diet DEGs in controls","11",2,438,4.5662100456621
"Diet DEGs in controls","10",1,472,2.11864406779661
"Diet DEGs in controls","9",0,826,0
"Diet DEGs in controls","8",2,1351,1.48038490007402
"Diet DEGs in controls","7",2,1243,1.60901045856798
"Diet DEGs in controls","6",2,1580,1.26582278481013
"Diet DEGs in controls","5",2,2736,0.730994152046784
"Diet DEGs in controls","4",5,1759,2.84252416145537
"Diet DEGs in controls","3",6,2954,2.031144211239
"Diet DEGs in controls","2",15,2976,5.04032258064516
"Diet DEGs in controls","1",11,3242,3.39296730413325
"Diet DEGs in infected","X",17,1806,9.41306755260244
"Diet DEGs in infected","11",2,438,4.5662100456621
"Diet DEGs in infected","10",9,472,19.0677966101695
"Diet DEGs in infected","9",6,826,7.26392251815981
"Diet DEGs in infected","8",10,1351,7.4019245003701
"Diet DEGs in infected","7",8,1243,6.43604183427192
"Diet DEGs in infected","6",14,1580,8.86075949367089
"Diet DEGs in infected","5",14,2736,5.11695906432749
"Diet DEGs in infected","4",12,1759,6.82205798749289
"Diet DEGs in infected","3",22,2954,7.44752877454299
"Diet DEGs in infected","2",14,2976,4.70430107526882
"Diet DEGs in infected","1",24,3242,7.40283775447255
"Infection vs control","X",101,1806,55.9246954595792
"Infection vs control","11",32,438,73.0593607305936
"Infection vs control","10",38,472,80.5084745762712
"Infection vs control","9",56,826,67.7966101694915
"Infection vs control","8",121,1351,89.5632864544782
"Infection vs control","7",106,1243,85.277554304103
"Infection vs control","6",60,1580,37.9746835443038
"Infection vs control","5",84,2736,30.7017543859649
"Infection vs control","4",121,1759,68.78908470722
"Infection vs control","3",166,2954,56.1949898442789
"Infection vs control","2",299,2976,100.470430107527
"Infection vs control","1",208,3242,64.1579272054287
