"DEG_context","comparison_type","comparison","numerator","denominator","diet","gene_id","log2FoldChange"
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266590",-5.52073689673703
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266593",1.43062212489991
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266596",-2.36788433699146
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266657",-1.810968372274
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266672",1.21291574933536
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266675",1.17408655385538
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266728",1.64884534875056
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266748",1.7244568068388
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266759",2.34701752990822
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266760",1.79660825128698
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266822",-1.37550154646002
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266828",-2.07336251430734
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266832",-1.14762515065078
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266835",-2.1330750342479
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266909",-1.05082720403888
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266913",-1.38349421822871
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266938",-1.8597439620486
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266957",1.12114191729025
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266982",2.57474333740027
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266984",3.27567741743012
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267038",1.00435266124304
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267114",6.52186307372506
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267154",1.35506920595294
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267162",1.74408463066211
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267163",3.09990014497548
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267179",-1.37698945169371
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267190",-3.10979432169991
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267215",3.99083801505501
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267216",2.92485744490297
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267222",-1.07738569890275
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267226",3.82487310570653
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267253",-1.47190511925063
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267259",5.59843176933855
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267263",-1.9719605304426
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267333",1.93409430243033
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267343",1.40095011924422
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267391",1.61994642367758
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267400",-1.01997723853655
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267442",4.50779447645666
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267473",2.32675502844539
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267478",1.85537521354639
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267535",-1.73358083852896
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267545",4.04280392985678
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267554",-2.20033509709591
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267568",-3.47857694879251
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267575",1.69506410841076
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267629",2.71828485764297
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267970",-1.84685751483077
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267980",5.17311399531207
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267982",-2.6991658606889
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267984",-1.95198923215612
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268014",3.65755408153243
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268015",5.29646729412341
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268068",1.17509112024633
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268069",-1.2870665931459
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268128",-1.98284548107287
