"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database"
"GO:0005576","extracellular region","106/799","304/5969",0.348684210526316,2.60487616099071,11.2907004671937,6.7646052897411e-23,2.24246665354917e-19,2.24246665354917e-19,"LOC126333165/LOC126282193/LOC126334780/LOC126293557/LOC126344479/LOC126267253/LOC126353822/LOC126346606/LOC126293181/LOC126266752/LOC126280991/LOC126355485/LOC126299240/LOC126273312/LOC126295285/LOC126298901/LOC126278743/LOC126299206/LOC126355922/LOC126284577/LOC126336838/LOC126267773/LOC126336809/LOC126356096/LOC126335547/LOC126334947/LOC126271975/LOC126267391/LOC126272477/LOC126281165/LOC126278287/LOC126356176/LOC126355938/LOC126268712/LOC126354439/LOC126267876/LOC126272263/LOC126283987/LOC126284250/LOC126334779/LOC126336322/LOC126354358/LOC126266830/LOC126343426/LOC126293178/LOC126297427/LOC126335546/LOC126346622/LOC126272905/LOC126344496/LOC126272361/LOC126298316/LOC126331446/LOC126267439/LOC126336602/LOC126298544/LOC126284333/LOC126337058/LOC126298861/LOC126284086/LOC126336597/LOC126284491/LOC126335382/LOC126272041/LOC126284845/LOC126323429/LOC126304998/LOC126284425/LOC126298389/LOC126278307/LOC126284629/LOC126298594/LOC126331832/LOC126277899/LOC126284630/LOC126295284/LOC126298490/LOC126357498/LOC126346580/LOC126298412/LOC126346021/LOC126299332/LOC126285462/LOC126274364/LOC126298648/LOC126272046/LOC126267997/LOC126272787/LOC126337059/LOC126284756/LOC126271872/LOC126356100/LOC126335544/LOC126273010/LOC126365865/LOC126272362/LOC126335545/LOC126336325/LOC126278442/LOC126267477/LOC126337018/LOC126335335/LOC126278524/LOC126271928/LOC126336893/LOC126275497",106,"All infection DEGs","GO"
"GO:0005887","GO:0005887","104/799","332/5969",0.313253012048193,2.34018426647768,9.87761432278129,1.70164852969453e-18,2.82048243796869e-15,2.82048243796869e-15,"LOC126355544/LOC126334107/LOC126335775/LOC126310439/LOC126281483/LOC126356065/LOC126278940/LOC126365371/LOC126267217/LOC126338336/LOC126353931/LOC126297629/LOC126273193/LOC126278105/LOC126267877/LOC126267216/LOC126353850/LOC126267163/LOC126298602/LOC126357744/LOC126334943/LOC126336082/LOC126356808/LOC126355582/LOC126354348/LOC126285413/LOC126267133/LOC126284182/LOC126336688/LOC126336238/LOC126336931/LOC126278432/LOC126267215/LOC126281695/LOC126272930/LOC126334996/LOC126335918/LOC126284897/LOC126279309/LOC126334997/LOC126356354/LOC126267343/LOC126336638/LOC126354034/LOC126281447/LOC126278393/LOC126298067/LOC126355684/LOC126356271/LOC126281509/LOC126267806/LOC126361237/LOC126267060/LOC126293524/LOC126299155/LOC126336864/LOC126271869/LOC126297555/LOC126299506/LOC126299097/LOC126356631/LOC126298972/LOC126278048/LOC126266988/LOC126354398/LOC126365747/LOC126292020/LOC126271434/LOC126278037/LOC126365918/LOC126336041/LOC126267652/LOC126356154/LOC126268068/LOC126295251/LOC126298404/LOC126354816/LOC126298991/LOC126298679/LOC126281351/LOC126354525/LOC126354279/LOC126299447/LOC126354819/LOC126336038/LOC126267939/LOC126272934/LOC126302399/LOC126353927/LOC126266656/LOC126271496/LOC126361668/LOC126281676/LOC126355545/LOC126297964/LOC126355933/LOC126267061/LOC126298992/LOC126353956/LOC126293545/LOC126267315/LOC126266590/LOC126341744/LOC126266677",104,"All infection DEGs","GO"
"GO:0031226","GO:0031226","105/799","341/5969",0.30791788856305,2.30032775573573,9.72065440754973,4.63372392627988e-18,5.12026493853926e-15,5.12026493853926e-15,"LOC126355544/LOC126334107/LOC126335775/LOC126310439/LOC126281483/LOC126356065/LOC126278940/LOC126365371/LOC126267217/LOC126338336/LOC126353931/LOC126297629/LOC126273193/LOC126278105/LOC126267877/LOC126267216/LOC126353850/LOC126267163/LOC126298602/LOC126357744/LOC126334943/LOC126336082/LOC126356808/LOC126355582/LOC126354348/LOC126285413/LOC126267133/LOC126284182/LOC126336688/LOC126336238/LOC126336931/LOC126278432/LOC126267215/LOC126281695/LOC126272930/LOC126334996/LOC126335918/LOC126284897/LOC126279309/LOC126334997/LOC126356354/LOC126267343/LOC126336638/LOC126354034/LOC126281447/LOC126278393/LOC126298067/LOC126355684/LOC126356271/LOC126281509/LOC126267806/LOC126361237/LOC126267060/LOC126293524/LOC126299155/LOC126336864/LOC126271869/LOC126297555/LOC126299506/LOC126299097/LOC126356631/LOC126298972/LOC126278048/LOC126266988/LOC126354398/LOC126365747/LOC126292020/LOC126271434/LOC126278037/LOC126365918/LOC126336041/LOC126267652/LOC126356154/LOC126268068/LOC126295251/LOC126298404/LOC126354816/LOC126298991/LOC126298679/LOC126281351/LOC126354525/LOC126354279/LOC126299447/LOC126354819/LOC126336038/LOC126267939/LOC126272934/LOC126302399/LOC126353927/LOC126266656/LOC126271496/LOC126298556/LOC126361668/LOC126281676/LOC126355545/LOC126297964/LOC126355933/LOC126267061/LOC126298992/LOC126353956/LOC126293545/LOC126267315/LOC126266590/LOC126341744/LOC126266677",105,"All infection DEGs","GO"
"GO:0044421","GO:0044421","77/799","227/5969",0.33920704845815,2.5340761855403,9.2634079009474,5.24228982434518e-16,4.34454769192607e-13,4.34454769192607e-13,"LOC126333165/LOC126282193/LOC126293557/LOC126344479/LOC126267253/LOC126353822/LOC126266752/LOC126280991/LOC126355485/LOC126299240/LOC126295285/LOC126298901/LOC126299206/LOC126284577/LOC126267773/LOC126336809/LOC126356096/LOC126335547/LOC126334947/LOC126271975/LOC126267391/LOC126272477/LOC126281165/LOC126278287/LOC126356176/LOC126354439/LOC126267876/LOC126283987/LOC126284250/LOC126334779/LOC126354358/LOC126343426/LOC126335546/LOC126344496/LOC126272361/LOC126298316/LOC126331446/LOC126336602/LOC126298544/LOC126337058/LOC126298861/LOC126284086/LOC126336597/LOC126284491/LOC126335382/LOC126272041/LOC126284845/LOC126323429/LOC126304998/LOC126284425/LOC126278307/LOC126284629/LOC126298594/LOC126331832/LOC126277899/LOC126284630/LOC126295284/LOC126298490/LOC126357498/LOC126298412/LOC126346021/LOC126299332/LOC126272046/LOC126267997/LOC126337059/LOC126356100/LOC126335544/LOC126273010/LOC126272362/LOC126335545/LOC126278442/LOC126267477/LOC126337018/LOC126335335/LOC126278524/LOC126271928/LOC126275497",77,"All infection DEGs","GO"
"GO:0022857","transmembrane transporter activity","112/799","422/5969",0.265402843601896,1.98271536102593,8.23184932487954,5.0682234306984e-14,3.36023213455304e-11,3.36023213455304e-11,"LOC126354344/LOC126356065/LOC126278568/LOC126354827/LOC126338336/LOC126353931/LOC126298058/LOC126272767/LOC126267118/LOC126354789/LOC126357744/LOC126355940/LOC126278467/LOC126354753/LOC126334943/LOC126336082/LOC126278890/LOC126354788/LOC126355582/LOC126356287/LOC126336375/LOC126285413/LOC126354241/LOC126336688/LOC126354017/LOC126354018/LOC126272251/LOC126278432/LOC126336484/LOC126269352/LOC126281695/LOC126365875/LOC126273220/LOC126334996/LOC126354562/LOC126284897/LOC126279309/LOC126295311/LOC126272465/LOC126334997/LOC126355391/LOC126272718/LOC126336638/LOC126354034/LOC126281447/LOC126298067/LOC126355684/LOC126272275/LOC126267806/LOC126355939/LOC126293524/LOC126354751/LOC126336864/LOC126278232/LOC126271869/LOC126269255/LOC126297555/LOC126354186/LOC126324336/LOC126298783/LOC126356631/LOC126355392/LOC126335259/LOC126298972/LOC126356137/LOC126366011/LOC126292020/LOC126358740/LOC126278191/LOC126354163/LOC126278946/LOC126356316/LOC126295251/LOC126272360/LOC126354478/LOC126272139/LOC126354816/LOC126354780/LOC126298679/LOC126354570/LOC126334835/LOC126281351/LOC126354750/LOC126354785/LOC126282259/LOC126291821/LOC126299447/LOC126278974/LOC126336038/LOC126267939/LOC126356039/LOC126272934/LOC126353927/LOC126335294/LOC126282638/LOC126341660/LOC126297822/LOC126278971/LOC126361668/LOC126281676/LOC126354039/LOC126297964/LOC126283953/LOC126354582/LOC126335355/LOC126354040/LOC126355303/LOC126293545/LOC126336682/LOC126334955/LOC126266590/LOC126341744",112,"All infection DEGs","GO"
"GO:0006811","monoatomic ion transport","106/799","403/5969",0.26302729528536,1.96496861772004,7.88563438102054,5.04586154975771e-13,2.78783850624113e-10,2.78783850624113e-10,"LOC126354344/LOC126356065/LOC126278568/LOC126354827/LOC126338336/LOC126353931/LOC126298058/LOC126272767/LOC126267118/LOC126355940/LOC126278467/LOC126354753/LOC126334943/LOC126336082/LOC126278890/LOC126354788/LOC126355582/LOC126356287/LOC126336375/LOC126285413/LOC126354241/LOC126336688/LOC126336931/LOC126272251/LOC126278432/LOC126336484/LOC126269352/LOC126281695/LOC126365875/LOC126273220/LOC126334996/LOC126354562/LOC126284897/LOC126279309/LOC126295311/LOC126272465/LOC126334997/LOC126355391/LOC126272718/LOC126336638/LOC126354034/LOC126281447/LOC126298067/LOC126355684/LOC126272275/LOC126267806/LOC126355939/LOC126293524/LOC126354751/LOC126336864/LOC126278232/LOC126271869/LOC126269255/LOC126297555/LOC126354186/LOC126324336/LOC126356631/LOC126355392/LOC126335259/LOC126298972/LOC126356137/LOC126366011/LOC126292020/LOC126358740/LOC126354163/LOC126356316/LOC126295251/LOC126272360/LOC126354478/LOC126272139/LOC126354816/LOC126354780/LOC126298679/LOC126273067/LOC126334835/LOC126281351/LOC126354750/LOC126354785/LOC126282259/LOC126299447/LOC126278974/LOC126336038/LOC126267939/LOC126356039/LOC126272934/LOC126353927/LOC126354110/LOC126282638/LOC126291650/LOC126341660/LOC126297822/LOC126361668/LOC126281676/LOC126354039/LOC126297964/LOC126283953/LOC126354582/LOC126335355/LOC126354040/LOC126337983/LOC126355303/LOC126293545/LOC126336682/LOC126334955/LOC126266590/LOC126341744",106,"All infection DEGs","GO"
"GO:0055085","transmembrane transport","116/799","459/5969",0.252723311546841,1.8879917980264,7.7836271293122,6.79571185729549e-13,3.21825497241922e-10,3.21825497241922e-10,"LOC126354344/LOC126356065/LOC126278568/LOC126354827/LOC126338336/LOC126353931/LOC126298058/LOC126272767/LOC126267118/LOC126354789/LOC126357744/LOC126355940/LOC126278467/LOC126354753/LOC126334943/LOC126336082/LOC126278890/LOC126354788/LOC126355582/LOC126356287/LOC126336375/LOC126285413/LOC126354241/LOC126336688/LOC126354017/LOC126354018/LOC126272251/LOC126278432/LOC126336484/LOC126269352/LOC126281695/LOC126365875/LOC126273220/LOC126334996/LOC126354562/LOC126284897/LOC126279309/LOC126295311/LOC126272465/LOC126334997/LOC126355391/LOC126272718/LOC126336638/LOC126354034/LOC126281447/LOC126298067/LOC126355684/LOC126272275/LOC126267806/LOC126355939/LOC126293524/LOC126354751/LOC126336864/LOC126278232/LOC126271869/LOC126269255/LOC126297555/LOC126354186/LOC126324336/LOC126298783/LOC126356631/LOC126355392/LOC126335259/LOC126298972/LOC126356137/LOC126366011/LOC126292020/LOC126358740/LOC126278191/LOC126354163/LOC126278946/LOC126356316/LOC126295251/LOC126272360/LOC126354478/LOC126272139/LOC126354816/LOC126354780/LOC126298679/LOC126354570/LOC126334835/LOC126281351/LOC126354750/LOC126354785/LOC126282259/LOC126291821/LOC126299447/LOC126278974/LOC126298824/LOC126336038/LOC126267939/LOC126356039/LOC126272934/LOC126353927/LOC126335294/LOC126354110/LOC126282638/LOC126291650/LOC126341660/LOC126297822/LOC126278971/LOC126361668/LOC126281676/LOC126354039/LOC126297964/LOC126283953/LOC126354582/LOC126335355/LOC126354040/LOC126337983/LOC126355303/LOC126293545/LOC126336682/LOC126334955/LOC126266590/LOC126341744",116,"All infection DEGs","GO"
"GO:0005615","extracellular space","52/799","146/5969",0.356164383561644,2.6607574536664,7.98641306300641,4.42584816156884e-12,1.83396083195009e-09,1.83396083195009e-09,"LOC126333165/LOC126282193/LOC126293557/LOC126344479/LOC126267253/LOC126353822/LOC126280991/LOC126295285/LOC126298901/LOC126356096/LOC126335547/LOC126334947/LOC126271975/LOC126272477/LOC126281165/LOC126278287/LOC126356176/LOC126354439/LOC126267876/LOC126283987/LOC126334779/LOC126354358/LOC126343426/LOC126335546/LOC126344496/LOC126272361/LOC126298316/LOC126331446/LOC126337058/LOC126335382/LOC126272041/LOC126304998/LOC126278307/LOC126284629/LOC126298594/LOC126331832/LOC126277899/LOC126284630/LOC126295284/LOC126298490/LOC126298412/LOC126346021/LOC126299332/LOC126337059/LOC126335544/LOC126273010/LOC126272362/LOC126335545/LOC126278442/LOC126267477/LOC126335335/LOC126275497",52,"All infection DEGs","GO"
"GO:0034220","monoatomic ion transmembrane transport","89/799","336/5969",0.264880952380952,1.97881652661064,7.26011636986428,3.09612107372793e-11,1.14040459548979e-08,1.14040459548979e-08,"LOC126354344/LOC126356065/LOC126278568/LOC126354827/LOC126338336/LOC126353931/LOC126298058/LOC126272767/LOC126267118/LOC126355940/LOC126354753/LOC126334943/LOC126336082/LOC126278890/LOC126354788/LOC126355582/LOC126356287/LOC126285413/LOC126336688/LOC126272251/LOC126278432/LOC126269352/LOC126281695/LOC126365875/LOC126273220/LOC126334996/LOC126354562/LOC126284897/LOC126279309/LOC126295311/LOC126334997/LOC126272718/LOC126336638/LOC126354034/LOC126281447/LOC126298067/LOC126355684/LOC126272275/LOC126267806/LOC126355939/LOC126293524/LOC126354751/LOC126336864/LOC126278232/LOC126271869/LOC126269255/LOC126297555/LOC126354186/LOC126324336/LOC126356631/LOC126298972/LOC126356137/LOC126366011/LOC126292020/LOC126358740/LOC126356316/LOC126295251/LOC126272360/LOC126354478/LOC126272139/LOC126354816/LOC126298679/LOC126281351/LOC126354750/LOC126354785/LOC126282259/LOC126299447/LOC126278974/LOC126336038/LOC126267939/LOC126356039/LOC126272934/LOC126353927/LOC126354110/LOC126282638/LOC126291650/LOC126341660/LOC126297822/LOC126361668/LOC126281676/LOC126297964/LOC126283953/LOC126354582/LOC126337983/LOC126355303/LOC126293545/LOC126336682/LOC126266590/LOC126341744",89,"All infection DEGs","GO"
"GO:0015075","monoatomic ion transmembrane transporter activity","84/799","311/5969",0.270096463022508,2.0177794590505,7.24677754485979,3.94605431710987e-11,1.30811700612192e-08,1.30811700612192e-08,"LOC126354344/LOC126356065/LOC126278568/LOC126354827/LOC126338336/LOC126353931/LOC126298058/LOC126272767/LOC126267118/LOC126355940/LOC126354753/LOC126334943/LOC126336082/LOC126278890/LOC126354788/LOC126355582/LOC126356287/LOC126285413/LOC126336688/LOC126272251/LOC126278432/LOC126269352/LOC126281695/LOC126365875/LOC126273220/LOC126334996/LOC126354562/LOC126284897/LOC126279309/LOC126295311/LOC126334997/LOC126272718/LOC126336638/LOC126354034/LOC126281447/LOC126298067/LOC126355684/LOC126272275/LOC126267806/LOC126355939/LOC126293524/LOC126354751/LOC126336864/LOC126271869/LOC126269255/LOC126297555/LOC126354186/LOC126324336/LOC126356631/LOC126298972/LOC126356137/LOC126366011/LOC126292020/LOC126358740/LOC126356316/LOC126295251/LOC126272360/LOC126272139/LOC126354816/LOC126298679/LOC126281351/LOC126354750/LOC126354785/LOC126282259/LOC126299447/LOC126278974/LOC126336038/LOC126267939/LOC126356039/LOC126272934/LOC126353927/LOC126282638/LOC126341660/LOC126297822/LOC126361668/LOC126281676/LOC126297964/LOC126283953/LOC126354582/LOC126355303/LOC126293545/LOC126336682/LOC126266590/LOC126341744",84,"All infection DEGs","GO"
