"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","pathway_theme","pathway_scope"
"ko04080","Neuroactive ligand-receptor interaction","36/630","98/3900",0.36734693877551,2.27405247813411,5.60618357280188,4.52727282341218e-07,0.000142609093937484,0.000142609093937484,"LOC126335869/LOC126299360/LOC126355437/LOC126267042/LOC126299155/LOC126355582/LOC126354348/LOC126311851/LOC126356006/LOC126355973/LOC126278518/LOC126282477/LOC126298404/LOC126355068/LOC126336238/LOC126329331/LOC126299097/LOC126354398/LOC126366011/LOC126267153/LOC126354276/LOC126299510/LOC126354218/LOC126298972/LOC126266656/LOC126267861/LOC126278537/LOC126355816/LOC126365747/LOC126278519/LOC126353956/LOC126298918/LOC126277867/LOC126330497/LOC126284371/LOC126281810",36,"All infection DEGs","KEGG_pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko01110","Biosynthesis of secondary metabolites","82/630","324/3900",0.253086419753086,1.56672545561434,4.67540768460963,6.51401218948829e-06,0.00102595691984441,0.00102595691984441,"LOC126293404/LOC126268218/LOC126354649/LOC126284812/LOC126334613/LOC126356152/LOC126336251/LOC126335184/LOC126272594/LOC126335242/LOC126272926/LOC126271955/LOC126298400/LOC126355485/LOC126335182/LOC126281446/LOC126285116/LOC126325353/LOC126272382/LOC126278485/LOC126361126/LOC126336773/LOC126272256/LOC126323251/LOC126341660/LOC126339265/LOC126324953/LOC126283383/LOC126336379/LOC126356100/LOC126267788/LOC126272584/LOC126299546/LOC126276148/LOC126297494/LOC126274964/LOC126345263/LOC126335171/LOC126350022/LOC126272928/LOC126284898/LOC126297581/LOC126284756/LOC126298001/LOC126354995/LOC126365957/LOC126267473/LOC126281532/LOC126336625/LOC126335505/LOC126282346/LOC126354590/LOC126299364/LOC126268126/LOC126282460/LOC126285378/LOC126284341/LOC126298632/LOC126281958/LOC126298530/LOC126312349/LOC126293737/LOC126341237/LOC126278697/LOC126352958/LOC126268198/LOC126281954/LOC126333363/LOC126365941/LOC126334596/LOC126298221/LOC126278447/LOC126334891/LOC126356050/LOC126272560/LOC126298865/LOC126284686/LOC126336244/LOC126284002/LOC126281265/LOC126281562/LOC126272831",82,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko00981","Insect hormone biosynthesis","13/630","24/3900",0.541666666666667,3.3531746031746,5.07505677670518,1.99787209334526e-05,0.00209776569801252,0.00209776569801252,"LOC126335148/LOC126343748/LOC126320178/LOC126299150/LOC126281446/LOC126305900/LOC126343702/LOC126268026/LOC126270657/LOC126282181/LOC126293679/LOC126365945/LOC126293680",13,"All infection DEGs","KEGG_pathway","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain"
"ko04727","GABAergic synapse","15/630","37/3900",0.405405405405405,2.50965250965251,4.04937984828377,0.00032281160939155,0.0254214142395846,0.0254214142395846,"LOC126278890/LOC126284296/LOC126297585/LOC126355973/LOC126278518/LOC126335781/LOC126298404/LOC126354995/LOC126268518/LOC126354742/LOC126366011/LOC126268126/LOC126298632/LOC126281608/LOC126281810",15,"All infection DEGs","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko00100","Steroid biosynthesis","7/630","11/3900",0.636363636363636,3.93939393939394,4.28457926171072,0.000504917600813053,0.0265081740426853,0.0265081740426853,"LOC126291813/LOC126278068/LOC126335155/LOC126282077/LOC126292019/LOC126336514/LOC126335154",7,"All infection DEGs","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko05033","Nicotine addiction","7/630","11/3900",0.636363636363636,3.93939393939394,4.28457926171072,0.000504917600813053,0.0265081740426853,0.0265081740426853,"LOC126278890/LOC126355582/LOC126355973/LOC126366011/LOC126298972/LOC126278974/LOC126281810",7,"All infection DEGs","KEGG_pathway","Reference disease pathway","Reference disease pathway"
"ko00330","Arginine and proline metabolism","16/630","44/3900",0.363636363636364,2.25108225108225,3.66282951009543,0.000865071677132454,0.0389282254709604,0.0389282254709605,"LOC126281672/LOC126335036/LOC126281446/LOC126278485/LOC126337850/LOC126284971/LOC126339265/LOC126284548/LOC126276148/LOC126350022/LOC126267473/LOC126282460/LOC126278697/LOC126352958/LOC126355053/LOC126278249",16,"All infection DEGs","KEGG_pathway","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00980","Metabolism of xenobiotics by cytochrome P450","26/630","90/3900",0.288888888888889,1.78835978835979,3.32090343281606,0.00150732739530265,0.0558081787389048,0.0558081787389048,"LOC126343748/LOC126354649/LOC126331335/LOC126272926/LOC126281404/LOC126282396/LOC126272724/LOC126343702/LOC126336695/LOC126267788/LOC126272928/LOC126281410/LOC126336625/LOC126293679/LOC126272716/LOC126293680/LOC126341237/LOC126281954/LOC126336692/LOC126336888/LOC126282422/LOC126281694/LOC126272560/LOC126336730/LOC126281562/LOC126272831",26,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00592","alpha-Linolenic acid metabolism","8/630","16/3900",0.5,3.0952380952381,3.68575767410721,0.00170267779093751,0.0558081787389048,0.0558081787389048,"LOC126356152/LOC126285116/LOC126336773/LOC126341660/LOC126345263/LOC126312349/LOC126268198/LOC126284686",8,"All infection DEGs","KEGG_pathway","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko01230","Biosynthesis of amino acids","20/630","64/3900",0.3125,1.93452380952381,3.30837000295936,0.00184862225754191,0.0558081787389048,0.0558081787389048,"LOC126334613/LOC126335242/LOC126293368/LOC126325353/LOC126276148/LOC126274964/LOC126284898/LOC126267473/LOC126281532/LOC126268518/LOC126335505/LOC126282346/LOC126354590/LOC126295405/LOC126282460/LOC126333363/LOC126365941/LOC126334596/LOC126298221/LOC126278447",20,"All infection DEGs","KEGG_pathway","Amino acid and nitrogen metabolism","Broad KEGG reference map"
