"term","name","ontology"
"GO:0001703","gastrulation with mouth forming first","BP"
"GO:0003674","molecular_function","MF"
"GO:0003779","actin binding","MF"
"GO:0005488","binding","MF"
"GO:0005509","calcium ion binding","MF"
"GO:0005515","protein binding","MF"
"GO:0006996","organelle organization","BP"
"GO:0007010","cytoskeleton organization","BP"
"GO:0007275","multicellular organism development","BP"
"GO:0007369","gastrulation","BP"
"GO:0007525","somatic muscle development","BP"
"GO:0007527","adult somatic muscle development","BP"
"GO:0008092","cytoskeletal protein binding","MF"
"GO:0008150","biological_process","BP"
"GO:0009653","anatomical structure morphogenesis","BP"
"GO:0009790","embryo development","BP"
"GO:0009987","cellular process","BP"
"GO:0010004","gastrulation involving germ band extension","BP"
"GO:0010927","cellular component assembly involved in morphogenesis","BP"
"GO:0016043","cellular component organization","BP"
"GO:0022607","cellular component assembly","BP"
"GO:0030029","actin filament-based process","BP"
"GO:0030036","actin cytoskeleton organization","BP"
"GO:0030154","cell differentiation","BP"
"GO:0030239","myofibril assembly","BP"
"GO:0031032","actomyosin structure organization","BP"
"GO:0032501","multicellular organismal process","BP"
"GO:0032502","developmental process","BP"
"GO:0032989","cellular anatomical entity morphogenesis","BP"
"GO:0042692","muscle cell differentiation","BP"
"GO:0043167","ion binding","MF"
"GO:0043169","cation binding","MF"
"GO:0044085","cellular component biogenesis","BP"
"GO:0046872","metal ion binding","MF"
"GO:0048468","cell development","BP"
"GO:0048598","embryonic morphogenesis","BP"
"GO:0048646","anatomical structure formation involved in morphogenesis","BP"
"GO:0048856","anatomical structure development","BP"
"GO:0048869","cellular developmental process","BP"
"GO:0051146","striated muscle cell differentiation","BP"
"GO:0055001","muscle cell development","BP"
"GO:0055002","striated muscle cell development","BP"
"GO:0061061","muscle structure development","BP"
"GO:0070925","organelle assembly","BP"
"GO:0071840","cellular component organization or biogenesis","BP"
"GO:0097435","supramolecular fiber organization","BP"
"GO:0005215","transporter activity","MF"
"GO:0005575","cellular_component","CC"
"GO:0005622","intracellular anatomical structure","CC"
"GO:0005737","cytoplasm","CC"
"GO:0005739","mitochondrion","CC"
"GO:0005740","mitochondrial envelope","CC"
"GO:0005741","mitochondrial outer membrane","CC"
"GO:0005742","mitochondrial outer membrane translocase complex","CC"
"GO:0006605","protein targeting","BP"
"GO:0006810","transport","BP"
"GO:0006839","mitochondrial transport","BP"
"GO:0006886","intracellular protein transport","BP"
"GO:0007005","mitochondrion organization","BP"
"GO:0007006","mitochondrial membrane organization","BP"
"GO:0008104","intracellular protein localization","BP"
"GO:0008320","protein transmembrane transporter activity","MF"
"GO:0015031","protein transport","BP"
"GO:0015399","primary active transmembrane transporter activity","MF"
"GO:0015450","protein-transporting ATPase activity","MF"
"GO:0015833","peptide transport","BP"
"GO:0016020","membrane","CC"
"GO:0017038","protein import","BP"
"GO:0019867","outer membrane","CC"
"GO:0022804","active transmembrane transporter activity","MF"
"GO:0022857","transmembrane transporter activity","MF"
"GO:0022884","macromolecule transmembrane transporter activity","MF"
"GO:0030150","protein import into mitochondrial matrix","BP"
"GO:0031090","organelle membrane","CC"
"GO:0031966","mitochondrial membrane","CC"
"GO:0031967","organelle envelope","CC"
"GO:0031968","organelle outer membrane","CC"
"GO:0032991","protein-containing complex","CC"
"GO:0033036","macromolecule localization","BP"
"GO:0033365","protein localization to organelle","BP"
"GO:0043226","organelle","CC"
"GO:0043227","membrane-bounded organelle","CC"
"GO:0043229","intracellular organelle","CC"
"GO:0043231","intracellular membrane-bounded organelle","CC"
"GO:0044743","protein transmembrane import into intracellular organelle","BP"
"GO:0045040","protein insertion into mitochondrial outer membrane","BP"
"GO:0045184","establishment of protein localization","BP"
"GO:0046907","intracellular transport","BP"
"GO:0051179","localization","BP"
"GO:0051234","establishment of localization","BP"
"GO:0051641","cellular localization","BP"
"GO:0051649","establishment of localization in cell","BP"
"GO:0055085","transmembrane transport","BP"
"GO:0061024","membrane organization","BP"
"GO:0065002","intracellular protein transmembrane transport","BP"
"GO:0070585","protein localization to mitochondrion","BP"
"GO:0071705","nitrogen compound transport","BP"
"GO:0071806","protein transmembrane transport","BP"
"GO:0072594","establishment of protein localization to organelle","BP"
"GO:0072657","protein localization to membrane","BP"
"GO:0090150","establishment of protein localization to membrane","BP"
"GO:0098588","bounding membrane of organelle","CC"
"GO:0098796","membrane protein complex","CC"
"GO:0098798","mitochondrial protein-containing complex","CC"
"GO:0098799","outer mitochondrial membrane protein complex","CC"
"GO:1904680","peptide transmembrane transporter activity","MF"
"GO:1990542","mitochondrial transmembrane transport","BP"
"GO:0005634","nucleus","CC"
"GO:0005886","plasma membrane","CC"
"GO:0071944","cell periphery","CC"
"GO:0006355","regulation of DNA-templated transcription","BP"
"GO:0007154","cell communication","BP"
"GO:0007165","signal transduction","BP"
"GO:0008361","regulation of cell size","BP"
"GO:0009889","regulation of biosynthetic process","BP"
"GO:0009891","positive regulation of biosynthetic process","BP"
"GO:0009893","positive regulation of metabolic process","BP"
"GO:0009966","regulation of signal transduction","BP"
"GO:0009967","positive regulation of signal transduction","BP"
"GO:0010468","regulation of gene expression","BP"
"GO:0010556","regulation of macromolecule biosynthetic process","BP"
"GO:0010557","positive regulation of macromolecule biosynthetic process","BP"
"GO:0010604","positive regulation of macromolecule metabolic process","BP"
"GO:0010628","positive regulation of gene expression","BP"
"GO:0010646","regulation of cell communication","BP"
"GO:0010647","positive regulation of cell communication","BP"
"GO:0019219","regulation of nucleobase-containing compound metabolic process","BP"
"GO:0019222","regulation of metabolic process","BP"
"GO:0023051","regulation of signaling","BP"
"GO:0023052","signaling","BP"
"GO:0023056","positive regulation of signaling","BP"
"GO:0031929","TOR signaling","BP"
"GO:0031931","TORC1 complex","CC"
"GO:0031932","TORC2 complex","CC"
"GO:0032535","regulation of cellular component size","BP"
"GO:0032956","regulation of actin cytoskeleton organization","BP"
"GO:0032970","regulation of actin filament-based process","BP"
"GO:0033043","regulation of organelle organization","BP"
"GO:0034504","protein localization to nucleus","BP"
"GO:0035556","intracellular signal transduction","BP"
"GO:0038201","TOR complex","CC"
"GO:0038203","TORC2 signaling","BP"
"GO:0045793","positive regulation of cell size","BP"
"GO:0045893","positive regulation of DNA-templated transcription","BP"
"GO:0046626","regulation of insulin receptor signaling pathway","BP"
"GO:0046628","positive regulation of insulin receptor signaling pathway","BP"
"GO:0048518","positive regulation of biological process","BP"
"GO:0048522","positive regulation of cellular process","BP"
"GO:0048583","regulation of response to stimulus","BP"
"GO:0048584","positive regulation of response to stimulus","BP"
"GO:0050789","regulation of biological process","BP"
"GO:0050794","regulation of cellular process","BP"
"GO:0050896","response to stimulus","BP"
"GO:0051128","regulation of cellular component organization","BP"
"GO:0051252","regulation of RNA metabolic process","BP"
"GO:0051254","positive regulation of RNA metabolic process","BP"
"GO:0051493","regulation of cytoskeleton organization","BP"
"GO:0051716","cellular response to stimulus","BP"
"GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","BP"
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","BP"
"GO:0060255","regulation of macromolecule metabolic process","BP"
"GO:0061586","positive regulation of transcription by transcription factor localization","BP"
"GO:0065007","biological regulation","BP"
"GO:0065008","regulation of biological quality","BP"
"GO:0080090","regulation of primary metabolic process","BP"
"GO:0090066","regulation of anatomical structure size","BP"
"GO:1900076","regulation of cellular response to insulin stimulus","BP"
"GO:1900078","positive regulation of cellular response to insulin stimulus","BP"
"GO:1902531","regulation of intracellular signal transduction","BP"
"GO:1902533","positive regulation of intracellular signal transduction","BP"
"GO:1902680","positive regulation of RNA biosynthetic process","BP"
"GO:2001141","regulation of RNA biosynthetic process","BP"
"GO:0000902","cell morphogenesis","BP"
"GO:0001700","embryonic development via the syncytial blastoderm","BP"
"GO:0002009","morphogenesis of an epithelium","BP"
"GO:0002165","instar larval or pupal development","BP"
"GO:0003824","catalytic activity","MF"
"GO:0004497","monooxygenase activity","MF"
"GO:0006066","alcohol metabolic process","BP"
"GO:0006629","lipid metabolic process","BP"
"GO:0006694","steroid biosynthetic process","BP"
"GO:0006697","ecdysone biosynthetic process","BP"
"GO:0006935","chemotaxis","BP"
"GO:0007391","dorsal closure","BP"
"GO:0007399","nervous system development","BP"
"GO:0007409","axonogenesis","BP"
"GO:0007411","axon guidance","BP"
"GO:0007417","central nervous system development","BP"
"GO:0007494","midgut development","BP"
"GO:0008045","motor neuron axon guidance","BP"
"GO:0008152","metabolic process","BP"
"GO:0008202","steroid metabolic process","BP"
"GO:0008205","ecdysone metabolic process","BP"
"GO:0008258","head involution","BP"
"GO:0008395","steroid hydroxylase activity","MF"
"GO:0008610","lipid biosynthetic process","BP"
"GO:0009058","biosynthetic process","BP"
"GO:0009605","response to external stimulus","BP"
"GO:0009791","post-embryonic development","BP"
"GO:0009792","embryo development ending in birth or egg hatching","BP"
"GO:0009888","tissue development","BP"
"GO:0010817","regulation of hormone levels","BP"
"GO:0016125","sterol metabolic process","BP"
"GO:0016126","sterol biosynthetic process","BP"
"GO:0016331","morphogenesis of embryonic epithelium","BP"
"GO:0016491","oxidoreductase activity","MF"
"GO:0022008","neurogenesis","BP"
"GO:0030030","cell projection organization","BP"
"GO:0030182","neuron differentiation","BP"
"GO:0031175","neuron projection development","BP"
"GO:0035295","tube development","BP"
"GO:0040011","locomotion","BP"
"GO:0042180","ketone metabolic process","BP"
"GO:0042181","ketone biosynthetic process","BP"
"GO:0042221","response to chemical","BP"
"GO:0042330","taxis","BP"
"GO:0042445","hormone metabolic process","BP"
"GO:0042446","hormone biosynthetic process","BP"
"GO:0042768","ecdysteroid 2-hydroxylase activity","MF"
"GO:0044238","primary metabolic process","BP"
"GO:0044281","small molecule metabolic process","BP"
"GO:0044283","small molecule biosynthetic process","BP"
"GO:0045455","ecdysteroid metabolic process","BP"
"GO:0045456","ecdysteroid biosynthetic process","BP"
"GO:0046165","alcohol biosynthetic process","BP"
"GO:0048565","digestive tract development","BP"
