"set_id","gene_id"
"infection_diet33_up","LOC126266610"
"infection_diet33_up","LOC126266641"
"infection_diet33_up","LOC126266656"
"infection_diet33_up","LOC126266672"
"infection_diet33_up","LOC126266675"
"infection_diet33_up","LOC126266685"
"infection_diet33_up","LOC126266725"
"infection_diet33_up","LOC126266728"
"infection_diet33_up","LOC126266748"
"infection_diet33_up","LOC126266759"
"infection_diet33_up","LOC126266760"
"infection_diet33_up","LOC126266789"
"infection_diet33_up","LOC126266859"
"infection_diet33_up","LOC126266899"
"infection_diet33_up","LOC126266948"
"infection_diet33_up","LOC126266982"
"infection_diet33_up","LOC126267002"
"infection_diet33_up","LOC126267038"
"infection_diet33_up","LOC126267061"
"infection_diet33_up","LOC126267154"
"infection_diet33_up","LOC126267162"
"infection_diet33_up","LOC126267163"
"infection_diet33_up","LOC126267194"
"infection_diet33_up","LOC126267215"
"infection_diet33_up","LOC126267216"
"infection_diet33_up","LOC126267217"
"infection_diet33_up","LOC126267226"
"infection_diet33_up","LOC126267259"
"infection_diet33_up","LOC126267333"
"infection_diet33_up","LOC126267343"
"infection_diet33_up","LOC126267351"
"infection_diet33_up","LOC126267391"
"infection_diet33_up","LOC126267422"
"infection_diet33_up","LOC126267442"
"infection_diet33_up","LOC126267462"
"infection_diet33_up","LOC126267473"
"infection_diet33_up","LOC126267545"
"infection_diet33_up","LOC126267581"
"infection_diet33_up","LOC126267583"
"infection_diet33_up","LOC126267629"
"infection_diet33_up","LOC126267652"
"infection_diet33_up","LOC126267973"
"infection_diet33_up","LOC126267980"
"infection_diet33_up","LOC126268014"
"infection_diet33_up","LOC126268015"
"infection_diet33_up","LOC126268068"
"infection_diet33_up","LOC126268133"
"infection_diet33_up","LOC126268164"
"infection_diet33_up","LOC126268182"
"infection_diet33_up","LOC126268205"
"infection_diet33_up","LOC126268397"
"infection_diet33_up","LOC126269384"
"infection_diet33_up","LOC126269432"
"infection_diet33_up","LOC126270012"
"infection_diet33_up","LOC126271480"
"infection_diet33_up","LOC126271496"
"infection_diet33_up","LOC126271618"
"infection_diet33_up","LOC126271634"
"infection_diet33_up","LOC126271905"
"infection_diet33_up","LOC126271907"
"infection_diet33_up","LOC126271919"
"infection_diet33_up","LOC126271945"
"infection_diet33_up","LOC126271975"
"infection_diet33_up","LOC126272038"
"infection_diet33_up","LOC126272078"
"infection_diet33_up","LOC126272082"
"infection_diet33_up","LOC126272122"
"infection_diet33_up","LOC126272144"
"infection_diet33_up","LOC126272149"
"infection_diet33_up","LOC126272275"
"infection_diet33_up","LOC126272290"
"infection_diet33_up","LOC126272291"
"infection_diet33_up","LOC126272319"
"infection_diet33_up","LOC126272321"
"infection_diet33_up","LOC126272322"
"infection_diet33_up","LOC126272352"
"infection_diet33_up","LOC126272353"
"infection_diet33_up","LOC126272360"
"infection_diet33_up","LOC126272363"
"infection_diet33_up","LOC126272399"
"infection_diet33_up","LOC126272419"
"infection_diet33_up","LOC126272465"
"infection_diet33_up","LOC126272507"
"infection_diet33_up","LOC126272513"
"infection_diet33_up","LOC126272594"
"infection_diet33_up","LOC126272599"
"infection_diet33_up","LOC126272608"
"infection_diet33_up","LOC126272609"
"infection_diet33_up","LOC126272716"
"infection_diet33_up","LOC126272724"
"infection_diet33_up","LOC126272738"
"infection_diet33_up","LOC126272750"
"infection_diet33_up","LOC126272767"
"infection_diet33_up","LOC126272837"
"infection_diet33_up","LOC126272850"
"infection_diet33_up","LOC126272858"
"infection_diet33_up","LOC126272961"
"infection_diet33_up","LOC126272992"
"infection_diet33_up","LOC126273002"
"infection_diet33_up","LOC126273010"
"infection_diet33_up","LOC126273028"
"infection_diet33_up","LOC126273060"
"infection_diet33_up","LOC126273130"
"infection_diet33_up","LOC126273166"
"infection_diet33_up","LOC126273192"
"infection_diet33_up","LOC126273222"
"infection_diet33_up","LOC126273297"
"infection_diet33_up","LOC126273348"
"infection_diet33_up","LOC126273393"
"infection_diet33_up","LOC126273412"
"infection_diet33_up","LOC126273757"
"infection_diet33_up","LOC126275497"
"infection_diet33_up","LOC126275742"
"infection_diet33_up","LOC126276055"
"infection_diet33_up","LOC126277867"
"infection_diet33_up","LOC126277903"
"infection_diet33_up","LOC126277955"
"infection_diet33_up","LOC126277968"
"infection_diet33_up","LOC126277999"
"infection_diet33_up","LOC126278009"
"infection_diet33_up","LOC126278049"
"infection_diet33_up","LOC126278061"
"infection_diet33_up","LOC126278069"
"infection_diet33_up","LOC126278109"
"infection_diet33_up","LOC126278127"
"infection_diet33_up","LOC126278128"
"infection_diet33_up","LOC126278176"
"infection_diet33_up","LOC126278177"
"infection_diet33_up","LOC126278180"
"infection_diet33_up","LOC126278191"
"infection_diet33_up","LOC126278196"
"infection_diet33_up","LOC126278225"
"infection_diet33_up","LOC126278232"
"infection_diet33_up","LOC126278259"
"infection_diet33_up","LOC126278308"
"infection_diet33_up","LOC126278382"
"infection_diet33_up","LOC126278436"
"infection_diet33_up","LOC126278447"
"infection_diet33_up","LOC126278467"
"infection_diet33_up","LOC126278480"
"infection_diet33_up","LOC126278559"
"infection_diet33_up","LOC126278673"
"infection_diet33_up","LOC126278707"
"infection_diet33_up","LOC126278734"
"infection_diet33_up","LOC126278735"
"infection_diet33_up","LOC126278800"
"infection_diet33_up","LOC126278816"
"infection_diet33_up","LOC126278946"
"infection_diet33_up","LOC126278962"
"infection_diet33_up","LOC126278972"
"infection_diet33_up","LOC126279018"
"infection_diet33_up","LOC126279109"
"infection_diet33_up","LOC126279309"
"infection_diet33_up","LOC126279569"
"infection_diet33_up","LOC126279611"
"infection_diet33_up","LOC126280394"
"infection_diet33_up","LOC126280573"
"infection_diet33_up","LOC126280853"
"infection_diet33_up","LOC126280991"
"infection_diet33_up","LOC126281065"
"infection_diet33_up","LOC126281081"
"infection_diet33_up","LOC126281165"
"infection_diet33_up","LOC126281245"
"infection_diet33_up","LOC126281308"
"infection_diet33_up","LOC126281410"
"infection_diet33_up","LOC126281481"
"infection_diet33_up","LOC126281483"
"infection_diet33_up","LOC126281499"
"infection_diet33_up","LOC126281537"
"infection_diet33_up","LOC126281553"
"infection_diet33_up","LOC126281598"
"infection_diet33_up","LOC126281635"
"infection_diet33_up","LOC126281691"
"infection_diet33_up","LOC126281818"
"infection_diet33_up","LOC126281994"
"infection_diet33_up","LOC126282030"
"infection_diet33_up","LOC126282034"
"infection_diet33_up","LOC126282035"
"infection_diet33_up","LOC126282072"
"infection_diet33_up","LOC126282073"
"infection_diet33_up","LOC126282077"
"infection_diet33_up","LOC126282100"
"infection_diet33_up","LOC126282167"
"infection_diet33_up","LOC126282181"
"infection_diet33_up","LOC126282193"
"infection_diet33_up","LOC126282207"
"infection_diet33_up","LOC126282259"
"infection_diet33_up","LOC126282375"
"infection_diet33_up","LOC126282431"
"infection_diet33_up","LOC126282434"
"infection_diet33_up","LOC126282517"
"infection_diet33_up","LOC126282528"
"infection_diet33_up","LOC126282679"
"infection_diet33_up","LOC126282995"
"infection_diet33_up","LOC126283383"
"infection_diet33_up","LOC126283409"
"infection_diet33_up","LOC126283972"
"infection_diet33_up","LOC126283976"
"infection_diet33_up","LOC126283989"
"infection_diet33_up","LOC126284033"
"infection_diet33_up","LOC126284041"
"infection_diet33_up","LOC126284043"
"infection_diet33_up","LOC126284216"
"infection_diet33_up","LOC126284305"
"infection_diet33_up","LOC126284371"
"infection_diet33_up","LOC126284462"
"infection_diet33_up","LOC126284500"
"infection_diet33_up","LOC126284548"
"infection_diet33_up","LOC126284639"
"infection_diet33_up","LOC126284640"
"infection_diet33_up","LOC126284649"
"infection_diet33_up","LOC126284651"
"infection_diet33_up","LOC126284747"
"infection_diet33_up","LOC126284768"
"infection_diet33_up","LOC126284801"
"infection_diet33_up","LOC126284817"
"infection_diet33_up","LOC126284857"
"infection_diet33_up","LOC126284863"
"infection_diet33_up","LOC126284880"
"infection_diet33_up","LOC126284901"
"infection_diet33_up","LOC126284902"
"infection_diet33_up","LOC126284941"
"infection_diet33_up","LOC126284942"
"infection_diet33_up","LOC126285239"
"infection_diet33_up","LOC126285286"
"infection_diet33_up","LOC126285411"
"infection_diet33_up","LOC126285413"
"infection_diet33_up","LOC126285457"
"infection_diet33_up","LOC126285462"
"infection_diet33_up","LOC126291516"
"infection_diet33_up","LOC126291582"
"infection_diet33_up","LOC126291645"
"infection_diet33_up","LOC126291885"
"infection_diet33_up","LOC126291886"
"infection_diet33_up","LOC126291948"
"infection_diet33_up","LOC126292011"
"infection_diet33_up","LOC126292039"
"infection_diet33_up","LOC126292043"
"infection_diet33_up","LOC126292044"
"infection_diet33_up","LOC126292045"
"infection_diet33_up","LOC126292051"
"infection_diet33_up","LOC126292108"
"infection_diet33_up","LOC126292134"
"infection_diet33_up","LOC126292201"
"infection_diet33_up","LOC126292206"
"infection_diet33_up","LOC126292237"
"infection_diet33_up","LOC126292248"
"infection_diet33_up","LOC126293178"
"infection_diet33_up","LOC126293180"
"infection_diet33_up","LOC126293181"
"infection_diet33_up","LOC126293188"
"infection_diet33_up","LOC126293270"
"infection_diet33_up","LOC126293287"
"infection_diet33_up","LOC126293297"
"infection_diet33_up","LOC126293387"
"infection_diet33_up","LOC126293467"
"infection_diet33_up","LOC126293478"
"infection_diet33_up","LOC126293502"
"infection_diet33_up","LOC126293526"
"infection_diet33_up","LOC126293557"
"infection_diet33_up","LOC126293577"
"infection_diet33_up","LOC126293578"
"infection_diet33_up","LOC126293579"
"infection_diet33_up","LOC126293587"
"infection_diet33_up","LOC126293666"
"infection_diet33_up","LOC126293672"
"infection_diet33_up","LOC126293732"
"infection_diet33_up","LOC126294948"
"infection_diet33_up","LOC126294949"
"infection_diet33_up","LOC126294950"
"infection_diet33_up","LOC126294955"
"infection_diet33_up","LOC126294995"
"infection_diet33_up","LOC126295040"
"infection_diet33_up","LOC126295041"
"infection_diet33_up","LOC126295063"
"infection_diet33_up","LOC126295065"
"infection_diet33_up","LOC126295163"
"infection_diet33_up","LOC126295425"
"infection_diet33_up","LOC126295468"
"infection_diet33_up","LOC126295494"
"infection_diet33_up","LOC126297421"
"infection_diet33_up","LOC126297487"
