"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","pathway_theme","pathway_scope","family","comparison","direction","plot_label","n_genes","source_file","neg_log10_padj"
"ko02010","ABC transporters","8/143","41/3900",0.195121951219512,5.32150776053215,5.42642587733022,9.19441789219641e-05,0.0255117598773778,0.0255117598773778,"LOC126354017/LOC126281499/LOC126335166/LOC126357744/LOC126278946/LOC126354018/LOC126335579/LOC126278191",8,"infection_diet33_up","KEGG_pathway","Transport and environmental response","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",552,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.59325958142661
"ko04624","Toll and Imd signaling pathway","9/143","56/3900",0.160714285714286,4.38311688311688,4.97443047413397,0.000161979427792875,0.0255117598773778,0.0255117598773778,"LOC126298648/LOC126293579/LOC126282030/LOC126267545/LOC126266641/LOC126267442/LOC126293578/LOC126282207/LOC126336325",9,"infection_diet33_up","KEGG_pathway","Immune and stress signaling","Eukaryote/metazoan-compatible","Infected within diet","Diet 33 infected vs control","Upregulated","Diet 33",552,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.59325958142661
"ko00040","Pentose and glucuronate interconversions","9/124","64/3900",0.140625,4.42288306451613,5.00281240153459,0.000156090322551532,0.0259469236239194,0.0259469236239194,"LOC126283960/LOC126272831/LOC126281562/LOC126266657/LOC126281694/LOC126336625/LOC126283957/LOC126291591/LOC126341237",9,"infection_diet33_down","KEGG_pathway","Carbohydrate and energy metabolism","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",464,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.58591412653834
"ko01110","Biosynthesis of secondary metabolites","23/124","324/3900",0.0709876543209877,2.23267622461171,4.19850076795744,0.000164742372215361,0.0259469236239194,0.0259469236239194,"LOC126284898/LOC126268218/LOC126284686/LOC126268198/LOC126325353/LOC126278697/LOC126272831/LOC126272584/LOC126281562/LOC126278485/LOC126284002/LOC126297494/LOC126299546/LOC126336251/LOC126333363/LOC126299364/LOC126281532/LOC126336625/LOC126284812/LOC126293737/LOC126281958/LOC126341237/LOC126335505",23,"infection_diet33_down","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",464,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.58591412653834
"ko01130","Biosynthesis of antibiotics","16/124","192/3900",0.0833333333333333,2.62096774193548,4.17375152972328,0.000312584341685802,0.0307283591360528,0.0307283591360528,"LOC126284898/LOC126268218/LOC126325353/LOC126293368/LOC126278697/LOC126278485/LOC126297494/LOC126336251/LOC126333363/LOC126299364/LOC126281532/LOC126284812/LOC126291591/LOC126293737/LOC126281958/LOC126335505",16,"infection_diet33_down","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",464,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.51246063001971
"ko00790","Folate biosynthesis","6/124","32/3900",0.1875,5.89717741935484,5.04021499570603,0.00042061959612211,0.0307283591360528,0.0307283591360528,"LOC126283960/LOC126285375/LOC126283957/LOC126284296/LOC126331446/LOC126298944",6,"infection_diet33_down","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",464,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.51246063001971
"ko00670","One carbon pool by folate","4/124","13/3900",0.307692307692308,9.67741935483871,5.67840624154385,0.00055719576212442,0.0307283591360528,0.0307283591360528,"LOC126267222/LOC126325353/LOC126355148/LOC126293737",4,"infection_diet33_down","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",464,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.51246063001971
"ko00480","Glutathione metabolism","9/124","76/3900",0.118421052631579,3.72453310696095,4.34621705085163,0.000585302078781958,0.0307283591360528,0.0307283591360528,"LOC126354588/LOC126282396/LOC126284198/LOC126278697/LOC126278485/LOC126297494/LOC126336692/LOC126336695/LOC126335505",9,"infection_diet33_down","KEGG_pathway","Detoxification and secondary metabolism","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",464,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.51246063001971
"ko00030","Pentose phosphate pathway","5/124","27/3900",0.185185185185185,5.82437275985663,4.55795945433511,0.0013789153551131,0.0556725958340832,0.0556725958340832,"LOC126284898/LOC126297494/LOC126281532/LOC126284812/LOC126281958",5,"infection_diet33_down","KEGG_pathway","Carbohydrate and energy metabolism","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",464,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.25435852846609
"ko01200","Carbon metabolism","10/124","103/3900",0.0970873786407767,3.05355465079862,3.82715495364176,0.00141390719578624,0.0556725958340832,0.0556725958340832,"LOC126284898/LOC126336866/LOC126325353/LOC126293368/LOC126297494/LOC126336251/LOC126281532/LOC126281958/LOC126335505/LOC126335256",10,"infection_diet33_down","KEGG_pathway","Carbohydrate and energy metabolism","Broad KEGG reference map","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",464,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.25435852846609
"ko00051","Fructose and mannose metabolism","5/124","29/3900",0.172413793103448,5.42269187986652,4.33157226874501,0.00192774527842253,0.0628413769029761,0.0628413769029761,"LOC126284898/LOC126283960/LOC126355949/LOC126283957/LOC126281958",5,"infection_diet33_down","KEGG_pathway","Carbohydrate and energy metabolism","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",464,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.20175430780117
"ko00980","Metabolism of xenobiotics by cytochrome P450","9/124","90/3900",0.1,3.14516129032258,3.73069878503749,0.00199496434612623,0.0628413769029761,0.0628413769029761,"LOC126282396/LOC126272831/LOC126281562/LOC126336692/LOC126281694/LOC126336625/LOC126293679/LOC126336695/LOC126341237",9,"infection_diet33_down","KEGG_pathway","Detoxification and secondary metabolism","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",464,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.20175430780117
"ko00680","Methane metabolism","4/124","20/3900",0.2,6.29032258064516,4.29786486977303,0.00317656551859786,0.0909652853053024,0.0909652853053024,"LOC126284898/LOC126325353/LOC126293368/LOC126281958",4,"infection_diet33_down","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain","Infected within diet","Diet 33 infected vs control","Downregulated","Diet 33",464,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.04112431401686
"ko04080","Neuroactive ligand-receptor interaction","24/285","98/3900",0.244897959183673,3.35123523093448,6.61832300524017,6.8164566252079e-08,2.14718383694049e-05,2.14718383694049e-05,"LOC126335869/LOC126282477/LOC126355437/LOC126267861/LOC126354348/LOC126278518/LOC126298972/LOC126336238/LOC126277867/LOC126298404/LOC126299510/LOC126284371/LOC126355816/LOC126366011/LOC126354398/LOC126299097/LOC126298918/LOC126329331/LOC126299360/LOC126353956/LOC126355582/LOC126278537/LOC126311851/LOC126267153",24,"infection_diet50_up","KEGG_pathway","Immune and stress signaling","Eukaryote/metazoan-compatible","Infected within diet","Diet 50 infected vs control","Upregulated","Diet 50",1263,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",4.66813077067745
"ko04624","Toll and Imd signaling pathway","13/285","56/3900",0.232142857142857,3.17669172932331,4.60621439146425,0.000139163873929782,0.0219183101439407,0.0219183101439407,"LOC126298648/LOC126355748/LOC126281204/LOC126282030/LOC126293578/LOC126267545/LOC126266641/LOC126267442/LOC126282207/LOC126336325/LOC126355037/LOC126293579/LOC126355041",13,"infection_diet50_up","KEGG_pathway","Immune and stress signaling","Eukaryote/metazoan-compatible","Infected within diet","Diet 50 infected vs control","Upregulated","Diet 50",1263,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.65919293209697
"ko04341","Hedgehog signaling pathway - fly","14/285","67/3900",0.208955223880597,2.85938727415554,4.31005431140781,0.000256300229024266,0.0269115240475479,0.0269115240475479,"LOC126291991/LOC126295040/LOC126278128/LOC126292145/LOC126278442/LOC126294955/LOC126294949/LOC126295425/LOC126284645/LOC126297744/LOC126294945/LOC126297745/LOC126295191/LOC126281663",14,"infection_diet50_up","KEGG_pathway","Cellular process","Eukaryote/metazoan-compatible","Infected within diet","Diet 50 infected vs control","Upregulated","Diet 50",1263,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.57006170666962
"ko04020","Calcium signaling pathway","14/285","71/3900",0.197183098591549,2.69829503335804,4.0545674307656,0.000482804332078533,0.0338224222447704,0.0338224222447704,"LOC126298972/LOC126336238/LOC126336038/LOC126339265/LOC126353858/LOC126284371/LOC126284350/LOC126298918/LOC126292260/LOC126353956/LOC126268133/LOC126279309/LOC126335781/LOC126284222",14,"infection_diet50_up","KEGG_pathway","Immune and stress signaling","Eukaryote/metazoan-compatible","Infected within diet","Diet 50 infected vs control","Upregulated","Diet 50",1263,"/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",1.47079529295745
