"comparison_type","comparison","signed_direction","expression_cluster","n_genes","total_DEGs","proportion"
"Diet contrasts among control","Control 33 vs 50","Downregulated","DEG cluster 1",0,5,0
"Diet contrasts among control","Control 33 vs 50","Downregulated","DEG cluster 2",0,5,0
"Diet contrasts among control","Control 33 vs 50","Downregulated","DEG cluster 3+4",5,5,1
"Diet contrasts among control","Control 33 vs 50","Upregulated","DEG cluster 1",0,10,0
"Diet contrasts among control","Control 33 vs 50","Upregulated","DEG cluster 2",1,10,0.1
"Diet contrasts among control","Control 33 vs 50","Upregulated","DEG cluster 3+4",9,10,0.9
"Diet contrasts among control","Control 83 vs 33","Downregulated","DEG cluster 1",11,26,0.423076923076923
"Diet contrasts among control","Control 83 vs 33","Downregulated","DEG cluster 2",2,26,0.0769230769230769
"Diet contrasts among control","Control 83 vs 33","Downregulated","DEG cluster 3+4",13,26,0.5
"Diet contrasts among control","Control 83 vs 33","Upregulated","DEG cluster 1",6,34,0.176470588235294
"Diet contrasts among control","Control 83 vs 33","Upregulated","DEG cluster 2",7,34,0.205882352941176
"Diet contrasts among control","Control 83 vs 33","Upregulated","DEG cluster 3+4",21,34,0.61764705882353
"Diet contrasts among control","Control 83 vs 50","Downregulated","DEG cluster 1",0,35,0
"Diet contrasts among control","Control 83 vs 50","Downregulated","DEG cluster 2",1,35,0.0285714285714286
"Diet contrasts among control","Control 83 vs 50","Downregulated","DEG cluster 3+4",34,35,0.971428571428571
"Diet contrasts among control","Control 83 vs 50","Upregulated","DEG cluster 1",1,24,0.0416666666666667
"Diet contrasts among control","Control 83 vs 50","Upregulated","DEG cluster 2",8,24,0.333333333333333
"Diet contrasts among control","Control 83 vs 50","Upregulated","DEG cluster 3+4",15,24,0.625
"Diet contrasts among infected","Infected 33 vs 50","Downregulated","DEG cluster 1",2,290,0.00689655172413793
"Diet contrasts among infected","Infected 33 vs 50","Downregulated","DEG cluster 2",33,290,0.113793103448276
"Diet contrasts among infected","Infected 33 vs 50","Downregulated","DEG cluster 3+4",255,290,0.879310344827586
"Diet contrasts among infected","Infected 33 vs 50","Upregulated","DEG cluster 1",1,13,0.0769230769230769
"Diet contrasts among infected","Infected 33 vs 50","Upregulated","DEG cluster 2",5,13,0.384615384615385
"Diet contrasts among infected","Infected 33 vs 50","Upregulated","DEG cluster 3+4",7,13,0.538461538461538
"Diet contrasts among infected","Infected 83 vs 33","Downregulated","DEG cluster 1",5,23,0.217391304347826
"Diet contrasts among infected","Infected 83 vs 33","Downregulated","DEG cluster 2",11,23,0.478260869565217
"Diet contrasts among infected","Infected 83 vs 33","Downregulated","DEG cluster 3+4",7,23,0.304347826086957
"Diet contrasts among infected","Infected 83 vs 33","Upregulated","DEG cluster 1",5,63,0.0793650793650794
"Diet contrasts among infected","Infected 83 vs 33","Upregulated","DEG cluster 2",13,63,0.206349206349206
"Diet contrasts among infected","Infected 83 vs 33","Upregulated","DEG cluster 3+4",45,63,0.714285714285714
"Diet contrasts among infected","Infected 83 vs 50","Downregulated","DEG cluster 1",2,14,0.142857142857143
"Diet contrasts among infected","Infected 83 vs 50","Downregulated","DEG cluster 2",6,14,0.428571428571429
"Diet contrasts among infected","Infected 83 vs 50","Downregulated","DEG cluster 3+4",6,14,0.428571428571429
"Diet contrasts among infected","Infected 83 vs 50","Upregulated","DEG cluster 1",9,45,0.2
"Diet contrasts among infected","Infected 83 vs 50","Upregulated","DEG cluster 2",3,45,0.0666666666666667
"Diet contrasts among infected","Infected 83 vs 50","Upregulated","DEG cluster 3+4",33,45,0.733333333333333
"Infection within diet","Diet 33: infected vs control","Downregulated","DEG cluster 1",411,464,0.885775862068966
"Infection within diet","Diet 33: infected vs control","Downregulated","DEG cluster 2",0,464,0
"Infection within diet","Diet 33: infected vs control","Downregulated","DEG cluster 3+4",53,464,0.114224137931034
"Infection within diet","Diet 33: infected vs control","Upregulated","DEG cluster 1",0,552,0
"Infection within diet","Diet 33: infected vs control","Upregulated","DEG cluster 2",471,552,0.853260869565217
"Infection within diet","Diet 33: infected vs control","Upregulated","DEG cluster 3+4",81,552,0.146739130434783
"Infection within diet","Diet 50: infected vs control","Downregulated","DEG cluster 1",656,746,0.879356568364611
"Infection within diet","Diet 50: infected vs control","Downregulated","DEG cluster 2",0,746,0
"Infection within diet","Diet 50: infected vs control","Downregulated","DEG cluster 3+4",90,746,0.120643431635389
"Infection within diet","Diet 50: infected vs control","Upregulated","DEG cluster 1",0,1263,0
"Infection within diet","Diet 50: infected vs control","Upregulated","DEG cluster 2",776,1263,0.614410134600158
"Infection within diet","Diet 50: infected vs control","Upregulated","DEG cluster 3+4",487,1263,0.385589865399842
"Infection within diet","Diet 83: infected vs control","Downregulated","DEG cluster 1",357,372,0.959677419354839
"Infection within diet","Diet 83: infected vs control","Downregulated","DEG cluster 2",2,372,0.00537634408602151
"Infection within diet","Diet 83: infected vs control","Downregulated","DEG cluster 3+4",13,372,0.0349462365591398
"Infection within diet","Diet 83: infected vs control","Upregulated","DEG cluster 1",1,658,0.00151975683890578
"Infection within diet","Diet 83: infected vs control","Upregulated","DEG cluster 2",496,658,0.753799392097264
"Infection within diet","Diet 83: infected vs control","Upregulated","DEG cluster 3+4",161,658,0.24468085106383
"Overall infection","Average infected vs control","Downregulated","DEG cluster 1",740,798,0.927318295739348
"Overall infection","Average infected vs control","Downregulated","DEG cluster 2",0,798,0
"Overall infection","Average infected vs control","Downregulated","DEG cluster 3+4",58,798,0.0726817042606516
"Overall infection","Average infected vs control","Upregulated","DEG cluster 1",0,893,0
"Overall infection","Average infected vs control","Upregulated","DEG cluster 2",692,893,0.77491601343785
"Overall infection","Average infected vs control","Upregulated","DEG cluster 3+4",201,893,0.22508398656215
"Diet by infection interaction","Infection response: 83 vs 33","Downregulated","DEG cluster 1",0,3,0
"Diet by infection interaction","Infection response: 83 vs 33","Downregulated","DEG cluster 2",3,3,1
"Diet by infection interaction","Infection response: 83 vs 33","Downregulated","DEG cluster 3+4",0,3,0
"Diet by infection interaction","Infection response: 83 vs 33","Upregulated","DEG cluster 1",0,8,0
"Diet by infection interaction","Infection response: 83 vs 33","Upregulated","DEG cluster 2",1,8,0.125
"Diet by infection interaction","Infection response: 83 vs 33","Upregulated","DEG cluster 3+4",7,8,0.875
"Diet by infection interaction","Infection response: 83 vs 50","Downregulated","DEG cluster 1",2,32,0.0625
"Diet by infection interaction","Infection response: 83 vs 50","Downregulated","DEG cluster 2",2,32,0.0625
"Diet by infection interaction","Infection response: 83 vs 50","Downregulated","DEG cluster 3+4",28,32,0.875
"Diet by infection interaction","Infection response: 83 vs 50","Upregulated","DEG cluster 1",2,26,0.0769230769230769
"Diet by infection interaction","Infection response: 83 vs 50","Upregulated","DEG cluster 2",1,26,0.0384615384615385
"Diet by infection interaction","Infection response: 83 vs 50","Upregulated","DEG cluster 3+4",23,26,0.884615384615385
