"comparison_type","comparison","signed_direction","n_DEGs"
"Diet by infection interaction","Infection response: 83 vs 33","Downregulated",3
"Diet by infection interaction","Infection response: 83 vs 33","Upregulated",8
"Diet by infection interaction","Infection response: 83 vs 50","Downregulated",32
"Diet by infection interaction","Infection response: 83 vs 50","Upregulated",26
"Diet contrasts among control","Control 33 vs 50","Downregulated",5
"Diet contrasts among control","Control 33 vs 50","Upregulated",10
"Diet contrasts among control","Control 83 vs 33","Downregulated",26
"Diet contrasts among control","Control 83 vs 33","Upregulated",34
"Diet contrasts among control","Control 83 vs 50","Downregulated",35
"Diet contrasts among control","Control 83 vs 50","Upregulated",24
"Diet contrasts among infected","Infected 33 vs 50","Downregulated",290
"Diet contrasts among infected","Infected 33 vs 50","Upregulated",13
"Diet contrasts among infected","Infected 83 vs 33","Downregulated",23
"Diet contrasts among infected","Infected 83 vs 33","Upregulated",63
"Diet contrasts among infected","Infected 83 vs 50","Downregulated",14
"Diet contrasts among infected","Infected 83 vs 50","Upregulated",45
"Infection within diet","Diet 33: infected vs control","Downregulated",464
"Infection within diet","Diet 33: infected vs control","Upregulated",552
"Infection within diet","Diet 50: infected vs control","Downregulated",746
"Infection within diet","Diet 50: infected vs control","Upregulated",1263
"Infection within diet","Diet 83: infected vs control","Downregulated",372
"Infection within diet","Diet 83: infected vs control","Upregulated",658
"Overall infection","Average infected vs control","Downregulated",798
"Overall infection","Average infected vs control","Upregulated",893
