"coefficient","direction","n_significant_genes"
"Diet_33_vs_50","Positive coefficient",10
"Diet_83_vs_50","Positive coefficient",24
"Treatment_Infected_vs_Control","Positive coefficient",1263
"Diet33.TreatmentInfected","Positive coefficient",0
"Diet83.TreatmentInfected","Positive coefficient",26
"Diet_33_vs_50","Negative coefficient",5
"Diet_83_vs_50","Negative coefficient",35
"Treatment_Infected_vs_Control","Negative coefficient",746
"Diet33.TreatmentInfected","Negative coefficient",0
"Diet83.TreatmentInfected","Negative coefficient",32
