"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","pathway_theme","pathway_scope"
"ko01100","Metabolic pathways","101/275","962/3900",0.104989604989605,1.48894348894349,4.8118188210996,2.54346604887942e-06,0.00070586988383427,0.00070586988383427,"LOC126284686/LOC126291591/LOC126298882/LOC126356100/LOC126354110/LOC126293404/LOC126299078/LOC126297442/LOC126281556/LOC126335505/LOC126285375/LOC126284296/LOC126354225/LOC126297511/LOC126284898/LOC126354818/LOC126299364/LOC126268218/LOC126268126/LOC126355885/LOC126331446/LOC126335481/LOC126266596/LOC126267081/LOC126323251/LOC126365941/LOC126279052/LOC126335359/LOC126336244/LOC126297427/LOC126351672/LOC126298221/LOC126354588/LOC126336695/LOC126350022/LOC126281958/LOC126271923/LOC126335258/LOC126278249/LOC126336122/LOC126293368/LOC126272926/LOC126284573/LOC126341237/LOC126272256/LOC126322655/LOC126281954/LOC126272931/LOC126336625/LOC126297701/LOC126281532/LOC126297494/LOC126281399/LOC126357545/LOC126336316/LOC126293737/LOC126336773/LOC126272560/LOC126355818/LOC126334891/LOC126272831/LOC126281562/LOC126354574/LOC126278485/LOC126284756/LOC126278697/LOC126335256/LOC126356371/LOC126284198/LOC126334905/LOC126335182/LOC126272715/LOC126295125/LOC126281446/LOC126272567/LOC126298944/LOC126323656/LOC126325353/LOC126292317/LOC126336866/LOC126334561/LOC126283960/LOC126283957/LOC126272393/LOC126355148/LOC126284812/LOC126281506/LOC126281672/LOC126336714/LOC126336251/LOC126333363/LOC126267222/LOC126359832/LOC126267788/LOC126285378/LOC126272584/LOC126281492/LOC126266657/LOC126345263/LOC126336692/LOC126299365",101,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Broad metabolic map","Broad KEGG reference map"
"ko04110","Cell cycle","19/275","89/3900",0.213483146067416,3.02757916241062,5.32895812160773,8.7769777265254e-06,0.00070586988383427,0.00070586988383427,"LOC126272743/LOC126272438/LOC126282371/LOC126354268/LOC126354850/LOC126272470/LOC126334974/LOC126268148/LOC126335501/LOC126326589/LOC126284310/LOC126281636/LOC126284030/LOC126336750/LOC126284276/LOC126279120/LOC126293483/LOC126272178/LOC126355755",19,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Cellular process","Eukaryote/metazoan-compatible"
"ko00670","One carbon pool by folate","7/275","13/3900",0.538461538461538,7.63636363636364,6.60060189664022,9.54452031053595e-06,0.00070586988383427,0.00070586988383427,"LOC126293404/LOC126297511/LOC126323251/LOC126293737/LOC126325353/LOC126355148/LOC126267222",7,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Other KEGG pathway","Core metabolism or cross-domain"
"ko01110","Biosynthesis of secondary metabolites","44/275","324/3900",0.135802469135802,1.92592592592593,4.79334792746771,9.77844573175726e-06,0.00070586988383427,0.00070586988383427,"LOC126284686/LOC126356100/LOC126293404/LOC126335505/LOC126284898/LOC126299364/LOC126268218/LOC126268126/LOC126323251/LOC126365941/LOC126336244/LOC126298221/LOC126350022/LOC126281958/LOC126272926/LOC126341237/LOC126272256/LOC126281954/LOC126336625/LOC126284002/LOC126281532/LOC126297494/LOC126293737/LOC126299546/LOC126336773/LOC126272560/LOC126334891/LOC126272831/LOC126281562/LOC126278485/LOC126284756/LOC126278697/LOC126335182/LOC126281446/LOC126298865/LOC126325353/LOC126284812/LOC126336251/LOC126333363/LOC126267788/LOC126285378/LOC126272584/LOC126345263/LOC126299365",44,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Detoxification and secondary metabolism","Broad KEGG reference map"
"ko01120","Microbial metabolism in diverse environments","26/275","149/3900",0.174496644295302,2.47467968273337,5.05482655126224,1.02299983164387e-05,0.00070586988383427,0.00070586988383427,"LOC126335505/LOC126284898/LOC126268126/LOC126355885/LOC126323251/LOC126365941/LOC126266828/LOC126336244/LOC126350022/LOC126281958/LOC126336122/LOC126293368/LOC126272256/LOC126281954/LOC126281532/LOC126297494/LOC126334891/LOC126354574/LOC126272715/LOC126281446/LOC126355949/LOC126325353/LOC126336866/LOC126336251/LOC126266827/LOC126272888",26,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Detoxification and secondary metabolism","Broad KEGG reference map"
"ko01130","Biosynthesis of antibiotics","30/275","192/3900",0.15625,2.21590909090909,4.7585081361124,2.05168850537941e-05,0.00117972089059316,0.00117972089059316,"LOC126291591/LOC126293404/LOC126299078/LOC126335505/LOC126284898/LOC126299364/LOC126268218/LOC126365941/LOC126336244/LOC126298221/LOC126350022/LOC126281958/LOC126293368/LOC126272256/LOC126281954/LOC126281532/LOC126297494/LOC126293737/LOC126354574/LOC126278485/LOC126284756/LOC126278697/LOC126281446/LOC126298865/LOC126325353/LOC126284812/LOC126281672/LOC126336251/LOC126333363/LOC126299365",30,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Detoxification and secondary metabolism","Broad KEGG reference map"
"ko00982","Drug metabolism - cytochrome P450","17/275","85/3900",0.2,2.83636363636364,4.71421988098853,6.41338413035721e-05,0.00316088217853319,0.00316088217853319,"LOC126331335/LOC126282396/LOC126266828/LOC126336695/LOC126272926/LOC126341237/LOC126336888/LOC126281954/LOC126336625/LOC126336713/LOC126272560/LOC126272831/LOC126281562/LOC126267788/LOC126266827/LOC126336692/LOC126272888",17,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00040","Pentose and glucuronate interconversions","14/275","64/3900",0.21875,3.10227272727273,4.67012712976714,0.000104144686468077,0.00449123960393582,0.00449123960393582,"LOC126291591/LOC126281694/LOC126272926/LOC126341237/LOC126336625/LOC126281399/LOC126357545/LOC126272560/LOC126272831/LOC126281562/LOC126283960/LOC126283957/LOC126267788/LOC126266657",14,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00980","Metabolism of xenobiotics by cytochrome P450","17/275","90/3900",0.188888888888889,2.67878787878788,4.43755297639014,0.000135809406204038,0.0051754054866655,0.0051754054866655,"LOC126331335/LOC126281694/LOC126282396/LOC126343702/LOC126336695/LOC126272926/LOC126341237/LOC126336888/LOC126281954/LOC126336625/LOC126343748/LOC126336713/LOC126272560/LOC126272831/LOC126281562/LOC126267788/LOC126336692",17,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00981","Insect hormone biosynthesis","8/275","24/3900",0.333333333333333,4.72727272727273,5.04421822910393,0.000150011753236681,0.0051754054866655,0.0051754054866655,"LOC126335148/LOC126268026/LOC126343702/LOC126299150/LOC126320178/LOC126343748/LOC126305900/LOC126281446",8,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain"
