"heatmap_row_order","gene_id","GFF_Description","gene_biotype","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
1,"LOC126267253","endoplasmic reticulum chaperone BiP-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.60565556482405,0.0027879248024667,2.01790683643873,"1006","Higher than gene mean"
2,"LOC126272567","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.22328760318891,0.029048000452434,2.19008978136573,"1027","Higher than gene mean"
3,"LOC126334751","uncharacterized LOC126334751","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.52644447182492,0.00216183887753808,2.19832221602185,"1021","Higher than gene mean"
4,"LOC126355919","uncharacterized LOC126355919","lncRNA","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",3.36971914751822,0.0120340773456884,2.85570220421172,"1007","Higher than gene mean"
5,"LOC126334706","sodium-dependent nutrient amino acid transporter 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.36651136155922,0.0437654257436386,2.48375664595165,"1002","Higher than gene mean"
6,"LOC126285032","uncharacterized LOC126285032","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.32441391622021,0.0425948596042985,2.44114931318436,"1002","Higher than gene mean"
7,"LOC126354448","uncharacterized LOC126354448","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.83776660223079,0.00149654139136232,3.18924817303455,"1007","Higher than gene mean"
8,"LOC126291956","cuticle protein 6.4-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",3.87151463104306,0.00464001909509211,2.52645486152737,"1033","Higher than gene mean"
9,"LOC126284457","endocuticle structural glycoprotein SgAbd-9","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.7443399022814,0.0021978366783329,2.53833044367729,"1011","Higher than gene mean"
10,"LOC126284147","uncharacterized LOC126284147","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.36784807754847,0.00950371861550754,3.14062833520404,"1011","Higher than gene mean"
11,"LOC126334802","cuticle protein 19.8-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.70696755173202,0.0389991559497407,2.64855895913856,"1007","Higher than gene mean"
12,"LOC126324229","uncharacterized LOC126324229","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.71925292994506,0.0133964206507756,2.89970399786786,"1016","Lower than gene mean"
13,"LOC126334857","probable multidrug resistance-associated protein lethal(2)03659","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_diet50; interaction_diet83_vs50","Control diet 50; Infection response diet 83",2.31716223687665,0.00301128174756969,2.65400278160277,"1007","Higher than gene mean"
14,"LOC126291743","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.78933409764354,0.000156654321251944,2.82085125093903,"1036","Higher than gene mean"
15,"LOC126335593","uncharacterized LOC126335593","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.41315616349018,1.71108912205556e-06,2.32441389558487,"1002","Higher than gene mean"
16,"LOC126284556","uncharacterized LOC126284556","lncRNA","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.68660451046242,7.07758041373263e-08,2.80570765896351,"1057","Lower than gene mean"
17,"LOC126278678","headcase protein-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.20167121346506,2.19676988283311e-07,2.59984166627876,"1057","Lower than gene mean"
18,"LOC126322885","uncharacterized LOC126322885","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.56077196754546,2.9359270267245e-09,1.82907490401193,"1054","Lower than gene mean"
19,"LOC126283961","aquaporin AQPAn.G-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.52580733523376,1.18307832758073e-05,2.42127055007462,"1058","Lower than gene mean"
20,"LOC126356215","cholinesterase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.11779811240593,2.62463957964031e-09,2.05750969108425,"1057","Lower than gene mean"
21,"LOC126281562","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.67639811977324,1.2901651155649e-11,2.60363631007609,"1023","Lower than gene mean"
22,"LOC126282155","uncharacterized LOC126282155","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.08043414201676,0.000229170001923611,2.03654311466152,"1023","Lower than gene mean"
23,"LOC126297494","glucose-6-phosphate 1-dehydrogenase","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.37221322080482,1.46727259494981e-12,1.73235629177823,"1050","Lower than gene mean"
24,"LOC126335256","probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.40360109828935,2.82064564088596e-16,1.76072146640584,"1023","Lower than gene mean"
25,"LOC126327822","larval cuticle protein LCP-22-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",3.10185250089755,8.02305701354522e-06,2.48618385383611,"1002","Higher than gene mean"
26,"LOC126336858","protein atonal","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",3.2021584806435,1.13760930438681e-05,2.30952717049254,"1002","Higher than gene mean"
27,"LOC126272046","thrombospondin type-1 domain-containing protein 4","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.37074730941769,8.51996893450314e-09,2.17797311135615,"1002","Higher than gene mean"
