"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","expression_cluster","n_cluster_genes","ontology"
"GO:0007049","cell cycle","38/334","44/885",0.863636363636364,2.2883777898748,6.82173958194803,1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,"LOC126284276/LOC126282371/LOC126267997/LOC126354268/LOC126278524/LOC126278346/LOC126355755/LOC126320492/LOC126334768/LOC126272375/LOC126334614/LOC126335346/LOC126267081/LOC126266746/LOC126267242/LOC126272312/LOC126272178/LOC126342297/LOC126266832/LOC126272743/LOC126284310/LOC126273149/LOC126335481/LOC126284632/LOC126337018/LOC126354218/LOC126291792/LOC126335501/LOC126347975/LOC126336858/LOC126284413/LOC126272470/LOC126284006/LOC126284030/LOC126279120/LOC126334907/LOC126354501/LOC126326589",38,"GO","All fat body DEGs in heatmap",334,885,"DEG cluster 1",1086,"Biological process"
"GO:0000278","mitotic cell cycle","34/334","39/885",0.871794871794872,2.30999539382773,6.51089148390693,9.62304444665984e-11,2.83719427102354e-08,2.83719427102354e-08,"LOC126284276/LOC126282371/LOC126267997/LOC126354268/LOC126278524/LOC126278346/LOC126355755/LOC126334768/LOC126334614/LOC126335346/LOC126267081/LOC126266746/LOC126267242/LOC126272312/LOC126272178/LOC126342297/LOC126266832/LOC126272743/LOC126284310/LOC126335481/LOC126284632/LOC126354218/LOC126291792/LOC126335501/LOC126347975/LOC126336858/LOC126284413/LOC126272470/LOC126284006/LOC126284030/LOC126279120/LOC126334907/LOC126354501/LOC126326589",34,"GO","All fat body DEGs in heatmap",334,885,"DEG cluster 1",1086,"Biological process"
"GO:0022402","cell cycle process","33/334","38/885",0.868421052631579,2.3010557831705,6.37924933617612,2.36705247106007e-10,5.23414477663157e-08,5.23414477663157e-08,"LOC126284276/LOC126282371/LOC126267997/LOC126354268/LOC126278524/LOC126278346/LOC126355755/LOC126320492/LOC126334768/LOC126272375/LOC126334614/LOC126335346/LOC126266746/LOC126267242/LOC126272312/LOC126272178/LOC126342297/LOC126272743/LOC126284310/LOC126273149/LOC126284632/LOC126337018/LOC126354218/LOC126335501/LOC126347975/LOC126284413/LOC126272470/LOC126284006/LOC126284030/LOC126279120/LOC126334907/LOC126354501/LOC126326589",33,"GO","All fat body DEGs in heatmap",334,885,"DEG cluster 1",1086,"Biological process"
"GO:1903047","mitotic cell cycle process","29/334","33/885",0.878787878787879,2.32852476864453,6.05243863299253,1.8314805289573e-09,2.69990754643789e-07,2.69990754643789e-07,"LOC126284276/LOC126282371/LOC126267997/LOC126354268/LOC126278524/LOC126278346/LOC126355755/LOC126334768/LOC126334614/LOC126335346/LOC126266746/LOC126267242/LOC126272312/LOC126272178/LOC126342297/LOC126272743/LOC126284310/LOC126284632/LOC126354218/LOC126335501/LOC126347975/LOC126284413/LOC126272470/LOC126284006/LOC126284030/LOC126279120/LOC126334907/LOC126354501/LOC126326589",29,"GO","All fat body DEGs in heatmap",334,885,"DEG cluster 1",1086,"Biological process"
"GO:0000280","nuclear division","23/334","26/885",0.884615384615385,2.3439659143252,5.41254989446757,8.26342828388233e-08,7.69368664957255e-06,7.69368664957255e-06,"LOC126282371/LOC126354268/LOC126278524/LOC126278346/LOC126355755/LOC126334768/LOC126272375/LOC126334614/LOC126335346/LOC126266746/LOC126267242/LOC126272312/LOC126272178/LOC126272743/LOC126273149/LOC126337018/LOC126335501/LOC126347975/LOC126272470/LOC126284006/LOC126279120/LOC126334907/LOC126354501",23,"GO","All fat body DEGs in heatmap",334,885,"DEG cluster 1",1086,"Biological process"
"GO:0048285","organelle fission","23/334","26/885",0.884615384615385,2.3439659143252,5.41254989446757,8.26342828388233e-08,7.69368664957255e-06,7.69368664957255e-06,"LOC126282371/LOC126354268/LOC126278524/LOC126278346/LOC126355755/LOC126334768/LOC126272375/LOC126334614/LOC126335346/LOC126266746/LOC126267242/LOC126272312/LOC126272178/LOC126272743/LOC126273149/LOC126337018/LOC126335501/LOC126347975/LOC126272470/LOC126284006/LOC126279120/LOC126334907/LOC126354501",23,"GO","All fat body DEGs in heatmap",334,885,"DEG cluster 1",1086,"Biological process"
"GO:0006996","organelle organization","59/334","96/885",0.614583333333333,1.62846182634731,5.07457393663996,5.24871148253e-07,4.42141457742646e-05,4.42141457742646e-05,"LOC126282271/LOC126271871/LOC126284276/LOC126272438/LOC126282371/LOC126267997/LOC126354268/LOC126297585/LOC126354850/LOC126278524/LOC126278346/LOC126355755/LOC126282270/LOC126320492/LOC126334768/LOC126272375/LOC126346953/LOC126267118/LOC126334614/LOC126335346/LOC126266746/LOC126285438/LOC126272402/LOC126267242/LOC126278037/LOC126273198/LOC126272312/LOC126278940/LOC126276381/LOC126281778/LOC126298660/LOC126272178/LOC126354668/LOC126349792/LOC126272256/LOC126353951/LOC126298596/LOC126354819/LOC126272743/LOC126284310/LOC126273149/LOC126336939/LOC126337018/LOC126354218/LOC126336809/LOC126335501/LOC126334906/LOC126347975/LOC126353994/LOC126284413/LOC126272470/LOC126284006/LOC126279052/LOC126284030/LOC126279120/LOC126334907/LOC126292199/LOC126354501/LOC126326589",59,"GO","All fat body DEGs in heatmap",334,885,"DEG cluster 1",1086,"Biological process"
"GO:0000226","microtubule cytoskeleton organization","22/334","26/885",0.846153846153846,2.2420543528328,5.00212176863398,8.5963341997451e-07,6.9122341815223e-05,6.9122341815223e-05,"LOC126282371/LOC126267997/LOC126297585/LOC126278346/LOC126355755/LOC126334768/LOC126334614/LOC126266746/LOC126267242/LOC126278037/LOC126272312/LOC126278940/LOC126284310/LOC126273149/LOC126336939/LOC126354218/LOC126335501/LOC126347975/LOC126284413/LOC126284030/LOC126279120/LOC126292199",22,"GO","All fat body DEGs in heatmap",334,885,"DEG cluster 1",1086,"Biological process"
"GO:0006259","DNA metabolic process","19/334","22/885",0.863636363636364,2.2883777898748,4.76181740983627,2.83482354919434e-06,0.000185733439204622,0.000185733439204622,"LOC126272438/LOC126282371/LOC126354268/LOC126355755/LOC126359832/LOC126320492/LOC126272375/LOC126267081/LOC126267242/LOC126278608/LOC126335359/LOC126335481/LOC126284632/LOC126298976/LOC126293483/LOC126285335/LOC126285408/LOC126284030/LOC126279120",19,"GO","All fat body DEGs in heatmap",334,885,"DEG cluster 1",1086,"Biological process"
"GO:1903046","meiotic cell cycle process","19/334","22/885",0.863636363636364,2.2883777898748,4.76181740983627,2.83482354919434e-06,0.000185733439204622,0.000185733439204622,"LOC126282371/LOC126278524/LOC126278346/LOC126272375/LOC126334614/LOC126266746/LOC126267242/LOC126272312/LOC126272178/LOC126273149/LOC126337018/LOC126335501/LOC126347975/LOC126284413/LOC126272470/LOC126284006/LOC126279120/LOC126354501/LOC126326589",19,"GO","All fat body DEGs in heatmap",334,885,"DEG cluster 1",1086,"Biological process"
