"sample_id","count_file","tissue","phase","rearing_condition","replicate","source","display_group","reference_role","sample_label","sample_block","treatment_or_phase","diet","file_present"
"1003",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1003","Experiment fat body","Control","33",TRUE
"1006",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1006","Experiment fat body","Control","33",TRUE
"1009",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1009","Experiment fat body","Control","33",TRUE
"1030",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1030","Experiment fat body","Control","33",TRUE
"1033",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1033","Experiment fat body","Control","33",TRUE
"1036",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1036","Experiment fat body","Control","33",TRUE
"1039",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1039","Experiment fat body","Control","33",TRUE
"1004",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1004","Experiment fat body","Control","50",TRUE
"1007",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1007","Experiment fat body","Control","50",TRUE
"1031",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1031","Experiment fat body","Control","50",TRUE
"1034",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1034","Experiment fat body","Control","50",TRUE
"1037",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1037","Experiment fat body","Control","50",TRUE
"1040",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1040","Experiment fat body","Control","50",TRUE
"1002",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1002","Experiment fat body","Control","83",TRUE
"1005",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1005","Experiment fat body","Control","83",TRUE
"1011",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1011","Experiment fat body","Control","83",TRUE
"1032",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1032","Experiment fat body","Control","83",TRUE
"1035",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1035","Experiment fat body","Control","83",TRUE
"1038",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1038","Experiment fat body","Control","83",TRUE
"1041",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1041","Experiment fat body","Control","83",TRUE
