"foreground_set","ontology","term_id","term_name","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj"
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126267997","myosin heavy chain 95F","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.57315570715167,0.000139521357059533
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126271949","chitin synthase chs-2","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.64900472755976,3.23578719368072e-06
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126284086","endocuticle structural glycoprotein SgAbd-4","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",3.44323875404472,0.00097990065674093
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126284087","endocuticle structural glycoprotein SgAbd-3","protein_coding","Infection within diet","infection_average_all_diets","Average control",2.06706532700471,0.006093648272467
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126284250","uncharacterized LOC126284250","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.762297605187,0.000135087130568797
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126284425","endocuticle structural glycoprotein SgAbd-5-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.70698555056714,0.00159055895062613
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126284491","endocuticle structural glycoprotein ABD-4-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",3.6545809706522,3.82170929214168e-08
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126284577","endocuticle structural glycoprotein ABD-4-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",4.17442343326543,1.5773982750358e-05
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126284756","glucose dehydrogenase [FAD, quinone]","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.52839994887482,0.012855709294437
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126284845","endocuticle structural glycoprotein ABD-5-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.98557721390793,0.010117761829762
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126285153","uncharacterized LOC126285153","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.31169505793068,0.00567820724846761
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126297795","uncharacterized LOC126297795","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.03095911431021,6.00967530987156e-06
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126297845","O-acyltransferase like protein","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.01248162204599,0.0180498206525914
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126299078","UDP-N-acetylhexosamine pyrophosphorylase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.45222314962411,3.48032613021839e-05
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126336345","uncharacterized LOC126336345","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.45731552361385,2.82564439293717e-05
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126336597","uncharacterized LOC126336597","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.59948627504707,7.7195587398787e-15
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126336602","uncharacterized LOC126336602","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.03784510962573,5.25036139854067e-07
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126336809","myosin-VIIa","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.12771669768586,0.00729896912143283
"Expression cluster 1","Biological process","GO:0040003","chitin-based cuticle development","19/325","84/5969",7.36774344937517e-08,0.000123999122252984,0.000123999122252984,19,"LOC126354720","protein Skeletor, isoforms B/C","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.91913203739817,0.00922655107195079
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126266832","protein jagged-1b","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.63545855005181,6.36938912785152e-05
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126267997","myosin heavy chain 95F","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.57315570715167,0.000139521357059533
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126271949","chitin synthase chs-2","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.64900472755976,3.23578719368072e-06
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126284086","endocuticle structural glycoprotein SgAbd-4","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",3.44323875404472,0.00097990065674093
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126284087","endocuticle structural glycoprotein SgAbd-3","protein_coding","Infection within diet","infection_average_all_diets","Average control",2.06706532700471,0.006093648272467
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126284250","uncharacterized LOC126284250","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.762297605187,0.000135087130568797
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126284425","endocuticle structural glycoprotein SgAbd-5-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.70698555056714,0.00159055895062613
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126284491","endocuticle structural glycoprotein ABD-4-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",3.6545809706522,3.82170929214168e-08
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126284577","endocuticle structural glycoprotein ABD-4-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",4.17442343326543,1.5773982750358e-05
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126284756","glucose dehydrogenase [FAD, quinone]","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.52839994887482,0.012855709294437
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126284845","endocuticle structural glycoprotein ABD-5-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.98557721390793,0.010117761829762
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126285153","uncharacterized LOC126285153","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.31169505793068,0.00567820724846761
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126285438","scavenger receptor class B member 1","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.60687509188408,0.0211121928751109
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126297795","uncharacterized LOC126297795","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.03095911431021,6.00967530987156e-06
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126297845","O-acyltransferase like protein","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.01248162204599,0.0180498206525914
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126299078","UDP-N-acetylhexosamine pyrophosphorylase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.45222314962411,3.48032613021839e-05
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126335513","protein yellow-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.1328653946377,0.0191193360748124
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126336345","uncharacterized LOC126336345","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.45731552361385,2.82564439293717e-05
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126336597","uncharacterized LOC126336597","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.59948627504707,7.7195587398787e-15
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126336602","uncharacterized LOC126336602","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.03784510962573,5.25036139854067e-07
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126336809","myosin-VIIa","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.12771669768586,0.00729896912143283
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126354720","protein Skeletor, isoforms B/C","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.91913203739817,0.00922655107195079
"Expression cluster 1","Biological process","GO:0042335","cuticle development","23/325","135/5969",7.70706711279076e-07,0.000648549697541342,0.000648549697541342,23,"LOC126355865","uncharacterized LOC126355865","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.96888274266915,0.0328557790523243
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126266746","uncharacterized LOC126266746","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.34118240574418,8.23825317556049e-06
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126267242","chromosome-associated kinesin KIF4","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.31712244198984,9.30976688958937e-06
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126267997","myosin heavy chain 95F","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.57315570715167,0.000139521357059533
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126272178","uncharacterized LOC126272178","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.57143159165446,8.15763543232621e-05
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126272312","myosin-11","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.01914154969847,0.0419354677180231
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126272470","mitotic checkpoint serine/threonine-protein kinase BUB1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.29156870078669,2.06580777250547e-05
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126272743","G2/mitotic-specific cyclin-B-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.0190981509258,0.00881958365740284
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126278346","baculoviral IAP repeat-containing protein 5.2-B","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.51029785141249,7.64709225312508e-07
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126278524","anillin-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.3714089281249,4.47126409557008e-05
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126279120","cyclin-dependent kinase 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.24963032361404,6.81240427576595e-06
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126282371","cyclin-dependent kinase 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.48770128926056,0.000199045717914092
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126284006","citron rho-interacting kinase","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.05166178020177,0.0333482236380914
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126284030","proliferating cell nuclear antigen","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.37894306875881,9.62654297982929e-10
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126284276","mitotic spindle assembly checkpoint protein MAD2A","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.80462812607373,2.22136152349538e-08
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126284310","wee1-like protein kinase","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.26160016578104,0.00010975245102783
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126284413","protein abnormal spindle-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.45420650498301,2.59326163728735e-05
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126284632","Fanconi anemia group D2 protein","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.0393338978413,0.000363191284428743
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126326589","ovarian-specific serine/threonine-protein kinase Lok-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.15652404607307,5.96722101702558e-06
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126334614","kinesin-like protein KIF20B","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.5596869341511,4.32771375002358e-05
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126334768","aurora kinase C-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.48419104522222,1.54445129305204e-05
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126334907","uncharacterized LOC126334907","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.11399353457135,2.7674622205293e-05
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126335346","structural maintenance of chromosomes protein 4-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.2222672684345,2.1386816133765e-13
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126335501","serine/threonine-protein kinase polo","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.17892512588517,3.23578719368072e-06
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126342297","septin-2","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.00739504556449,0.0378571097832123
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126347975","calponin homology domain-containing protein DDB_G0272472-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.20820871628402,1.26716803068087e-06
"Expression cluster 1","Biological process","GO:1903047","mitotic cell cycle process","29/325","205/5969",1.58570528190972e-06,0.000881500255427438,0.000881500255427438,29,"LOC126354218","partitioning defective 3 homolog","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.23100984230409,0.000400167966695454
