"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","foreground_set","pathway_theme","pathway_scope"
"ko04110","Cell cycle","19/264","89/3900",0.213483146067416,3.15372829417773,5.53774669076332,4.80131467103156e-06,0.00165645356150589,0.00165645356150589,"LOC126354850/LOC126334974/LOC126268148/LOC126272470/LOC126355755/LOC126284030/LOC126336750/LOC126284310/LOC126281636/LOC126335501/LOC126272178/LOC126279120/LOC126272743/LOC126326589/LOC126354268/LOC126282371/LOC126284276/LOC126293483/LOC126272438",19,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",264,3900,"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible"
"ko01120","Microbial metabolism in diverse environments","24/264","149/3900",0.161073825503356,2.37949969493594,4.62602371327193,4.53511318508745e-05,0.00782307024427586,0.00782307024427586,"LOC126266827/LOC126336251/LOC126268126/LOC126355885/LOC126350022/LOC126365941/LOC126323251/LOC126336122/LOC126281954/LOC126281958/LOC126355949/LOC126334891/LOC126354574/LOC126272888/LOC126266828/LOC126272715/LOC126335505/LOC126281446/LOC126284898/LOC126336866/LOC126336244/LOC126281532/LOC126297494/LOC126272256",24,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",264,3900,"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko01100","Metabolic pathways","92/264","962/3900",0.0956340956340956,1.41277641277641,3.97413994771961,7.99424719545589e-05,0.00909730284345418,0.00909730284345418,"LOC126354225/LOC126298882/LOC126284686/LOC126341237/LOC126272584/LOC126336251/LOC126272926/LOC126293404/LOC126297442/LOC126335359/LOC126299078/LOC126334905/LOC126281556/LOC126285375/LOC126336773/LOC126284296/LOC126297511/LOC126299364/LOC126268126/LOC126268218/LOC126355885/LOC126354588/LOC126336695/LOC126331446/LOC126266596/LOC126350022/LOC126335481/LOC126365941/LOC126323251/LOC126336122/LOC126281954/LOC126272931/LOC126279052/LOC126298221/LOC126355148/LOC126336714/LOC126298944/LOC126359832/LOC126267788/LOC126278697/LOC126335256/LOC126335182/LOC126281958/LOC126323656/LOC126333363/LOC126336316/LOC126284573/LOC126334891/LOC126272831/LOC126354574/LOC126281399/LOC126357545/LOC126278249/LOC126267222/LOC126272567/LOC126356371/LOC126284198/LOC126354110/LOC126336692/LOC126295125/LOC126272715/LOC126335505/LOC126356100/LOC126284812/LOC126281506/LOC126355818/LOC126285378/LOC126281492/LOC126335258/LOC126271923/LOC126281446/LOC126284898/LOC126297427/LOC126334561/LOC126336866/LOC126272560/LOC126283957/LOC126281672/LOC126336244/LOC126281562/LOC126283960/LOC126322655/LOC126297701/LOC126281532/LOC126297494/LOC126267081/LOC126272256/LOC126292317/LOC126284756/LOC126291591/LOC126266657/LOC126345263",92,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",264,3900,"Expression cluster 1","Broad metabolic map","Broad KEGG reference map"
"ko00981","Insect hormone biosynthesis","8/264","24/3900",0.333333333333333,4.92424242424242,5.19560599160334,0.000112399291072278,0.00909730284345418,0.00909730284345418,"LOC126320178/LOC126343702/LOC126299150/LOC126343748/LOC126305900/LOC126268026/LOC126281446/LOC126335148",8,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",264,3900,"Expression cluster 1","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain"
"ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.188235294117647,2.7807486631016,4.47230550203273,0.000138263109802149,0.00909730284345418,0.00909730284345418,"LOC126341237/LOC126266827/LOC126272926/LOC126282396/LOC126336695/LOC126336888/LOC126281954/LOC126267788/LOC126272831/LOC126272888/LOC126336713/LOC126266828/LOC126331335/LOC126336692/LOC126272560/LOC126281562",16,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",264,3900,"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko04111","Cell cycle - yeast","14/264","69/3900",0.202898550724638,2.99736495388669,4.5101661228488,0.000158213962494855,0.00909730284345418,0.00909730284345418,"LOC126268148/LOC126272470/LOC126355755/LOC126336750/LOC126272178/LOC126291792/LOC126326589/LOC126354268/LOC126284276/LOC126354501/LOC126268114/LOC126293483/LOC126335346/LOC126272438",14,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",264,3900,"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible"
"ko01110","Biosynthesis of secondary metabolites","39/264","324/3900",0.12037037037037,1.77819865319865,3.94122173027458,0.000200090211737748,0.00986158900707472,0.00986158900707472,"LOC126284686/LOC126341237/LOC126272584/LOC126336251/LOC126272926/LOC126293404/LOC126336773/LOC126299364/LOC126268126/LOC126268218/LOC126350022/LOC126365941/LOC126323251/LOC126281954/LOC126298221/LOC126267788/LOC126278697/LOC126335182/LOC126281958/LOC126333363/LOC126334891/LOC126272831/LOC126298865/LOC126299546/LOC126335505/LOC126356100/LOC126284812/LOC126285378/LOC126281446/LOC126284898/LOC126272560/LOC126336244/LOC126281562/LOC126284002/LOC126281532/LOC126297494/LOC126272256/LOC126284756/LOC126345263",39,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",264,3900,"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko00040","Pentose and glucuronate interconversions","13/264","64/3900",0.203125,3.00071022727273,4.34812002381971,0.000268624324033419,0.0106192041041801,0.0106192041041801,"LOC126341237/LOC126272926/LOC126281694/LOC126267788/LOC126272831/LOC126281399/LOC126357545/LOC126272560/LOC126283957/LOC126281562/LOC126283960/LOC126291591/LOC126266657",13,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",264,3900,"Expression cluster 1","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00980","Metabolism of xenobiotics by cytochrome P450","16/264","90/3900",0.177777777777778,2.62626262626263,4.20548503664755,0.000277022715761219,0.0106192041041801,0.0106192041041801,"LOC126341237/LOC126272926/LOC126281694/LOC126282396/LOC126336695/LOC126343702/LOC126336888/LOC126281954/LOC126267788/LOC126272831/LOC126336713/LOC126343748/LOC126331335/LOC126336692/LOC126272560/LOC126281562",16,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",264,3900,"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko03030","DNA replication","9/264","38/3900",0.236842105263158,3.4988038277512,4.170464895202,0.000742487507796116,0.0242774517337038,0.0242774517337038,"LOC126335359/LOC126284296/LOC126335481/LOC126359832/LOC126284030/LOC126336750/LOC126293483/LOC126267081/LOC126272438",9,"KEGG_pathway","Expressed rRNA-filtered main-chromosome genes",264,3900,"Expression cluster 1","Genetic information processing","Core metabolism or cross-domain"
