"expression_cluster","database","background","pathway_theme","pathway_scope","term_id","term_name","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","gene_id","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","Description","gene_biotype"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/275","24/698",6.4698083404881e-05,0.0139747860154543,0.0139747860154543,19,"LOC126268148","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.15928406301494,0.00112220241475932,"cell division control protein 6 homolog","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/275","24/698",6.4698083404881e-05,0.0139747860154543,0.0139747860154543,19,"LOC126272178","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.57143159165446,8.15763543232621e-05,"uncharacterized LOC126272178","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/275","24/698",6.4698083404881e-05,0.0139747860154543,0.0139747860154543,19,"LOC126272438","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.24836305878309,0.00161040930090975,"DNA replication licensing factor Mcm2","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/275","24/698",6.4698083404881e-05,0.0139747860154543,0.0139747860154543,19,"LOC126272470","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.29156870078669,2.06580777250547e-05,"mitotic checkpoint serine/threonine-protein kinase BUB1-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/275","24/698",6.4698083404881e-05,0.0139747860154543,0.0139747860154543,19,"LOC126272743","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.0190981509258,0.00881958365740284,"G2/mitotic-specific cyclin-B-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/275","24/698",6.4698083404881e-05,0.0139747860154543,0.0139747860154543,19,"LOC126279120","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.24963032361404,6.81240427576595e-06,"cyclin-dependent kinase 1-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/275","24/698",6.4698083404881e-05,0.0139747860154543,0.0139747860154543,19,"LOC126281636","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.13627578952732,2.9438391858481e-05,"cyclin-A2-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/275","24/698",6.4698083404881e-05,0.0139747860154543,0.0139747860154543,19,"LOC126282371","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.48770128926056,0.000199045717914092,"cyclin-dependent kinase 1-like","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/275","24/698",6.4698083404881e-05,0.0139747860154543,0.0139747860154543,19,"LOC126284030","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.37894306875881,9.62654297982929e-10,"proliferating cell nuclear antigen","protein_coding"
"DEG cluster 1","KEGG_pathway","All fat body DEGs in heatmap","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/275","24/698",6.4698083404881e-05,0.0139747860154543,0.0139747860154543,19,"LOC126284276","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.80462812607373,2.22136152349538e-08,"mitotic spindle assembly checkpoint protein MAD2A","protein_coding"
