"database","background","term_id","term_name","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","gene_id","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","Description","gene_biotype"
"GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126266746","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.34118240574418,8.23825317556049e-06,1.93501161092931,"1041","Higher than gene mean","uncharacterized LOC126266746","protein_coding"
"GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126266832","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.63545855005181,6.36938912785152e-05,2.22843593174783,"1058","Lower than gene mean","protein jagged-1b","protein_coding"
"GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126267081","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.21327321460465,2.62076461135251e-11,1.97731713333492,"1002","Lower than gene mean","DNA polymerase epsilon catalytic subunit 1","protein_coding"
"GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126267242","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.31712244198984,9.30976688958937e-06,2.02362721151937,"1002","Lower than gene mean","chromosome-associated kinesin KIF4","protein_coding"
"GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126267997","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.57315570715167,0.000139521357059533,2.15564505351539,"1004","Higher than gene mean","myosin heavy chain 95F","protein_coding"
"GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126272178","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.57143159165446,8.15763543232621e-05,2.27354591389727,"1005","Lower than gene mean","uncharacterized LOC126272178","protein_coding"
"GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126272312","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.01914154969847,0.0419354677180231,1.85750745243427,"1058","Lower than gene mean","myosin-11","protein_coding"
"GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126272375","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.18601866361145,0.0131096712857854,1.83566299709046,"1038","Higher than gene mean","DNA repair protein XRCC2-like","protein_coding"
"GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126272470","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.29156870078669,2.06580777250547e-05,2.32926631520451,"1002","Lower than gene mean","mitotic checkpoint serine/threonine-protein kinase BUB1-like","protein_coding"
"GO","All fat body DEGs in heatmap","GO:0007049","cell cycle","38/334","44/885",1.20080927546755e-11,1.7185891356043e-08,1.7185891356043e-08,38,"LOC126272743","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.0190981509258,0.00881958365740284,2.30318959672572,"1049","Lower than gene mean","G2/mitotic-specific cyclin-B-like","protein_coding"
