"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","original_branch","n_branch_genes"
"ko04110","Cell cycle","19/275","24/698",0.791666666666667,2.00939393939394,4.05460841774506,6.4698083404881e-05,0.0139747860154543,0.0139747860154543,"LOC126284030/LOC126279120/LOC126355755/LOC126272178/LOC126272438/LOC126335501/LOC126282371/LOC126281636/LOC126354850/LOC126284310/LOC126272743/LOC126334974/LOC126293483/LOC126354268/LOC126268148/LOC126272470/LOC126284276/LOC126326589/LOC126336750",19,"KEGG_pathway","All fat body DEGs in heatmap",275,698,"Branch 1",1086
"ko03030","DNA replication","9/275","9/698",1,2.53818181818182,3.7422420081275,0.000211026995446144,0.0227909155081836,0.0227909155081836,"LOC126284030/LOC126359832/LOC126272438/LOC126267081/LOC126335481/LOC126293483/LOC126335359/LOC126284296/LOC126336750",9,"KEGG_pathway","All fat body DEGs in heatmap",275,698,"Branch 1",1086
"ko04111","Cell cycle - yeast","14/275","18/698",0.777777777777778,1.97414141414141,3.37377686319227,0.000933796794589367,0.0672333692104344,0.0672333692104344,"LOC126354501/LOC126355755/LOC126272178/LOC126272438/LOC126335346/LOC126268114/LOC126293483/LOC126354268/LOC126268148/LOC126272470/LOC126284276/LOC126291792/LOC126326589/LOC126336750",14,"KEGG_pathway","All fat body DEGs in heatmap",275,698,"Branch 1",1086
"ko04113","Meiosis - yeast","10/275","12/698",0.833333333333333,2.11515151515152,3.1396048857217,0.0022746463555222,0.122830903198199,0.122830903198199,"LOC126355755/LOC126272178/LOC126272438/LOC126293483/LOC126354268/LOC126297585/LOC126268148/LOC126272470/LOC126284276/LOC126336750",10,"KEGG_pathway","All fat body DEGs in heatmap",275,698,"Branch 1",1086
"ko01130","Biosynthesis of antibiotics","30/275","52/698",0.576923076923077,1.46433566433566,2.80433574060701,0.00429217769916387,0.178308733152002,0.178308733152002,"LOC126333363/LOC126298221/LOC126281958/LOC126293368/LOC126272256/LOC126281532/LOC126297494/LOC126350022/LOC126278697/LOC126278485/LOC126284898/LOC126284756/LOC126336251/LOC126336244/LOC126281446/LOC126299364/LOC126268218/LOC126291591/LOC126299078/LOC126299365/LOC126335505/LOC126325353/LOC126298865/LOC126293404/LOC126284812/LOC126281672/LOC126365941/LOC126293737/LOC126281954/LOC126354574",30,"KEGG_pathway","All fat body DEGs in heatmap",275,698,"Branch 1",1086
"ko04914","Progesterone-mediated oocyte maturation","9/275","11/698",0.818181818181818,2.07669421487603,2.90016632788176,0.0049530203653334,0.178308733152002,0.178308733152002,"LOC126279120/LOC126272178/LOC126335501/LOC126282371/LOC126281636/LOC126272743/LOC126297585/LOC126272470/LOC126284276",9,"KEGG_pathway","All fat body DEGs in heatmap",275,698,"Branch 1",1086
"ko00670","One carbon pool by folate","7/275","8/698",0.875,2.22090909090909,2.79844211396808,0.00743142022031459,0.184596027395855,0.184596027395855,"LOC126297511/LOC126267222/LOC126355148/LOC126325353/LOC126293404/LOC126323251/LOC126293737",7,"KEGG_pathway","All fat body DEGs in heatmap",275,698,"Branch 1",1086
"ko04391","Hippo signaling pathway - fly","7/275","8/698",0.875,2.22090909090909,2.79844211396808,0.00743142022031459,0.184596027395855,0.184596027395855,"LOC126365980/LOC126278175/LOC126299291/LOC126284630/LOC126278037/LOC126278940/LOC126354218",7,"KEGG_pathway","All fat body DEGs in heatmap",275,698,"Branch 1",1086
"ko01120","Microbial metabolism in diverse environments","26/275","45/698",0.577777777777778,1.46650505050505,2.60686516321642,0.00769150114149394,0.184596027395855,0.184596027395855,"LOC126355949/LOC126272715/LOC126336866/LOC126281958/LOC126293368/LOC126272256/LOC126266828/LOC126281532/LOC126297494/LOC126334891/LOC126350022/LOC126284898/LOC126266827/LOC126355885/LOC126336251/LOC126336244/LOC126281446/LOC126268126/LOC126335505/LOC126325353/LOC126365941/LOC126323251/LOC126272888/LOC126336122/LOC126281954/LOC126354574",26,"KEGG_pathway","All fat body DEGs in heatmap",275,698,"Branch 1",1086
"ko01100","Metabolic pathways","101/275","222/698",0.454954954954955,1.15475839475839,2.24977858981852,0.0153066115219586,0.263756118918337,0.263756118918337,"LOC126357545/LOC126297511/LOC126355818/LOC126266657/LOC126335182/LOC126323656/LOC126333363/LOC126271923/LOC126272931/LOC126279052/LOC126336692/LOC126298221/LOC126359832/LOC126267788/LOC126272715/LOC126334561/LOC126336866/LOC126281958/LOC126293368/LOC126356100/LOC126284573/LOC126272256/LOC126341237/LOC126281399/LOC126297701/LOC126281532/LOC126297494/LOC126267081/LOC126272831/LOC126334891/LOC126350022/LOC126266596/LOC126284198/LOC126356371/LOC126272567/LOC126335256/LOC126278697/LOC126278485/LOC126354818/LOC126284898/LOC126354225/LOC126284756/LOC126272584/LOC126281562/LOC126355885/LOC126295125/LOC126336251/LOC126285378/LOC126335481/LOC126336244/LOC126281446/LOC126299364/LOC126268126/LOC126268218/LOC126267222/LOC126297427/LOC126351672/LOC126291591/LOC126299078/LOC126283960/LOC126281492/LOC126297442/LOC126335359/LOC126299365/LOC126298882/LOC126298944/LOC126355148/LOC126336714/LOC126354588/LOC126335505/LOC126336625/LOC126283957/LOC126334905/LOC126335258/LOC126354110/LOC126336773/LOC126272560/LOC126322655/LOC126336695/LOC126325353/LOC126292317/LOC126272393/LOC126293404/LOC126284812/LOC126281506/LOC126345263/LOC126272926/LOC126278249/LOC126284686/LOC126281672/LOC126285375/LOC126365941/LOC126323251/LOC126284296/LOC126331446/LOC126281556/LOC126293737/LOC126336316/LOC126336122/LOC126281954/LOC126354574",101,"KEGG_pathway","All fat body DEGs in heatmap",275,698,"Branch 1",1086
