mapping_branch	analysis_scope	contrast_id	contrast_family	numerator	denominator	tested_genes	higher_in_numerator	higher_in_denominator	total_degs
Competitive host	Placed/host-assigned	infection_diet33	Infection within diet	Infected diet 33	Control diet 33	14132	552	464	1016
Competitive host	Placed/host-assigned	infection_diet50	Infection within diet	Infected diet 50	Control diet 50	14132	1263	746	2009
Competitive host	Placed/host-assigned	infection_diet83	Infection within diet	Infected diet 83	Control diet 83	14132	658	372	1030
Competitive host	Placed/host-assigned	control_diet33_vs50	Diet among controls	Control diet 33	Control diet 50	14132	10	5	15
Competitive host	Placed/host-assigned	control_diet83_vs50	Diet among controls	Control diet 83	Control diet 50	14132	24	35	59
Competitive host	Placed/host-assigned	control_diet83_vs33	Diet among controls	Control diet 83	Control diet 33	14132	34	26	60
Competitive host	Placed/host-assigned	infected_diet33_vs50	Diet among infected	Infected diet 33	Infected diet 50	14132	13	290	303
Competitive host	Placed/host-assigned	infected_diet83_vs50	Diet among infected	Infected diet 83	Infected diet 50	14132	45	14	59
Competitive host	Placed/host-assigned	infected_diet83_vs33	Diet among infected	Infected diet 83	Infected diet 33	14132	63	23	86
Competitive host	Placed/host-assigned	infection_average_all_diets	Average infection response	Average infected	Average control	14132	893	798	1691
Competitive host	Placed/host-assigned	interaction_diet33_vs50	Diet by infection interaction	Infection response diet 33	Infection response diet 50	14132	0	0	0
Competitive host	Placed/host-assigned	interaction_diet83_vs50	Diet by infection interaction	Infection response diet 83	Infection response diet 50	14132	26	32	58
Competitive host	Placed/host-assigned	interaction_diet83_vs33	Diet by infection interaction	Infection response diet 83	Infection response diet 33	14132	8	3	11
Competitive host	Unplaced scaffold	infection_diet33	Infection within diet	Infected diet 33	Control diet 33	2756	4	700	704
Competitive host	Unplaced scaffold	infection_diet50	Infection within diet	Infected diet 50	Control diet 50	2756	0	0	0
Competitive host	Unplaced scaffold	infection_diet83	Infection within diet	Infected diet 83	Control diet 83	2756	0	0	0
Competitive host	Unplaced scaffold	control_diet33_vs50	Diet among controls	Control diet 33	Control diet 50	2756	0	0	0
