gene_id,description,gene_biotype,sequence_class,seqid,contrast_family,contrast_id,numerator,denominator,log2FoldChange,padj,higher_in
LOC126335966,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase P-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,4.934332649856929,1.759956428019699e-47,Average infected
LOC126335463,serpin B8-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,5.750188831841681,2.2348829969881745e-44,Average infected
LOC126283383,"protoheme IX farnesyltransferase, mitochondrial-like",protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.4285714561876266,1.3451557409296867e-37,Average infected
LOC126336554,uncharacterized LOC126336554,lncRNA,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,5.952495460139684,1.9357008561157462e-36,Average infected
LOC126332318,uncharacterized LOC126332318,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,7.026242284509387,2.765115464870133e-34,Average infected
LOC126355939,proton-coupled amino acid transporter-like protein pathetic,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,5.304968521013163,2.765115464870133e-34,Average infected
LOC126335348,uncharacterized LOC126335348,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.189847820739756,3.323802083398421e-34,Average infected
LOC126271634,hatching enzyme 1.2-like,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,7.34177209757661,9.901186330895282e-34,Average infected
LOC126279309,calcium release-activated calcium channel protein 1-like,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.282416209869262,2.766832071906674e-33,Average infected
LOC126285457,putative fatty acyl-CoA reductase CG5065,protein_coding,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.897399929638186,5.000429204812756e-32,Average infected
LOC126354995,cysteine sulfinic acid decarboxylase,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,6.144153877572639,1.074399237475005e-31,Average infected
LOC126278049,cytokine-inducible SH2-containing protein-like,protein_coding,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.492082852321059,2.285764052465238e-31,Average infected
LOC126267215,peptidoglycan recognition protein 1-like,protein_coding,Nuclear chromosome,NC_064923.1,Average infection response,infection_average_all_diets,Average infected,Average control,4.908539203136127,6.767289453144987e-31,Average infected
LOC126354017,ATP-dependent translocase ABCB1-like,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,3.4988389261843955,8.984351456940304e-31,Average infected
LOC126278962,uncharacterized LOC126278962,protein_coding,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.7144182290600942,1.3772608668526283e-30,Average infected
LOC126278673,DNA-binding protein D-ETS-6-like,protein_coding,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,4.409062661742535,1.7953677473748407e-30,Average infected
LOC126278436,uncharacterized LOC126278436,lncRNA,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,7.868451937502209,1.0516530824666807e-29,Average infected
LOC126273060,uncharacterized LOC126273060,lncRNA,Nuclear chromosome,NC_064924.1,Average infection response,infection_average_all_diets,Average infected,Average control,5.629993462951939,1.266139286394479e-29,Average infected
LOC126285462,peptidoglycan-recognition protein SB1-like,protein_coding,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.4360116020180187,1.4658441467642353e-29,Average infected
LOC126298233,uncharacterized LOC126298233,protein_coding,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,4.980037669907185,2.2780245590386241e-29,Average infected
