"gene_id","Infection within diets","Diet DEGs in controls","Diet DEGs in infected","Infection vs control","intersection"
"LOC126266590",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126266596",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266597",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126266599",TRUE,TRUE,FALSE,FALSE,"Infection within diets + Diet DEGs in controls"
"LOC126266610",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266626",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126266629",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266641",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266645",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126266649",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266656",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266657",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266662",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266672",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266674",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266675",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266677",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126266679",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266685",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266696",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266713",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266714",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266725",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266728",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266744",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266746",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266748",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266749",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266750",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266751",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266752",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266759",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266760",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266765",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266779",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266789",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266799",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266804",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266817",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266819",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
