"gene_id","Diet 33","Diet 50","Diet 83","intersection"
"LOC126266590",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266596",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126266597",FALSE,FALSE,TRUE,"Diet 83"
"LOC126266599",FALSE,FALSE,TRUE,"Diet 83"
"LOC126266610",TRUE,FALSE,TRUE,"Diet 33 + Diet 83"
"LOC126266629",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126266641",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126266645",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266649",FALSE,FALSE,TRUE,"Diet 83"
"LOC126266656",TRUE,FALSE,FALSE,"Diet 33"
"LOC126266657",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126266662",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126266672",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126266674",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266675",TRUE,FALSE,FALSE,"Diet 33"
"LOC126266677",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266679",FALSE,FALSE,TRUE,"Diet 83"
"LOC126266685",TRUE,FALSE,FALSE,"Diet 33"
"LOC126266696",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126266713",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266714",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266725",TRUE,FALSE,FALSE,"Diet 33"
"LOC126266728",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126266744",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266746",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126266748",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126266749",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266750",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126266751",TRUE,FALSE,FALSE,"Diet 33"
"LOC126266752",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266759",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126266760",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126266789",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126266799",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266819",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126266822",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126266824",FALSE,FALSE,TRUE,"Diet 83"
"LOC126266827",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266830",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266832",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126266835",TRUE,FALSE,TRUE,"Diet 33 + Diet 83"
"LOC126266841",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266859",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126266862",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126266899",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126266911",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266913",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126266938",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126266948",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126266958",TRUE,FALSE,FALSE,"Diet 33"
"LOC126266976",FALSE,FALSE,TRUE,"Diet 83"
"LOC126266982",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126266984",FALSE,TRUE,FALSE,"Diet 50"
"LOC126266988",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267000",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267002",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267006",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267013",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267016",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267019",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267038",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267041",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267042",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267056",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267060",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267061",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267073",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267080",TRUE,FALSE,FALSE,"Diet 33"
"LOC126267081",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267104",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267107",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267114",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126267115",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267118",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267127",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267131",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267133",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267139",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267148",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126267153",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267154",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267159",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267162",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267163",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267166",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267172",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267179",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267190",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267194",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126267195",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267214",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267215",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267216",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267217",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267222",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267226",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267234",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267237",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267242",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126267247",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267253",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126267259",TRUE,FALSE,FALSE,"Diet 33"
"LOC126267263",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267265",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267280",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267295",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267308",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267313",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267315",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126267322",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267332",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267333",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126267343",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267351",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126267391",TRUE,FALSE,FALSE,"Diet 33"
"LOC126267392",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267400",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267422",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126267423",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267430",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267432",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126267439",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267442",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267449",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126267452",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267456",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126267460",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267462",TRUE,FALSE,FALSE,"Diet 33"
"LOC126267464",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267471",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267472",TRUE,FALSE,FALSE,"Diet 33"
"LOC126267473",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267477",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267503",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267514",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267535",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126267545",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126267557",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267568",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267571",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267575",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126267581",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267583",TRUE,FALSE,FALSE,"Diet 33"
"LOC126267614",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267627",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267629",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267652",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267676",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267685",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267711",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267743",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126267755",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267772",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267773",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267788",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267806",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267829",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267844",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267861",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267870",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267876",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126267877",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267884",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267894",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267912",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126267915",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267916",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267932",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267933",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267934",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267939",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267952",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267953",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126267970",TRUE,FALSE,FALSE,"Diet 33"
"LOC126267971",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267973",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267978",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267979",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267980",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267981",FALSE,FALSE,TRUE,"Diet 83"
"LOC126267982",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126267984",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126267985",FALSE,TRUE,FALSE,"Diet 50"
"LOC126267997",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268014",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126268015",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126268019",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268023",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268026",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268028",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268038",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126268068",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126268069",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126268085",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126268088",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268096",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268097",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268099",FALSE,FALSE,TRUE,"Diet 83"
"LOC126268114",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268125",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268126",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268128",TRUE,FALSE,FALSE,"Diet 33"
"LOC126268132",TRUE,FALSE,FALSE,"Diet 33"
"LOC126268133",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126268146",FALSE,FALSE,TRUE,"Diet 83"
"LOC126268148",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268155",FALSE,FALSE,TRUE,"Diet 83"
"LOC126268164",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126268172",TRUE,FALSE,FALSE,"Diet 33"
"LOC126268173",TRUE,FALSE,FALSE,"Diet 33"
"LOC126268174",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268175",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126268182",TRUE,FALSE,FALSE,"Diet 33"
"LOC126268198",TRUE,FALSE,FALSE,"Diet 33"
"LOC126268199",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126268200",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126268205",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126268218",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126268219",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268236",FALSE,FALSE,TRUE,"Diet 83"
"LOC126268239",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268318",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268397",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126268518",FALSE,TRUE,FALSE,"Diet 50"
"LOC126268712",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126268728",TRUE,FALSE,FALSE,"Diet 33"
"LOC126269255",FALSE,FALSE,TRUE,"Diet 83"
"LOC126269352",FALSE,TRUE,FALSE,"Diet 50"
"LOC126269384",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126269416",FALSE,TRUE,FALSE,"Diet 50"
"LOC126269432",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126269609",FALSE,TRUE,FALSE,"Diet 50"
"LOC126269651",TRUE,FALSE,FALSE,"Diet 33"
"LOC126269996",FALSE,TRUE,FALSE,"Diet 50"
"LOC126270012",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126270294",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
