"DEG_context","comparison_type","comparison","numerator","denominator","diet","gene_id","log2FoldChange"
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266596",-1.1432431831009
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266610",1.18763122833276
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266629",-1.67099033627864
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266641",1.8193544430046
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266657",-1.46335821074204
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266672",1.13796446191789
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266675",1.04093388603709
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266685",1.38127942246312
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266696",-1.93372383975
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266725",1.05156445295018
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266728",1.5580253382652
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266746",-1.12817008591997
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266748",1.51306056437731
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266759",2.69880146295122
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266760",1.77364313690053
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266779",-1.60974981141601
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266789",3.99744215449851
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266822",-1.35572631952225
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266832",-1.29757342118236
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266835",-1.19701452097704
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266859",1.10679769940828
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266948",1.04212832468662
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266958",-1.00711722555661
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266982",2.12007859443868
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267002",1.78766975329866
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267038",1.03790913361234
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267061",3.79942078292037
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267081",-1.02855172902663
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267154",1.27952552177614
