"figure2_set","genes_plotted","listed_rRNA_genes"
"Panel A: directional DEG burden",3161,0
"Exact contrast: Diet 33: infected vs control",968,0
"Exact contrast: Diet 50: infected vs control",1821,0
"Exact contrast: Diet 83: infected vs control",1391,0
"Exact contrast: Control: diet 33 vs 50",10,0
"Exact contrast: Control: diet 83 vs 33",57,0
"Exact contrast: Control: diet 83 vs 50",44,0
"Exact contrast: Infected: diet 33 vs 50",210,0
"Exact contrast: Infected: diet 83 vs 33",508,0
"Exact contrast: Infected: diet 83 vs 50",323,0
"Exact contrast: All diets: infected vs control",1830,0
"Broad context: Infection within diets",2714,0
"Broad context: Diet DEGs in controls",92,0
"Broad context: Diet DEGs in infected",748,0
"Broad context: Infection vs control",1830,0
"Infection Venn: Diet 33",968,0
"Infection Venn: Diet 50",1821,0
"Infection Venn: Diet 83",1391,0
"Phase Venn: Infection within diets",2714,0
"Phase Venn: Head phase DEGs",717,0
"Phase Venn: Thorax phase DEGs",1074,0
