"label","total_counts","Diet","Treatment"
"1002",3170632,"83","Control"
"1003",3240818,"33","Control"
"1004",4093301,"50","Control"
"1005",3171323,"83","Control"
"1006",3040917,"33","Control"
"1007",3874823,"50","Control"
"1009",3188873,"33","Control"
"1011",2049612,"83","Control"
"1014",928938,"83","Infected"
"1015",1865505,"33","Infected"
"1016",777155,"50","Infected"
"1018",6901057,"33","Infected"
"1020",3515641,"83","Infected"
"1021",4548817,"33","Infected"
"1023",854842,"83","Infected"
"1024",1798251,"83","Infected"
"1025",4485592,"50","Infected"
"1027",1823168,"33","Infected"
"1028",3964142,"50","Infected"
"1029",4031680,"83","Infected"
"1030",8748179,"33","Control"
"1031",4857739,"50","Control"
"1032",4487113,"83","Control"
"1033",7500913,"33","Control"
"1034",5301948,"50","Control"
"1035",5308313,"83","Control"
"1036",5141025,"33","Control"
"1037",6696443,"50","Control"
"1038",3922210,"83","Control"
"1039",5246785,"33","Control"
"1040",3125591,"50","Control"
"1041",2395254,"83","Control"
"1042",2833256,"33","Infected"
"1043",3275489,"50","Infected"
"1045",3252626,"33","Infected"
"1046",2957188,"50","Infected"
"1049",3081256,"50","Infected"
"1050",2924565,"83","Infected"
"1051",3131558,"33","Infected"
"1052",2550237,"50","Infected"
"1054",2960833,"33","Infected"
"1055",3082400,"50","Infected"
"1057",3875303,"33","Infected"
"1058",1486544,"50","Infected"
