"intersection","n_genes","n_sets","intersection_id"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83 + all_diet_pairwise_results + DESeq2_33_vs_83",10,7,"I01"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83 + DESeq2_33_vs_50",2,7,"I02"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83 + DESeq2_50_vs_83",2,7,"I03"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + interaction_coefficients + DESeq2_33_vs_50 + DESeq2_50_vs_83",1,7,"I04"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83 + all_diet_pairwise_results + DESeq2_33_vs_83 + DESeq2_50_vs_83",1,7,"I05"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_83 + all_diet_pairwise_results + DESeq2_33_vs_83 + interaction_coefficients + DESeq2_50_vs_83",1,7,"I06"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + all_diet_pairwise_results + DESeq2_33_vs_83 + interaction_coefficients + DESeq2_50_vs_83",1,7,"I07"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83",56,6,"I08"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_83 + all_diet_pairwise_results + DESeq2_33_vs_83",5,6,"I09"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + interaction_coefficients + DESeq2_33_vs_50",2,6,"I10"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + all_diet_pairwise_results + DESeq2_33_vs_83 + DESeq2_50_vs_83",2,6,"I11"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83 + DESeq2_50_vs_83",1,6,"I12"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_83 + all_diet_pairwise_results + DESeq2_33_vs_83 + DESeq2_50_vs_83",1,6,"I13"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + all_diet_pairwise_results + DESeq2_33_vs_83 + DESeq2_33_vs_50",1,6,"I14"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_50_vs_83",1,6,"I15"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",267,5,"I16"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + all_diet_pairwise_results + DESeq2_33_vs_83",44,5,"I17"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83",10,5,"I18"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83",8,5,"I19"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83 + all_diet_pairwise_results + DESeq2_33_vs_83",3,5,"I20"
