"set","n_genes"
"DESeq2_Infected_diet_33_vs_50",1955
"all_infection_within_diet_results",1731
"DESeq2_infected_vs_control_diet_50",1312
"all_model_coefficients",1134
"DESeq2_infected_vs_control_diet_33",898
"DESeq2_infected_vs_control_diet_83",519
"all_diet_pairwise_results",135
"DESeq2_33_vs_83",78
"DESeq2_Control_diet_33_vs_83",67
"interaction_coefficients",67
"DESeq2_33_vs_50",58
"DESeq2_Control_diet_50_vs_83",38
"DESeq2_50_vs_83",30
"DESeq2_Infected_diet_33_vs_83",29
"DESeq2_Control_diet_33_vs_50",3
"DESeq2_Infected_diet_50_vs_83",1
