"ID","Description","set","p.adjust","Count"
"GO:0044421","GO:0044421","All infection DEGs",1.02835847474877e-09,60
"GO:0055114","GO:0055114","All infection DEGs",0.00163368735857254,50
"GO:0044106","GO:0044106","All infection DEGs",0.00372858090445944,9
"GO:0017144","GO:0017144","All infection DEGs",0.00946481170558193,30
"GO:0042133","GO:0042133","All infection DEGs",0.00994014817546438,8
"GO:1901044","GO:1901044","All infection DEGs",0.0145884424945069,13
"GO:0042136","GO:0042136","All infection DEGs",0.0145884424945069,6
"GO:1901617","GO:1901617","All infection DEGs",0.0202389473346927,12
"GO:0097164","GO:0097164","All infection DEGs",0.0210442156618511,7
"GO:0042737","GO:0042737","All infection DEGs",0.0356299132187139,9
"GO:0008514","GO:0008514","All infection DEGs",0.0356299132187139,23
"GO:0051186","GO:0051186","All infection DEGs",0.0356299132187139,23
"GO:0015248","GO:0015248","All infection DEGs",0.0412998544995333,5
"GO:0017127","GO:0017127","All infection DEGs",0.0412998544995333,5
"GO:0006732","GO:0006732","All infection DEGs",0.0493520849883029,16
"GO:1901565","GO:1901565","All infection DEGs",0.0548596927396205,44
"GO:0071310","GO:0071310","All infection DEGs",0.0636311715692659,34
"GO:0031226","GO:0031226","All infection DEGs",0.0750885145336766,47
"GO:0005887","GO:0005887","All infection DEGs",0.0771015814631426,46
"GO:1901071","GO:1901071","All infection DEGs",0.081022084648439,8
"GO:0044421","GO:0044421","Diet 33",0.000274577400759894,30
"GO:0044421","GO:0044421","Diet 50",1.08459213371985e-08,50
"GO:1901044","GO:1901044","Diet 50",0.00218716962897939,13
"GO:0031226","GO:0031226","Diet 50",0.0059106428128536,44
"GO:0005887","GO:0005887","Diet 50",0.00667326550806117,43
"GO:0008514","GO:0008514","Diet 50",0.0256120787216325,20
"GO:0097164","GO:0097164","Diet 50",0.0312447095044456,6
"GO:0010942","GO:0010942","Diet 50",0.0413527289444296,19
"GO:1901565","GO:1901565","Diet 50",0.0418408454355646,37
"GO:0010259","GO:0010259","Diet 50",0.0426454316667611,19
"GO:0071310","GO:0071310","Diet 50",0.0451202529323612,29
"GO:0007568","GO:0007568","Diet 50",0.0515897627863557,19
"GO:0044106","GO:0044106","Diet 50",0.0531519449990992,6
"GO:0055114","GO:0055114","Diet 50",0.0565369953806882,34
"GO:1901617","GO:1901617","Diet 50",0.0703011697255349,9
"GO:0015248","GO:0015248","Diet 50",0.0891194551563935,4
"GO:0017127","GO:0017127","Diet 50",0.0891194551563935,4
"GO:1903827","GO:1903827","Diet 50",0.0964966502977125,13
"GO:0044106","GO:0044106","Diet 83",0.0128266363455443,6
"GO:0044421","GO:0044421","Diet 83",0.0605885589992411,18
"GO:0044421","GO:0044421","Shared by at least two diets",0.000129773265321556,27
"GO:1901565","GO:1901565","Shared by at least two diets",0.0196527715599293,25
"GO:0010259","GO:0010259","Shared by at least two diets",0.0205422222357506,14
"GO:0007568","GO:0007568","Shared by at least two diets",0.0236396608696256,14
"GO:1901044","GO:1901044","Shared by at least two diets",0.0253269681918151,8
"GO:0005887","GO:0005887","Shared by at least two diets",0.0637119352762572,24
"GO:0031226","GO:0031226","Shared by at least two diets",0.082229859472632,24
