"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database"
"ko01110","Biosynthesis of secondary metabolites","76/474","355/4337",0.214084507042254,1.9588280739288,6.60352374242289,1.40270728970306e-09,4.4465821083587e-07,4.4465821083587e-07,"LOC126336625/LOC126334613/LOC126365941/LOC126297581/LOC126341237/LOC126355485/LOC126339265/LOC126272382/LOC126284811/LOC126297494/LOC126349195/LOC126284686/LOC126336244/LOC126336628/LOC126283383/LOC126298779/LOC126298530/LOC126272193/LOC126329483/LOC126353877/LOC126336379/LOC126299118/LOC126272831/LOC126278447/LOC126334891/LOC126356152/LOC126299542/LOC126350022/LOC126365957/LOC126272584/LOC126298417/LOC126281446/LOC126361126/LOC126354649/LOC126356050/LOC126298104/LOC126281958/LOC126324953/LOC126335184/LOC126284002/LOC126272926/LOC126356100/LOC126281954/LOC126276148/LOC126284898/LOC126281532/LOC126281562/LOC126323251/LOC126282460/LOC126335182/LOC126278697/LOC126354995/LOC126298001/LOC126267473/LOC126339036/LOC126284812/LOC126298865/LOC126325353/LOC126293404/LOC126271955/LOC126298221/LOC126266840/LOC126354813/LOC126272037/LOC126278485/LOC126335505/LOC126293737/LOC126354727/LOC126268126/LOC126268218/LOC126272928/LOC126336251/LOC126297871/LOC126271720/LOC126335242/LOC126285378",76,"All infection DEGs","KEGG_pathway"
"ko04624","Toll and Imd signaling pathway","20/474","58/4337",0.344827586206897,3.1550996653572,5.78737556799541,1.38504859281812e-06,0.000215322267701794,0.000215322267701794,"LOC126281928/LOC126267545/LOC126334779/LOC126355748/LOC126336322/LOC126355037/LOC126281581/LOC126352738/LOC126298648/LOC126267442/LOC126293579/LOC126282030/LOC126355041/LOC126281204/LOC126336325/LOC126266641/LOC126334780/LOC126355040/LOC126282207/LOC126293578",20,"All infection DEGs","KEGG_pathway"
"ko00330","Arginine and proline metabolism","17/474","45/4337",0.377777777777778,3.45658696671355,5.80203036239198,2.03775016752486e-06,0.000215322267701794,0.000215322267701794,"LOC126337850/LOC126335036/LOC126284548/LOC126339265/LOC126299043/LOC126350022/LOC126281446/LOC126336500/LOC126276148/LOC126278249/LOC126282460/LOC126278697/LOC126267473/LOC126284808/LOC126266840/LOC126272037/LOC126278485",17,"All infection DEGs","KEGG_pathway"
"ko01130","Biosynthesis of antibiotics","45/474","210/4337",0.214285714285714,1.96066907775769,4.99847677126358,4.33177351033307e-06,0.000343293050693896,0.000343293050693896,"LOC126293368/LOC126334613/LOC126365941/LOC126299185/LOC126299078/LOC126284811/LOC126297494/LOC126349195/LOC126336244/LOC126272193/LOC126329483/LOC126336379/LOC126299542/LOC126350022/LOC126365957/LOC126298417/LOC126281446/LOC126361126/LOC126298104/LOC126291591/LOC126281958/LOC126324953/LOC126295405/LOC126281954/LOC126284898/LOC126281532/LOC126282460/LOC126278697/LOC126267473/LOC126339036/LOC126284812/LOC126298865/LOC126325353/LOC126293404/LOC126298221/LOC126266840/LOC126272037/LOC126278485/LOC126335505/LOC126293737/LOC126268218/LOC126336251/LOC126297871/LOC126267248/LOC126335242",45,"All infection DEGs","KEGG_pathway"
"ko00410","beta-Alanine metabolism","12/474","29/4337",0.413793103448276,3.78611959842863,5.27269148149033,2.29386924891498e-05,0.0014543131038121,0.0014543131038121,"LOC126337850/LOC126284548/LOC126350022/LOC126292317/LOC126281446/LOC126297821/LOC126335256/LOC126354995/LOC126284808/LOC126266840/LOC126268126/LOC126336251",12,"All infection DEGs","KEGG_pathway"
"ko01120","Microbial metabolism in diverse environments","33/474","158/4337",0.208860759493671,1.91103188591572,4.08599084180805,0.00014600500779577,0.00771393124520984,0.00771393124520984,"LOC126293368/LOC126334613/LOC126365941/LOC126272888/LOC126297494/LOC126349195/LOC126336244/LOC126336122/LOC126334891/LOC126299542/LOC126350022/LOC126365957/LOC126298417/LOC126281446/LOC126281958/LOC126355885/LOC126295405/LOC126281954/LOC126284898/LOC126281532/LOC126323251/LOC126354995/LOC126355949/LOC126325353/LOC126266840/LOC126272037/LOC126335505/LOC126266828/LOC126268126/LOC126336251/LOC126297871/LOC126336866/LOC126335242",33,"All infection DEGs","KEGG_pathway"
"ko00561","Glycerolipid metabolism","14/474","47/4337",0.297872340425532,2.7254690726277,4.16580479751336,0.000322548255738525,0.0142791790696758,0.0142791790696758,"LOC126297752/LOC126266824/LOC126283960/LOC126355485/LOC126298779/LOC126353877/LOC126350022/LOC126272584/LOC126281446/LOC126356100/LOC126282167/LOC126283957/LOC126323656/LOC126266840",14,"All infection DEGs","KEGG_pathway"
"ko00260","Glycine, serine and threonine metabolism","12/474","37/4337",0.324324324324324,2.96749914471433,4.20971446838507,0.000360357831411375,0.0142791790696758,0.0142791790696758,"LOC126293368/LOC126334613/LOC126297581/LOC126329483/LOC126350022/LOC126295405/LOC126323251/LOC126325353/LOC126293404/LOC126298221/LOC126266840/LOC126354727",12,"All infection DEGs","KEGG_pathway"
"ko01200","Carbon metabolism","24/474","109/4337",0.220183486238532,2.01463244687028,3.75773335419783,0.000524705047768402,0.0180812705206797,0.0180812705206797,"LOC126293368/LOC126365941/LOC126297494/LOC126349195/LOC126336244/LOC126336122/LOC126299542/LOC126365957/LOC126298417/LOC126281958/LOC126295405/LOC126281954/LOC126284898/LOC126281532/LOC126335256/LOC126325353/LOC126293404/LOC126298221/LOC126272037/LOC126335505/LOC126336251/LOC126297871/LOC126336866/LOC126335242",24,"All infection DEGs","KEGG_pathway"
"ko04976","Bile secretion","16/474","61/4337",0.262295081967213,2.39994466348482,3.85681131099593,0.000607023275913984,0.0180812705206797,0.0180812705206797,"LOC126354018/LOC126281499/LOC126365988/LOC126343748/LOC126354186/LOC126268161/LOC126343702/LOC126322572/LOC126281263/LOC126322591/LOC126354017/LOC126293679/LOC126354016/LOC126335579/LOC126335166/LOC126354871",16,"All infection DEGs","KEGG_pathway"
