"gene_id","diet","DEG_set","log2FoldChange","padj","significant"
"LOC126326589",33,"Diet 33",-1.05030431272921,0.0117210901992834,TRUE
"LOC126334532",33,"Diet 33",1.25555103404293,0.0396462558534602,TRUE
"LOC126334976",33,"Diet 33",2.3659275980884,0.00827237281150848,TRUE
"LOC126335656",33,"Diet 33",1.83999650647586,0.00352226190688514,TRUE
"LOC126335700",33,"Diet 33",6.56225228519687,5.72242522084225e-08,TRUE
"LOC126335709",33,"Diet 33",5.75820975941114,0.000310052550289367,TRUE
"LOC126336481",33,"Diet 33",-1.02626428911753,0.00766406915675026,TRUE
"LOC126336714",33,"Diet 33",-1.90211390688244,0.00617063297760539,TRUE
"LOC126336948",33,"Diet 33",-3.38049238691904,0.00039441633690812,TRUE
"LOC126336962",33,"Diet 33",-1.30622193910982,0.00671094204488381,TRUE
"LOC126337850",33,"Diet 33",3.50082566166168,1.85161719481128e-06,TRUE
"LOC126339239",33,"Diet 33",1.16915098561573,0.0377415712005183,TRUE
"LOC126339612",33,"Diet 33",3.6094460331239,1.81613400960772e-06,TRUE
"LOC126339755",33,"Diet 33",3.23262148550037,0.000362696263281392,TRUE
"LOC126339830",33,"Diet 33",-2.51746159219043,0.0261009628649576,TRUE
"LOC126341237",33,"Diet 33",-1.93097942468281,4.27769202776627e-05,TRUE
"LOC126341418",33,"Diet 33",1.01235279039241,0.00867979869762028,TRUE
"LOC126341434",33,"Diet 33",2.13971518318639,1.53061788102651e-06,TRUE
"LOC126341869",33,"Diet 33",-1.79034685505029,0.00180045523813393,TRUE
"LOC126343175",33,"Diet 33",2.4195940472255,0.0023534898866539,TRUE
"LOC126343256",33,"Diet 33",1.74849535423747,0.00190155509281934,TRUE
"LOC126343319",33,"Diet 33",1.05069673443631,0.00633700268461682,TRUE
"LOC126343303",33,"Diet 33",2.34433772566395,0.00149828487816934,TRUE
"LOC126343702",33,"Diet 33",-1.71417780433307,0.0396387719795298,TRUE
"LOC126344004",33,"Diet 33",-2.46303887723932,8.18822517307181e-06,TRUE
"LOC126344021",33,"Diet 33",-2.85239582323586,0.0264455664086509,TRUE
"LOC126295285",33,"Diet 33",-2.70585422933224,0.0247522889777625,TRUE
"LOC126346362",33,"Diet 33",5.01293467197154,0.0001652274155654,TRUE
"LOC126306122",33,"Diet 33",-2.3885639882246,0.00947577044326884,TRUE
"LOC126345346",33,"Diet 33",-1.49559713637466,0.0035111930267112,TRUE
"LOC126345497",33,"Diet 33",2.44421052797573,6.92137724604216e-09,TRUE
"LOC126346021",33,"Diet 33",1.48544555083049,0.00539946957984466,TRUE
"LOC126346425",33,"Diet 33",4.88462496294488,9.35567688818019e-07,TRUE
"LOC126346522",33,"Diet 33",-1.71343373474048,0.0348782285917366,TRUE
"LOC126346564",33,"Diet 33",-1.05641398412594,0.0475680154055464,TRUE
"LOC126346580",33,"Diet 33",1.48000097894781,0.047331996144241,TRUE
"LOC126349011",33,"Diet 33",1.66461611735027,9.1601541965155e-05,TRUE
"LOC126347864",33,"Diet 33",-1.51356051452466,0.0282976770795718,TRUE
"LOC126349825",33,"Diet 33",2.3974434835602,8.96941148922204e-05,TRUE
"LOC126352796",33,"Diet 33",3.39564793294792,0.00176990032150512,TRUE
"LOC126353952",33,"Diet 33",1.25105966409028,0.0106993228351115,TRUE
"LOC126355590",33,"Diet 33",5.80312666040092,0.000119846555654979,TRUE
"LOC126355691",33,"Diet 33",6.72600399964635,3.91955265291051e-06,TRUE
"LOC126354591",33,"Diet 33",-1.67356471240829,0.0413297680209376,TRUE
"LOC126354620",33,"Diet 33",-2.3495100223854,2.41296214602274e-07,TRUE
"LOC126354656",33,"Diet 33",3.882509374986,0.000770527825876105,TRUE
"LOC126358740",33,"Diet 33",3.97121585965301,4.0776036038688e-06,TRUE
"LOC126355485",33,"Diet 33",2.42800407672025,0.00090104428201321,TRUE
"LOC126355684",33,"Diet 33",2.43699617247655,0.00112340563904693,TRUE
"LOC126355885",33,"Diet 33",-2.0206809657696,0.00252307682461171,TRUE
"LOC126356122",33,"Diet 33",1.65157095616872,0.00602826929088278,TRUE
"LOC126356135",33,"Diet 33",5.46502282403385,1.49154571855164e-12,TRUE
"LOC126356152",33,"Diet 33",1.24723305279808,4.05585861354174e-05,TRUE
"LOC126357744",33,"Diet 33",1.67813067581188,0.000180447233564664,TRUE
"LOC126357770",33,"Diet 33",1.07672118421826,0.00424843072608817,TRUE
"LOC126358876",33,"Diet 33",-2.01397238928536,0.0371708673886556,TRUE
"LOC126359055",33,"Diet 33",2.24980887568605,0.0305057428549402,TRUE
"LOC126359091",33,"Diet 33",1.26878607838227,0.00934710335946503,TRUE
"LOC126359288",33,"Diet 33",-1.14012975698066,0.0415521831173685,TRUE
"LOC126359832",33,"Diet 33",-1.10668457293643,0.0114941479005616,TRUE
"LOC126360693",33,"Diet 33",2.53547209040222,0.000110874357910961,TRUE
"LOC126361021",33,"Diet 33",1.32318083762944,0.00873600939753978,TRUE
"LOC126361173",33,"Diet 33",-1.37086344637072,0.0114102387182712,TRUE
"LOC126361845",33,"Diet 33",2.77044533928133,0.000282750700797302,TRUE
"LOC126363354",33,"Diet 33",-1.13640986018528,0.00126064039543887,TRUE
"LOC126365959",33,"Diet 33",1.27088265034067,0.000222807019893935,TRUE
"LOC126267127",33,"Diet 33",-1.8403074013873,0.0187483855288948,TRUE
"LOC126267554",33,"Diet 33",-2.25724398555296,0.00378326414213921,TRUE
"LOC126267535",33,"Diet 33",-1.59151379161109,0.00796778278902087,TRUE
"LOC126268397",33,"Diet 33",1.72105543104215,3.01663692102502e-06,TRUE
"LOC126268728",33,"Diet 33",-2.3207274312904,0.00114645410852206,TRUE
"LOC126269416",33,"Diet 33",1.33604243145682,0.02867799033727,TRUE
