"label","PC1","PC2","Diet","Treatment","Condition"
"1002",-33.1937631032377,-12.2538830320055,"83","Control","83 Control"
"1003",31.3021574450654,-31.9444301293486,"33","Control","33 Control"
"1004",31.5276766580176,-29.317008737795,"50","Control","50 Control"
"1005",32.2661845291967,-22.1887388293976,"83","Control","83 Control"
"1006",26.3802040060907,-22.1010978733654,"33","Control","33 Control"
"1007",-109.80609209503,-52.9268183907864,"50","Control","50 Control"
"1009",34.1036934465707,-35.3671904523387,"33","Control","33 Control"
"1011",29.7758385742124,-12.9107526658791,"83","Control","83 Control"
"1014",-43.6839074722567,43.7106892132714,"83","Infected","83 Infected"
"1015",10.1269827993679,43.7004320222553,"33","Infected","33 Infected"
"1016",-91.5646934739497,72.4662396971072,"50","Infected","50 Infected"
"1018",30.6373232532357,-2.09973758544946,"33","Infected","33 Infected"
"1020",-11.627297320738,22.7148878188696,"83","Infected","83 Infected"
"1021",29.4170490378695,-1.19159803443906,"33","Infected","33 Infected"
"1023",22.0201236520433,71.0755814109305,"83","Infected","83 Infected"
"1024",-61.5812081403897,28.6407573303291,"83","Infected","83 Infected"
"1025",-25.3955944655727,14.4723998326243,"50","Infected","50 Infected"
"1027",2.349066997995,69.504709287264,"33","Infected","33 Infected"
"1028",28.1954283306086,7.56925705911498,"50","Infected","50 Infected"
"1029",28.7469895299663,33.7060368913878,"83","Infected","83 Infected"
"1030",32.547799860404,-43.0689620018059,"33","Control","33 Control"
"1031",25.4557325096705,-30.3897337487778,"50","Control","50 Control"
"1032",13.7379696334994,-36.2459679029375,"83","Control","83 Control"
"1033",29.1435819571509,-26.0650894642973,"33","Control","33 Control"
"1034",30.4874689369938,-29.2976848831726,"50","Control","50 Control"
"1035",8.04433984286781,-16.2652913702404,"83","Control","83 Control"
"1036",-35.4883298499556,-42.3905838905732,"33","Control","33 Control"
"1037",-121.505487299605,-54.3880517049067,"50","Control","50 Control"
"1038",-26.1797093685939,-24.7479881864915,"83","Control","83 Control"
"1039",-61.1199751483651,-41.7540596205227,"33","Control","33 Control"
"1040",33.9468969890206,-32.7137387683713,"50","Control","50 Control"
"1041",32.2289398177312,-25.0140794585366,"83","Control","83 Control"
"1042",32.897640231929,4.64837184407905,"33","Infected","33 Infected"
"1043",-7.58055138753012,-1.11272101451717,"50","Infected","50 Infected"
"1045",19.1457616306179,-2.88621608110281,"33","Infected","33 Infected"
"1046",-93.7075120825572,18.6508808040309,"50","Infected","50 Infected"
"1049",26.1669448976984,43.5649534096107,"50","Infected","50 Infected"
"1050",29.5164665135064,4.80808614440428,"83","Infected","83 Infected"
"1051",22.7916965861573,-10.7409932154672,"33","Infected","33 Infected"
"1052",28.4026200056753,25.1799757633705,"50","Infected","50 Infected"
"1054",23.4945448660225,40.8522788384051,"33","Infected","33 Infected"
"1055",-32.6148682389001,17.3918250163075,"50","Infected","50 Infected"
"1057",30.1697969341525,27.7882631001094,"33","Infected","33 Infected"
"1058",0.0220699733487651,48.9367915590556,"50","Infected","50 Infected"
