"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database"
"GO:1901605","alpha-amino acid metabolic process","5/31","66/6533",0.0757575757575758,15.9652981427175,8.43696724540096,1.25178024377555e-05,0.0431989362126944,0.0431989362126944,"LOC126325353/LOC126293368/LOC126269845/LOC126278953/LOC126352958",5,"all_diet_pairwise_results__DOWN","GO"
"GO:0019752","carboxylic acid metabolic process","7/31","246/6533",0.0284552845528455,5.99672174141096,5.51583721631784,0.000119345650970039,0.098099439859855,0.098099439859855,"LOC126325353/LOC126293368/LOC126355485/LOC126269845/LOC126278953/LOC126297583/LOC126352958",7,"all_diet_pairwise_results__DOWN","GO"
"GO:0006520","amino acid metabolic process","5/31","108/6533",0.0462962962962963,9.75657108721625,6.33563051390909,0.000135735918270471,0.098099439859855,0.098099439859855,"LOC126325353/LOC126293368/LOC126269845/LOC126278953/LOC126352958",5,"all_diet_pairwise_results__DOWN","GO"
"GO:0006836","neurotransmitter transport","5/31","110/6533",0.0454545454545455,9.5791788856305,6.26546859391354,0.000148045213204299,0.098099439859855,0.098099439859855,"LOC126281204/LOC126356321/LOC126278890/LOC126366011/LOC126297678",5,"all_diet_pairwise_results__DOWN","GO"
"GO:0005326","neurotransmitter transmembrane transporter activity","3/31","24/6533",0.125,26.3427419354839,8.58781220041171,0.000183064267328504,0.098099439859855,0.098099439859855,"LOC126356321/LOC126278890/LOC126297678",3,"all_diet_pairwise_results__DOWN","GO"
"GO:0006082","organic acid metabolic process","7/31","267/6533",0.0262172284644195,5.52506946961459,5.21274089922122,0.000198984665030132,0.098099439859855,0.098099439859855,"LOC126325353/LOC126293368/LOC126355485/LOC126269845/LOC126278953/LOC126297583/LOC126352958",7,"all_diet_pairwise_results__DOWN","GO"
"GO:0043436","oxoacid metabolic process","7/31","267/6533",0.0262172284644195,5.52506946961459,5.21274089922122,0.000198984665030132,0.098099439859855,0.098099439859855,"LOC126325353/LOC126293368/LOC126355485/LOC126269845/LOC126278953/LOC126297583/LOC126352958",7,"all_diet_pairwise_results__DOWN","GO"
"GO:0001505","GO:0001505","5/31","121/6533",0.0413223140495868,8.70834444148227,5.90931979317053,0.000231796752581068,0.0999913241446583,0.0999913241446583,"LOC126281204/LOC126356321/LOC126325353/LOC126356585/LOC126366011",5,"all_diet_pairwise_results__DOWN","GO"
"GO:0055114","GO:0055114","35/275","314/6533",0.111464968152866,2.64800231615518,6.27384838006926,8.4269219188786e-08,0.0002908130754205,0.0002908130754205,"LOC126281954/LOC126299043/LOC126298417/LOC126335256/LOC126336714/LOC126335352/LOC126266828/LOC126354620/LOC126336866/LOC126335505/LOC126297871/LOC126355885/LOC126323251/LOC126320178/LOC126349195/LOC126277880/LOC126285378/LOC126353777/LOC126336251/LOC126336244/LOC126297759/LOC126299150/LOC126333165/LOC126291591/LOC126285375/LOC126298770/LOC126305900/LOC126334959/LOC126266657/LOC126272888/LOC126297494/LOC126354904/LOC126336122/LOC126281446/LOC126267222",35,"all_infection_within_diet_results__DOWN","GO"
"GO:0016491","oxidoreductase activity","28/275","236/6533",0.11864406779661,2.81855161787365,5.96467030201526,5.14263529584846e-07,0.000887361720298653,0.000887361720298653,"LOC126281954/LOC126299043/LOC126335256/LOC126336714/LOC126266828/LOC126354620/LOC126336866/LOC126335505/LOC126297871/LOC126355885/LOC126323251/LOC126320178/LOC126277880/LOC126353777/LOC126297759/LOC126299150/LOC126333165/LOC126285375/LOC126298770/LOC126305900/LOC126334959/LOC126266657/LOC126272888/LOC126297494/LOC126354904/LOC126336122/LOC126281446/LOC126267222",28,"all_infection_within_diet_results__DOWN","GO"
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","7/275","23/6533",0.304347826086957,7.2301976284585,6.274034499058,2.97571253262315e-05,0.0234073103270089,0.0234073103270089,"LOC126281954/LOC126336866/LOC126335505/LOC126285375/LOC126266657/LOC126297494/LOC126336122",7,"all_infection_within_diet_results__DOWN","GO"
"GO:0019752","carboxylic acid metabolic process","25/275","246/6533",0.101626016260163,2.41426459719143,4.73967047967099,3.37842042829609e-05,0.0234073103270089,0.0234073103270089,"LOC126281861/LOC126299043/LOC126298417/LOC126335256/LOC126336714/LOC126335352/LOC126272037/LOC126293404/LOC126336866/LOC126293368/LOC126335505/LOC126325353/LOC126297871/LOC126323251/LOC126349195/LOC126336251/LOC126336244/LOC126297759/LOC126267535/LOC126347864/LOC126278002/LOC126336122/LOC126281446/LOC126267222/LOC126284002",25,"all_infection_within_diet_results__DOWN","GO"
"GO:0042335","cuticle development","20/275","173/6533",0.115606936416185,2.74640042038886,4.87988937141859,3.43444994927991e-05,0.0234073103270089,0.0234073103270089,"LOC126297795/LOC126298417/LOC126284491/LOC126336345/LOC126336597/LOC126336602/LOC126284577/LOC126299078/LOC126267997/LOC126355865/LOC126284821/LOC126268161/LOC126354720/LOC126336809/LOC126284086/LOC126284845/LOC126266832/LOC126284250/LOC126271949/LOC126336752",20,"all_infection_within_diet_results__DOWN","GO"
"GO:0006082","organic acid metabolic process","26/275","267/6533",0.097378277153558,2.31335376234253,4.59318368448699,4.90433158455288e-05,0.0234073103270089,0.0234073103270089,"LOC126281861/LOC126299043/LOC126298417/LOC126335256/LOC126336714/LOC126335352/LOC126272037/LOC126293404/LOC126336866/LOC126293368/LOC126335505/LOC126325353/LOC126297871/LOC126323251/LOC126349195/LOC126336251/LOC126336244/LOC126297759/LOC126267535/LOC126347864/LOC126266657/LOC126278002/LOC126336122/LOC126281446/LOC126267222/LOC126284002",26,"all_infection_within_diet_results__DOWN","GO"
"GO:0043436","oxoacid metabolic process","26/275","267/6533",0.097378277153558,2.31335376234253,4.59318368448699,4.90433158455288e-05,0.0234073103270089,0.0234073103270089,"LOC126281861/LOC126299043/LOC126298417/LOC126335256/LOC126336714/LOC126335352/LOC126272037/LOC126293404/LOC126336866/LOC126293368/LOC126335505/LOC126325353/LOC126297871/LOC126323251/LOC126349195/LOC126336251/LOC126336244/LOC126297759/LOC126267535/LOC126347864/LOC126266657/LOC126278002/LOC126336122/LOC126281446/LOC126267222/LOC126284002",26,"all_infection_within_diet_results__DOWN","GO"
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","7/275","25/6533",0.28,6.65178181818182,5.93476156888188,5.42620929052655e-05,0.0234073103270089,0.0234073103270089,"LOC126281954/LOC126336866/LOC126335505/LOC126285375/LOC126266657/LOC126297494/LOC126336122",7,"all_infection_within_diet_results__DOWN","GO"
"GO:0005576","extracellular region","32/275","377/6533",0.0848806366047745,2.01645526886906,4.26168451458105,9.90993758731865e-05,0.0379991051264852,0.0379991051264852,"LOC126336724/LOC126295285/LOC126331446/LOC126273136/LOC126298594/LOC126284491/LOC126356100/LOC126344496/LOC126353822/LOC126272576/LOC126334779/LOC126268712/LOC126336597/LOC126336602/LOC126284577/LOC126267253/LOC126337058/LOC126352738/LOC126272046/LOC126333165/LOC126267997/LOC126269044/LOC126271928/LOC126336809/LOC126283987/LOC126284629/LOC126334780/LOC126299533/LOC126284086/LOC126284845/LOC126284250/LOC126266626",32,"all_infection_within_diet_results__DOWN","GO"
